coupling,method,budget_fraction,team_return_mean,team_return_std,seeds
independent,fixed_q1,0.0,-150.0149404340619,31.20911519748684,4
independent,fixed_q1,0.05,-107.79525220205599,5.199389428078223,4
independent,fixed_q1,0.1,-103.13341819345263,2.1921173596431425,4
independent,fixed_q1,0.15000000000000002,-101.33343191967978,7.484567143636721,4
independent,fixed_q1,0.2,-101.1782038266608,5.095915664210376,4
independent,fixed_q1,0.25,-99.13681998344555,3.3088984335202953,4
independent,fixed_q1,0.30000000000000004,-97.05162146217523,5.353597677659125,4
independent,fixed_q1,0.35000000000000003,-99.39672570680744,13.786686370523364,4
independent,fixed_q1,0.4,-95.32327740139142,2.968807024167253,4
independent,fixed_q1,0.45,-98.55723426244793,4.206772674171498,4
independent,fixed_q1,0.5,-89.20742782184345,5.996238724592213,4
independent,fixed_q1,0.55,-88.72694008980633,7.230624506664155,4
independent,fixed_q1,0.6000000000000001,-92.54275967502731,6.850006688878659,4
independent,fixed_q1,0.65,-86.440394959305,2.480285569537491,4
independent,fixed_q1,0.7000000000000001,-88.37287348546015,5.947968973675803,4
independent,fixed_q1,0.75,-87.23248922399213,6.510314184423373,4
independent,fixed_q1,0.8,-85.83309757452935,6.154980712487701,4
independent,fixed_q1,0.8500000000000001,-88.51384274071958,7.243893158840709,4
independent,fixed_q1,0.9,-86.77507027331782,4.952244237306529,4
independent,fixed_q1,0.9500000000000001,-83.23739630401786,5.419246126895062,4
independent,fixed_q1,1.0,-84.08136001787334,8.916202869393942,4
independent,fixed_q8,0.0,-100.7013096908587,2.816125737458413,4
independent,fixed_q8,0.05,-100.7013096908587,2.816125737458413,4
independent,fixed_q8,0.1,-94.22885255257486,2.018199086803542,4
independent,fixed_q8,0.15000000000000002,-89.97333018310349,2.457382919560176,4
independent,fixed_q8,0.2,-86.85197975745642,3.5304402682561853,4
independent,fixed_q8,0.25,-81.95239241775116,4.0387382121347315,4
independent,fixed_q8,0.30000000000000004,-78.47502197240073,1.4045611261940372,4
independent,fixed_q8,0.35000000000000003,-77.34323990531549,3.514779633896,4
independent,fixed_q8,0.4,-73.34090198747151,2.609775294882129,4
independent,fixed_q8,0.45,-70.409426511927,1.8453114270725204,4
independent,fixed_q8,0.5,-69.2746454779204,1.3642241399300232,4
independent,fixed_q8,0.55,-68.47022484916573,1.8227515142518622,4
independent,fixed_q8,0.6000000000000001,-65.3610848121478,2.8422140839647323,4
independent,fixed_q8,0.65,-66.54507556568636,0.8659768642330568,4
independent,fixed_q8,0.7000000000000001,-63.95369663653221,0.9653749553244302,4
independent,fixed_q8,0.75,-62.83462965038197,1.314540050481059,4
independent,fixed_q8,0.8,-62.69420975710574,0.7848815534959507,4
independent,fixed_q8,0.8500000000000001,-61.76331967176946,1.4790975521460266,4
independent,fixed_q8,0.9,-61.46328371565717,1.5965182933614965,4
independent,fixed_q8,0.9500000000000001,-61.24659304734542,1.846368803176557,4
independent,fixed_q8,1.0,-61.20325491368307,2.054482177712983,4
independent,lyapunov_probe_commit,0.0,-100.7013096908587,2.816125737458413,4
independent,lyapunov_probe_commit,0.05,-100.7013096908587,2.816125737458413,4
independent,lyapunov_probe_commit,0.1,-95.47156432312536,2.1389178982296593,4
independent,lyapunov_probe_commit,0.15000000000000002,-90.23426939598784,2.2288378932337016,4
independent,lyapunov_probe_commit,0.2,-87.65916950157839,3.490884823800365,4
independent,lyapunov_probe_commit,0.25,-82.48651651815699,4.458144682572069,4
independent,lyapunov_probe_commit,0.30000000000000004,-79.00914607280656,1.7822624860042187,4
independent,lyapunov_probe_commit,0.35000000000000003,-77.51708163081977,3.1329751228777227,4
independent,lyapunov_probe_commit,0.4,-74.06589043632148,2.7644992143698186,4
independent,lyapunov_probe_commit,0.45,-70.67655860109974,2.014307614752535,4
independent,lyapunov_probe_commit,0.5,-69.30970326121981,1.333232755194247,4
independent,lyapunov_probe_commit,0.55,-68.94778875885169,2.491907263397268,4
independent,lyapunov_probe_commit,0.6000000000000001,-65.83864872183375,2.1664269019805196,4
independent,lyapunov_probe_commit,0.65,-66.36321458594284,1.0890438138897298,4
independent,lyapunov_probe_commit,0.7000000000000001,-64.49670663586569,0.8883904132264933,4
independent,lyapunov_probe_commit,0.75,-62.75910413261411,1.2772287857342353,4
independent,lyapunov_probe_commit,0.8,-62.86141927277559,1.0009588832910585,4
independent,lyapunov_probe_commit,0.8500000000000001,-61.809405194628305,1.8395510597366793,4
independent,lyapunov_probe_commit,0.9,-61.509369238516015,1.2550022258458298,4
independent,lyapunov_probe_commit,0.9500000000000001,-61.2798767339981,1.71183668890638,4
independent,lyapunov_probe_commit,1.0,-61.20325491368307,2.054482177712982,4
shared,fixed_q1,0.0,-152.97507406843354,38.92155090106351,4
shared,fixed_q1,0.05,-113.68956638545087,5.992022866381742,4
shared,fixed_q1,0.1,-101.07713562166782,4.583138658053429,4
shared,fixed_q1,0.15000000000000002,-98.35088057856534,2.6186009738778573,4
shared,fixed_q1,0.2,-98.38095085604216,7.6799534996622745,4
shared,fixed_q1,0.25,-99.47985543610586,6.408156118029257,4
shared,fixed_q1,0.30000000000000004,-105.6189573122955,9.059536569583377,4
shared,fixed_q1,0.35000000000000003,-97.14898804021927,10.034955919026288,4
shared,fixed_q1,0.4,-95.29834549607554,3.8520249668475612,4
shared,fixed_q1,0.45,-98.5504544338753,5.039062033047551,4
shared,fixed_q1,0.5,-93.81525630617162,6.666217952364286,4
shared,fixed_q1,0.55,-92.1071428215655,7.619793711921787,4
shared,fixed_q1,0.6000000000000001,-93.90623307212367,2.7922182651568064,4
shared,fixed_q1,0.65,-90.37376675924037,7.898744715377196,4
shared,fixed_q1,0.7000000000000001,-91.47836020322885,4.420002319056501,4
shared,fixed_q1,0.75,-93.49450922954888,4.895772902935572,4
shared,fixed_q1,0.8,-88.17798952743425,6.807233207486165,4
shared,fixed_q1,0.8500000000000001,-90.46272557676947,4.1026224949058,4
shared,fixed_q1,0.9,-89.47451568952513,5.009733026305103,4
shared,fixed_q1,0.9500000000000001,-91.1511593350103,6.23872848638683,4
shared,fixed_q1,1.0,-86.4222147879835,4.411887656873259,4
shared,fixed_q8,0.0,-135.05157520578217,36.37317597185458,4
shared,fixed_q8,0.05,-135.05157520578217,36.37317597185458,4
shared,fixed_q8,0.1,-113.57600416416042,11.47835919617175,4
shared,fixed_q8,0.15000000000000002,-108.26354252552821,3.918145197364709,4
shared,fixed_q8,0.2,-110.30280042865674,3.5242145125782227,4
shared,fixed_q8,0.25,-103.1703893552012,4.104795884977868,4
shared,fixed_q8,0.30000000000000004,-101.36899377842441,2.6730595098964525,4
shared,fixed_q8,0.35000000000000003,-102.14383096054999,8.718550401865672,4
shared,fixed_q8,0.4,-101.1987084689082,7.996914703957945,4
shared,fixed_q8,0.45,-101.31554444409979,7.01706606665569,4
shared,fixed_q8,0.5,-103.00630793870944,7.384454530042017,4
shared,fixed_q8,0.55,-104.05229970236817,6.802355587642725,4
shared,fixed_q8,0.6000000000000001,-99.04343296681556,3.9217005427946816,4
shared,fixed_q8,0.65,-101.40958961233653,3.8539371235134063,4
shared,fixed_q8,0.7000000000000001,-100.14211967702053,1.2542213400633875,4
shared,fixed_q8,0.75,-97.20388343627363,4.499372109639029,4
shared,fixed_q8,0.8,-97.03329867459377,6.495072265374839,4
shared,fixed_q8,0.8500000000000001,-100.34624191651558,7.919764748327534,4
shared,fixed_q8,0.9,-97.9379496575553,12.0174909122039,4
shared,fixed_q8,0.9500000000000001,-98.08527532675458,7.06300781369688,4
shared,fixed_q8,1.0,-98.11474046059445,7.14083283913917,4
shared,lyapunov_probe_commit,0.0,-152.97507406843354,38.92155090106351,4
shared,lyapunov_probe_commit,0.05,-125.75807434566315,14.66148368978468,4
shared,lyapunov_probe_commit,0.1,-103.19684169517663,2.3261857739228673,4
shared,lyapunov_probe_commit,0.15000000000000002,-98.7860904696996,3.0550201347505417,4
shared,lyapunov_probe_commit,0.2,-97.90193655450263,5.9580183753764455,4
shared,lyapunov_probe_commit,0.25,-99.91230623873123,6.2140406687667795,4
shared,lyapunov_probe_commit,0.30000000000000004,-103.40844453938995,6.4517053271438165,4
shared,lyapunov_probe_commit,0.35000000000000003,-97.72258896628652,6.3405888219437045,4
shared,lyapunov_probe_commit,0.4,-95.80787241575821,2.697649032477249,4
shared,lyapunov_probe_commit,0.45,-97.35057125307563,3.9231920883780247,4
shared,lyapunov_probe_commit,0.5,-94.12205231908577,5.517506710178308,4
shared,lyapunov_probe_commit,0.55,-92.7138338218262,6.4227459051490525,4
shared,lyapunov_probe_commit,0.6000000000000001,-93.65772670261185,2.914825663310698,4
shared,lyapunov_probe_commit,0.65,-91.72730483769452,4.987743626882506,4
shared,lyapunov_probe_commit,0.7000000000000001,-91.44601996590872,3.5478403505273857,4
shared,lyapunov_probe_commit,0.75,-92.88029302012878,3.1634425106230095,4
shared,lyapunov_probe_commit,0.8,-89.14685823852442,6.41798243671488,4
shared,lyapunov_probe_commit,0.8500000000000001,-90.01586069687791,4.4939183329590495,4
shared,lyapunov_probe_commit,0.9,-90.40543624152993,6.324192960914906,4
shared,lyapunov_probe_commit,0.9500000000000001,-90.53112513593311,4.8475743964020035,4
shared,lyapunov_probe_commit,1.0,-88.81657602079932,5.347151626805828,4
