coupling,method,resource_fraction,team_return_mean,team_return_std,seeds,team_return_ci95
independent,"q=1, eta=0.00025",0.0,-150.47174053038023,,1,0.0
independent,"q=1, eta=0.00025",0.05,-101.97976535797424,,1,0.0
independent,"q=1, eta=0.00025",0.1,-101.58451616430061,,1,0.0
independent,"q=1, eta=0.00025",0.15000000000000002,-101.39950776391154,,1,0.0
independent,"q=1, eta=0.00025",0.2,-103.99915638806448,,1,0.0
independent,"q=1, eta=0.00025",0.25,-94.41724046228542,,1,0.0
independent,"q=1, eta=0.00025",0.30000000000000004,-100.80836112311256,,1,0.0
independent,"q=1, eta=0.00025",0.35000000000000003,-100.3454604561629,,1,0.0
independent,"q=1, eta=0.00025",0.4,-97.3034966682256,,1,0.0
independent,"q=1, eta=0.00025",0.45,-93.60682450885854,,1,0.0
independent,"q=1, eta=0.00025",0.5,-103.4161294507824,,1,0.0
independent,"q=1, eta=0.00025",0.55,-96.4498116251101,,1,0.0
independent,"q=1, eta=0.00025",0.6000000000000001,-93.78470469036952,,1,0.0
independent,"q=1, eta=0.00025",0.65,-93.35074346930703,,1,0.0
independent,"q=1, eta=0.00025",0.7000000000000001,-97.60653682347049,,1,0.0
independent,"q=1, eta=0.00025",0.75,-106.88791054870308,,1,0.0
independent,"q=1, eta=0.00025",0.8,-88.71206272233464,,1,0.0
independent,"q=1, eta=0.00025",0.8500000000000001,-92.76681947763188,,1,0.0
independent,"q=1, eta=0.00025",0.9,-96.9139765357209,,1,0.0
independent,"q=1, eta=0.00025",0.9500000000000001,-95.09236919780754,,1,0.0
independent,"q=1, eta=0.00025",1.0,-93.85400323545366,,1,0.0
independent,"q=1, eta=0.0005",0.0,-115.77313345036451,,1,0.0
independent,"q=1, eta=0.0005",0.05,-99.5171509430054,,1,0.0
independent,"q=1, eta=0.0005",0.1,-100.95751565824715,,1,0.0
independent,"q=1, eta=0.0005",0.15000000000000002,-116.8135840572765,,1,0.0
independent,"q=1, eta=0.0005",0.2,-108.41201496379887,,1,0.0
independent,"q=1, eta=0.0005",0.25,-100.5214172335247,,1,0.0
independent,"q=1, eta=0.0005",0.30000000000000004,-105.79759323097781,,1,0.0
