coupling,method,training_seed,budget_fraction,team_return,win_rate
independent,fixed_q1,81101,0.0,7.793216184583289,0.0
independent,fixed_q1,81101,0.05,7.307510581667456,0.0
independent,fixed_q1,81101,0.1,8.088324489039461,0.03125
independent,fixed_q1,81101,0.15000000000000002,7.74192654681535,0.03125
independent,fixed_q1,81101,0.2,8.36820736171371,0.0
independent,fixed_q1,81101,0.25,8.65108498124878,0.03125
independent,fixed_q1,81101,0.30000000000000004,9.116914563346871,0.03125
independent,fixed_q1,81101,0.35000000000000003,9.485414743466098,0.09375000000000021
independent,fixed_q1,81101,0.4,8.715888901256106,0.03125
independent,fixed_q1,81101,0.45,9.269934861879864,0.046875
independent,fixed_q1,81101,0.5,7.28588306549081,0.03125
independent,fixed_q1,81101,0.55,9.33089967394362,0.0625
independent,fixed_q1,81101,0.6000000000000001,10.573870981688893,0.031250000000000104
independent,fixed_q1,81101,0.65,10.40953686682984,0.09375000000000011
independent,fixed_q1,81101,0.7000000000000001,10.133078747361251,0.15151515151515121
independent,fixed_q1,81101,0.75,8.960363626776537,0.0625
independent,fixed_q1,81101,0.8,10.94120845943722,0.09375
independent,fixed_q1,81101,0.8500000000000001,9.631566080084676,0.046875000000000056
independent,fixed_q1,81101,0.9,8.704356445512685,0.0
independent,fixed_q1,81101,0.9500000000000001,9.620437287103147,0.03125
independent,fixed_q1,81101,1.0,10.190665281003612,0.125
independent,fixed_q1,81102,0.0,6.7897564021939285,0.0
independent,fixed_q1,81102,0.05,7.531135624603992,0.0
independent,fixed_q1,81102,0.1,7.367024206220341,0.030303030303030304
independent,fixed_q1,81102,0.15000000000000002,8.45101239104571,0.015624999999999972
independent,fixed_q1,81102,0.2,7.170683093011599,0.0
independent,fixed_q1,81102,0.25,8.18087139201833,0.03125
independent,fixed_q1,81102,0.30000000000000004,10.27906857156638,0.03125
independent,fixed_q1,81102,0.35000000000000003,8.15062990444943,0.030776515151515152
independent,fixed_q1,81102,0.4,8.183446733609056,0.03125
independent,fixed_q1,81102,0.45,8.937343795599446,0.046875
independent,fixed_q1,81102,0.5,8.654201449427728,0.0625
independent,fixed_q1,81102,0.55,9.127309100793171,0.06250000000000011
independent,fixed_q1,81102,0.6000000000000001,9.011414446993301,2.081668171172169e-16
independent,fixed_q1,81102,0.65,8.609687573664607,0.0625
independent,fixed_q1,81102,0.7000000000000001,8.76946800070461,0.0625
independent,fixed_q1,81102,0.75,9.485605319752729,0.109375
independent,fixed_q1,81102,0.8,9.07385825334212,0.03125
independent,fixed_q1,81102,0.8500000000000001,9.540312026374535,0.06249999999999979
independent,fixed_q1,81102,0.9,9.411686818116559,0.09375
independent,fixed_q1,81102,0.9500000000000001,8.985683089682096,0.07812499999999994
independent,fixed_q1,81102,1.0,10.657230152300974,0.125
independent,fixed_q8,81101,0.0,8.145446401354125,0.0
independent,fixed_q8,81101,0.05,8.145446401354125,0.0
independent,fixed_q8,81101,0.1,8.608483826128692,0.010416666666666671
independent,fixed_q8,81101,0.15000000000000002,9.534558675677829,0.03125000000000002
independent,fixed_q8,81101,0.2,10.496504938266517,0.07291666666666669
independent,fixed_q8,81101,0.25,10.730672096980527,0.08333333333333333
independent,fixed_q8,81101,0.30000000000000004,10.237060151819861,0.06250000000000004
independent,fixed_q8,81101,0.35000000000000003,10.122702330098177,0.1041666666666667
independent,fixed_q8,81101,0.4,10.336195547596462,0.125
independent,fixed_q8,81101,0.45,10.877539804314718,0.125
independent,fixed_q8,81101,0.5,9.723750813508689,0.06250000000000003
independent,fixed_q8,81101,0.55,9.804258452807971,0.0833333333333334
independent,fixed_q8,81101,0.6000000000000001,11.11906272221257,0.18749999999999994
independent,fixed_q8,81101,0.65,11.777341973082008,0.16666666666666666
independent,fixed_q8,81101,0.7000000000000001,12.18171619321068,0.18750000000000006
independent,fixed_q8,81101,0.75,12.332185382598585,0.25
independent,fixed_q8,81101,0.8,12.898509928604946,0.3125000000000001
independent,fixed_q8,81101,0.8500000000000001,12.521406054484277,0.2812499999999997
independent,fixed_q8,81101,0.9,11.20087376023659,0.15625
independent,fixed_q8,81101,0.9500000000000001,11.335148042293229,0.13541666666666663
independent,fixed_q8,81101,1.0,11.402285183321547,0.125
independent,fixed_q8,81102,0.0,7.97814377344493,0.0
independent,fixed_q8,81102,0.05,7.97814377344493,0.0
independent,fixed_q8,81102,0.1,8.905584501533843,0.041666666666666685
independent,fixed_q8,81102,0.15000000000000002,10.76046595771167,0.125
independent,fixed_q8,81102,0.2,9.928742191518808,0.125
independent,fixed_q8,81102,0.25,10.057971123733497,0.15625
independent,fixed_q8,81102,0.30000000000000004,11.148152754355738,0.21874999999999994
independent,fixed_q8,81102,0.35000000000000003,11.157799706174027,0.17708333333333331
independent,fixed_q8,81102,0.4,10.853314645551045,0.14583333333333331
independent,fixed_q8,81102,0.45,10.234697572486795,0.125
independent,fixed_q8,81102,0.5,11.373900087043534,0.22916666666666663
independent,fixed_q8,81102,0.55,11.626928983530584,0.24999999999999994
independent,fixed_q8,81102,0.6000000000000001,10.993784261947948,0.18750000000000006
independent,fixed_q8,81102,0.65,11.377857347388579,0.20833333333333334
independent,fixed_q8,81102,0.7000000000000001,12.004436873336815,0.26041666666666674
independent,fixed_q8,81102,0.75,12.873522839792653,0.34375
independent,fixed_q8,81102,0.8,11.587584193549553,0.21874999999999983
independent,fixed_q8,81102,0.8500000000000001,10.72475966381602,0.1458333333333333
independent,fixed_q8,81102,0.9,10.28504925059205,0.125
independent,fixed_q8,81102,0.9500000000000001,10.684977789872477,0.125
independent,fixed_q8,81102,1.0,10.88494205951269,0.125
shared,fixed_q1,81101,0.0,7.6761537445010095,0.03125
shared,fixed_q1,81101,0.05,7.721704972370991,0.015624999999999997
shared,fixed_q1,81101,0.1,7.278928459132283,0.0
shared,fixed_q1,81101,0.15000000000000002,8.114667623661793,0.046875000000000076
shared,fixed_q1,81101,0.2,9.14475198798446,0.03125
shared,fixed_q1,81101,0.25,7.93416199837082,0.0
shared,fixed_q1,81101,0.30000000000000004,7.832819600711564,0.031249999999999948
shared,fixed_q1,81101,0.35000000000000003,8.603067031298329,0.031250000000000104
shared,fixed_q1,81101,0.4,8.528822850975796,0.03125
shared,fixed_q1,81101,0.45,11.043546005358676,0.13825757575757575
shared,fixed_q1,81101,0.5,8.39324125363577,0.0625
shared,fixed_q1,81101,0.55,9.135987922843752,0.0625
shared,fixed_q1,81101,0.6000000000000001,9.061017986977241,0.06250000000000032
shared,fixed_q1,81101,0.65,11.909604535514946,0.23437500000000028
shared,fixed_q1,81101,0.7000000000000001,9.101268458405752,0.09375
shared,fixed_q1,81101,0.75,9.629767632570381,0.09375
shared,fixed_q1,81101,0.8,9.241016445385984,0.0
shared,fixed_q1,81101,0.8500000000000001,10.769905966506162,0.14062500000000006
shared,fixed_q1,81101,0.9,10.18093786306009,0.15151515151515152
shared,fixed_q1,81101,0.9500000000000001,10.050698225892116,0.17187499999999972
shared,fixed_q1,81101,1.0,9.065342168172155,0.0
shared,fixed_q1,81102,0.0,7.026698335968062,0.0
shared,fixed_q1,81102,0.05,6.9884353008564055,0.0
shared,fixed_q1,81102,0.1,7.293699302300166,0.03125
shared,fixed_q1,81102,0.15000000000000002,7.7871741341313445,0.015625000000000028
shared,fixed_q1,81102,0.2,9.289084145336991,0.125
shared,fixed_q1,81102,0.25,7.410591059528992,0.015625
shared,fixed_q1,81102,0.30000000000000004,9.715716970481052,0.0
shared,fixed_q1,81102,0.35000000000000003,8.986990667499114,0.015625000000000052
shared,fixed_q1,81102,0.4,8.957653246728382,0.03125
shared,fixed_q1,81102,0.45,7.843060439496117,0.03125
shared,fixed_q1,81102,0.5,8.859609131483513,0.0625
shared,fixed_q1,81102,0.55,8.920553313256338,0.04687499999999985
shared,fixed_q1,81102,0.6000000000000001,8.84893314464017,0.06249999999999979
shared,fixed_q1,81102,0.65,9.004474377354187,0.04687500000000015
shared,fixed_q1,81102,0.7000000000000001,9.284554621245729,0.062499999999999896
shared,fixed_q1,81102,0.75,9.336523660994754,0.046875
shared,fixed_q1,81102,0.8,10.084908068088085,0.125
shared,fixed_q1,81102,0.8500000000000001,9.941680683924101,0.046875000000000056
shared,fixed_q1,81102,0.9,9.724390763137059,0.1875
shared,fixed_q1,81102,0.9500000000000001,8.90367482849988,0.06250000000000021
shared,fixed_q1,81102,1.0,9.39288399865724,0.09375
shared,fixed_q8,81101,0.0,7.573755274550173,0.0
shared,fixed_q8,81101,0.05,7.573755274550173,0.0
shared,fixed_q8,81101,0.1,8.33106719903399,0.031250000000000014
shared,fixed_q8,81101,0.15000000000000002,9.845691048001623,0.09375000000000004
shared,fixed_q8,81101,0.2,10.68595621666296,0.17708333333333337
shared,fixed_q8,81101,0.25,11.249028356643862,0.20833333333333334
shared,fixed_q8,81101,0.30000000000000004,11.534907467944329,0.18749999999999997
shared,fixed_q8,81101,0.35000000000000003,10.935553167083054,0.16666666666666666
shared,fixed_q8,81101,0.4,10.65091131656828,0.12499999999999997
shared,fixed_q8,81101,0.45,10.680981916400006,0.0625
shared,fixed_q8,81101,0.5,10.539532190600575,0.10416666666666666
shared,fixed_q8,81101,0.55,10.614751255301998,0.13541666666666669
shared,fixed_q8,81101,0.6000000000000001,10.906639110504281,0.15625000000000008
shared,fixed_q8,81101,0.65,12.581861945673392,0.19791666666666666
shared,fixed_q8,81101,0.7000000000000001,12.839594850251629,0.19791666666666663
shared,fixed_q8,81101,0.75,11.67983782423899,0.15625
shared,fixed_q8,81101,0.8,12.36919494418355,0.25410353535353547
shared,fixed_q8,81101,0.8500000000000001,12.356035002879505,0.2645202020202019
shared,fixed_q8,81101,0.9,11.640358000326867,0.1875
shared,fixed_q8,81101,0.9500000000000001,12.274924508083178,0.2500000000000001
shared,fixed_q8,81101,1.0,12.592207761961332,0.28125
shared,fixed_q8,81102,0.0,9.146162787631818,0.03125
