task,mixing,rho,delay_trace,budget,best_fixed_policy,best_fixed_q,best_fixed_geometric_terminal_prediction_mse,best_fixed_cvar90_terminal_prediction_mse,best_fixed_mean_message_bytes,best_fixed_mean_environment_steps,best_fixed_mean_agent_transitions,best_fixed_mean_wall_seconds
acrobot,fast_regeneration,0.0,edge_jitter,environment_binding,fixed_q4,4,31.17681479255247,31.28829574584961,143671296.0,1024.0,4096.0,2.2173148414585744
acrobot,fast_regeneration,0.0,edge_jitter,message_binding,single_agent,1,31.31735999501925,31.64318084716797,134175204.0,1593.0,1593.0,1.3750552160199732
acrobot,fast_regeneration,0.0,wan_bursty,environment_binding,fixed_q4,4,31.115158384086143,31.2943058013916,143671296.0,1024.0,4096.0,2.7836168304784223
acrobot,fast_regeneration,0.0,wan_bursty,message_binding,fixed_q4,4,31.34547054358159,31.56214714050293,134130624.0,956.0,3824.0,2.5902677200501785
acrobot,fast_regeneration,0.0,zero,environment_binding,fixed_q4,4,31.1783925697737,31.28895568847656,143671296.0,1024.0,4096.0,0.969788902439177
acrobot,fast_regeneration,0.0,zero,message_binding,single_agent,1,31.184191163855697,31.404809951782227,134175204.0,1593.0,1593.0,1.4314196039922535
acrobot,fast_regeneration,0.5,edge_jitter,environment_binding,fixed_q4,4,31.282255214714652,31.605375289916992,143671296.0,1024.0,4096.0,2.2093654440250248
acrobot,fast_regeneration,0.5,edge_jitter,message_binding,single_agent,1,31.202439661162572,31.411375045776367,134175204.0,1593.0,1593.0,1.3671323029557243
acrobot,fast_regeneration,0.5,wan_bursty,environment_binding,fixed_q16,16,31.44115040314634,32.01427459716797,373358592.0,1024.0,16384.0,5.681624000542797
acrobot,fast_regeneration,0.5,wan_bursty,message_binding,single_agent,1,31.363232324006233,31.52276611328125,134175204.0,1593.0,1593.0,1.3809063299559057
acrobot,fast_regeneration,0.5,zero,environment_binding,fixed_q4,4,31.221391994939996,31.47681427001953,143671296.0,1024.0,4096.0,0.9636350999353454
acrobot,fast_regeneration,0.5,zero,message_binding,single_agent,1,31.15939234524247,31.354881286621094,134175204.0,1593.0,1593.0,1.4264601299073547
acrobot,fast_regeneration,0.9,edge_jitter,environment_binding,fixed_q4,4,31.333625765310366,31.605375289916992,143671296.0,1024.0,4096.0,2.200709142605774
acrobot,fast_regeneration,0.9,edge_jitter,message_binding,single_agent,1,31.282130422842794,31.411375045776367,134175204.0,1593.0,1593.0,1.365718059008941
acrobot,fast_regeneration,0.9,wan_bursty,environment_binding,fixed_q16,16,31.584669711721585,32.29972076416016,373358592.0,1024.0,16384.0,5.655824127024971
acrobot,fast_regeneration,0.9,wan_bursty,message_binding,single_agent,1,31.381852860540402,31.52276611328125,134175204.0,1593.0,1593.0,1.3738426219206303
acrobot,fast_regeneration,0.9,zero,environment_binding,single_agent,1,31.274414695663946,31.47681427001953,86249472.0,1024.0,1024.0,0.9191535540157929
acrobot,fast_regeneration,0.9,zero,message_binding,single_agent,1,31.221981684593526,31.354881286621094,134175204.0,1593.0,1593.0,1.4251413989113644
acrobot,slow_regeneration,0.0,edge_jitter,environment_binding,fixed_q16,16,33.68775579512262,35.79582214355469,373358592.0,1024.0,16384.0,3.38096298603341
acrobot,slow_regeneration,0.0,edge_jitter,message_binding,fixed_q4,4,33.7716569324372,35.837589263916016,134130624.0,956.0,3824.0,2.0568597960518673
acrobot,slow_regeneration,0.0,wan_bursty,environment_binding,fixed_q16,16,33.834387429979024,36.11251449584961,373358592.0,1024.0,16384.0,5.651722530485131
acrobot,slow_regeneration,0.0,wan_bursty,message_binding,single_agent,1,32.899670616592616,34.7744140625,134175204.0,1593.0,1593.0,1.3711549900472164
acrobot,slow_regeneration,0.0,zero,environment_binding,fixed_q16,16,33.59632848540779,35.6019172668457,373358592.0,1024.0,16384.0,1.2235950945178047
acrobot,slow_regeneration,0.0,zero,message_binding,fixed_q4,4,33.55524576018192,35.491363525390625,134130624.0,956.0,3824.0,0.8988364555407315
acrobot,slow_regeneration,0.5,edge_jitter,environment_binding,fixed_q16,16,33.68701284283936,35.34418487548828,373358592.0,1024.0,16384.0,3.3888202571542934
acrobot,slow_regeneration,0.5,edge_jitter,message_binding,single_agent,1,34.09736108000683,35.29617691040039,134175204.0,1593.0,1593.0,1.3631886754883453
acrobot,slow_regeneration,0.5,wan_bursty,environment_binding,fixed_q16,16,33.55777299192676,35.34830474853516,373358592.0,1024.0,16384.0,5.657777630141936
acrobot,slow_regeneration,0.5,wan_bursty,message_binding,single_agent,1,33.7581582587635,35.75577545166016,134175204.0,1593.0,1593.0,1.3798262858763337
acrobot,slow_regeneration,0.5,zero,environment_binding,fixed_q16,16,33.96677589920702,35.335235595703125,373358592.0,1024.0,16384.0,1.2236690495628864
acrobot,slow_regeneration,0.5,zero,message_binding,single_agent,1,33.96273945843577,35.24842071533203,134175204.0,1593.0,1593.0,1.4218982099555433
acrobot,slow_regeneration,0.9,edge_jitter,environment_binding,fixed_q16,16,33.64063647207019,35.41248321533203,373358592.0,1024.0,16384.0,3.3984238244593143
acrobot,slow_regeneration,0.9,edge_jitter,message_binding,single_agent,1,34.09736108000683,35.29617691040039,134175204.0,1593.0,1593.0,1.3702889614505693
acrobot,slow_regeneration,0.9,wan_bursty,environment_binding,fixed_q16,16,33.675289593837114,35.57052230834961,373358592.0,1024.0,16384.0,5.645993533078581
acrobot,slow_regeneration,0.9,wan_bursty,message_binding,single_agent,1,33.7581582587635,35.75577545166016,134175204.0,1593.0,1593.0,1.3747875264380127
acrobot,slow_regeneration,0.9,zero,environment_binding,fixed_q16,16,33.888189711140846,35.3670654296875,373358592.0,1024.0,16384.0,1.2175243236124516
acrobot,slow_regeneration,0.9,zero,message_binding,single_agent,1,33.96273945843577,35.24842071533203,134175204.0,1593.0,1593.0,1.4257955466164276
cartpole,fast_regeneration,0.0,edge_jitter,environment_binding,fixed_q32,32,32.89066896789783,32.912933349609375,536608384.0,829.0,26528.0,3.5448088250122964
cartpole,fast_regeneration,0.0,edge_jitter,message_binding,fixed_q4,4,34.629762001761726,34.887550354003906,134108320.0,970.0,3880.0,2.130838908487931
cartpole,fast_regeneration,0.0,wan_bursty,environment_binding,fixed_q32,32,32.909049152466366,32.9584846496582,536608384.0,829.0,26528.0,5.629338772618212
cartpole,fast_regeneration,0.0,wan_bursty,message_binding,single_agent,1,34.33237189974551,34.70581817626953,134196748.0,1603.0,1603.0,1.4063990454887971
cartpole,fast_regeneration,0.0,zero,environment_binding,fixed_q32,32,32.86992786789264,32.89561462402344,536608384.0,829.0,26528.0,1.682647267007269
cartpole,fast_regeneration,0.0,zero,message_binding,fixed_q4,4,34.57186787560126,34.68663024902344,134108320.0,970.0,3880.0,0.9338497804710642
