task,mixing,rho,delay_trace,budget,best_fixed_policy,best_fixed_q,policy,nominal_q,geometric_terminal_prediction_mse,geometric_terminal_error_ratio_to_best_fixed,cvar90_terminal_prediction_mse,mean_message_bytes,mean_environment_steps,mean_agent_transitions,mean_wall_seconds,seeds
acrobot,fast_regeneration,0.0,edge_jitter,environment_binding,fixed_q4,4,always_all,32,32.09311238137298,1.0293903528926052,32.773963928222656,536253440.0,808.0,25856.0,3.4055284335045144,2
acrobot,fast_regeneration,0.0,edge_jitter,environment_binding,fixed_q4,4,fixed_q16,16,31.35427882542223,1.0056921797191467,31.46964263916016,373358592.0,1024.0,16384.0,3.403699772548862,2
acrobot,fast_regeneration,0.0,edge_jitter,environment_binding,fixed_q4,4,fixed_q32,32,32.09311238137298,1.0293903528926052,32.773963928222656,536253440.0,808.0,25856.0,3.399757167440839,2
acrobot,fast_regeneration,0.0,edge_jitter,environment_binding,fixed_q4,4,fixed_q4,4,31.17681479255247,1.0,31.28829574584961,143671296.0,1024.0,4096.0,2.2173148414585744,2
acrobot,fast_regeneration,0.0,edge_jitter,environment_binding,fixed_q4,4,oracle_evaluation_only,,840.4697057404753,26.958164627556727,857.0712890625,169902080.0,1024.0,32768.0,2.1749722943641245,2
acrobot,fast_regeneration,0.0,edge_jitter,environment_binding,fixed_q4,4,single_agent,1,31.282890796014332,1.0034024002826356,31.390247344970703,86249472.0,1024.0,1024.0,0.8792767480481416,2
acrobot,fast_regeneration,0.0,edge_jitter,message_binding,single_agent,1,always_all,32,910.3739571265265,29.069307159713127,921.3907470703124,134063360.0,202.0,6464.0,0.85375147650484,2
acrobot,fast_regeneration,0.0,edge_jitter,message_binding,single_agent,1,fixed_q16,16,472.03928580312163,15.072767496308607,515.6505126953125,134175744.0,368.0,5888.0,1.2260748645057902,2
acrobot,fast_regeneration,0.0,edge_jitter,message_binding,single_agent,1,fixed_q32,32,910.3739571265265,29.069307159713127,921.3907470703124,134063360.0,202.0,6464.0,0.8534394564339891,2
acrobot,fast_regeneration,0.0,edge_jitter,message_binding,single_agent,1,fixed_q4,4,31.663230255224285,1.011044042673458,32.36486053466797,134130624.0,956.0,3824.0,2.067596675362438,2
acrobot,fast_regeneration,0.0,edge_jitter,message_binding,single_agent,1,oracle_evaluation_only,,32.5168154184491,1.0383000171029937,34.19377136230469,134178780.0,4038.0,14556.0,6.416856310912408,2
acrobot,fast_regeneration,0.0,edge_jitter,message_binding,single_agent,1,single_agent,1,31.31735999501925,1.0,31.64318084716797,134175204.0,1593.0,1593.0,1.3750552160199732,2
acrobot,fast_regeneration,0.0,wan_bursty,environment_binding,fixed_q4,4,always_all,32,31.84732251097505,1.023530785794212,32.40835189819336,536253440.0,808.0,25856.0,5.421538961469196,2
acrobot,fast_regeneration,0.0,wan_bursty,environment_binding,fixed_q4,4,fixed_q16,16,31.149213075276244,1.001094472693011,31.25696563720703,373358592.0,1024.0,16384.0,5.686369079863653,2
acrobot,fast_regeneration,0.0,wan_bursty,environment_binding,fixed_q4,4,fixed_q32,32,31.84732251097505,1.023530785794212,32.40835189819336,536253440.0,808.0,25856.0,5.422435146057978,2
acrobot,fast_regeneration,0.0,wan_bursty,environment_binding,fixed_q4,4,fixed_q4,4,31.115158384086143,1.0,31.2943058013916,143671296.0,1024.0,4096.0,2.7836168304784223,2
acrobot,fast_regeneration,0.0,wan_bursty,environment_binding,fixed_q4,4,oracle_evaluation_only,,854.804018883615,27.472269571374085,870.3058471679688,169902080.0,1024.0,32768.0,3.0928961754543707,2
acrobot,fast_regeneration,0.0,wan_bursty,environment_binding,fixed_q4,4,single_agent,1,31.343227620998,1.0073298433546944,31.361780166625977,86249472.0,1024.0,1024.0,0.8875043804291636,2
acrobot,fast_regeneration,0.0,wan_bursty,message_binding,fixed_q4,4,always_all,32,917.2837740363025,29.26367855160907,927.7330932617188,134063360.0,202.0,6464.0,1.3574114210205153,2
acrobot,fast_regeneration,0.0,wan_bursty,message_binding,fixed_q4,4,fixed_q16,16,530.2293401809382,16.915660571875186,571.9459228515625,134175744.0,368.0,5888.0,2.0418370455736294,2
acrobot,fast_regeneration,0.0,wan_bursty,message_binding,fixed_q4,4,fixed_q32,32,917.2837740363025,29.26367855160907,927.7330932617188,134063360.0,202.0,6464.0,1.3610566684510559,2
acrobot,fast_regeneration,0.0,wan_bursty,message_binding,fixed_q4,4,fixed_q4,4,31.34547054358159,1.0,31.56214714050293,134130624.0,956.0,3824.0,2.5902677200501785,2
acrobot,fast_regeneration,0.0,wan_bursty,message_binding,fixed_q4,4,oracle_evaluation_only,,32.17789104690845,1.0265563250093659,33.18367004394531,134178780.0,4038.0,14556.0,8.025851584970951,2
acrobot,fast_regeneration,0.0,wan_bursty,message_binding,fixed_q4,4,single_agent,1,31.54084145324598,1.0062328274636283,31.880802154541016,134175204.0,1593.0,1593.0,1.3819260520394892,2
acrobot,fast_regeneration,0.0,zero,environment_binding,fixed_q4,4,always_all,32,31.902679877104596,1.023230424907571,32.422264099121094,536253440.0,808.0,25856.0,1.6255038116360083,2
acrobot,fast_regeneration,0.0,zero,environment_binding,fixed_q4,4,fixed_q16,16,31.34294764140374,1.005277856171122,31.45501518249512,373358592.0,1024.0,16384.0,1.2216009820112959,2
acrobot,fast_regeneration,0.0,zero,environment_binding,fixed_q4,4,fixed_q32,32,31.902679877104596,1.023230424907571,32.422264099121094,536253440.0,808.0,25856.0,1.6264203909086064,2
acrobot,fast_regeneration,0.0,zero,environment_binding,fixed_q4,4,fixed_q4,4,31.1783925697737,1.0,31.28895568847656,143671296.0,1024.0,4096.0,0.969788902439177,2
