persistence,rho,maximum_delay,policy,mean_error,bootstrap_99_upper_mean,finite_time_bound,bound_to_mean_ratio
0.0,0.0,0,joint,0.0014980330147417239,0.0021718760804442035,0.3430235817666552,228.98265818647258
0.0,0.0,0,q1,0.012962392030195741,0.01440739126933184,0.56762839471339,43.79040484125972
0.0,0.0,0,q32,0.0010173324785890724,0.0013681009407321464,0.3565781667995159,350.50307967563407
0.0,0.0,8,joint,0.0025110248795640966,0.0034797032817516158,0.425511943366428,169.45747803195604
0.0,0.0,8,q1,0.012962392030195741,0.014440981958460363,0.56762839471339,43.79040484125972
0.0,0.0,8,q32,0.6454143051694575,0.6454944756743215,0.6960009753902412,1.0783786008701834
0.0,0.9,0,joint,0.011390141349237843,0.012906246639422117,0.56762839471339,49.83506150706129
0.0,0.9,0,q1,0.011390141349237843,0.012903669624393767,0.56762839471339,49.83506150706129
0.0,0.9,0,q32,0.05696809354976597,0.06065386223299571,0.6181440096510118,10.850705564001643
0.0,0.9,8,joint,0.011390141349237843,0.012935941569455742,0.56762839471339,49.83506150706129
0.0,0.9,8,q1,0.011390141349237843,0.012844337898263024,0.56762839471339,49.83506150706129
0.0,0.9,8,q32,0.6461940499740441,0.6467229506412285,0.6960039828359549,1.077082004800124
0.9,0.0,0,joint,0.028849711734549595,0.042077707333882546,1.7893159857650993,62.021971041820336
0.9,0.0,0,q1,0.601377091544186,0.6740454145229037,5.7840399337397645,9.617991797605388
0.9,0.0,0,q32,0.028849711734549595,0.042888319914782626,1.7893159857650993,62.021971041820336
0.9,0.0,8,joint,0.10910743330847664,0.1370387956911254,3.1519003872762434,28.888044486987027
0.9,0.0,8,q1,0.601377091544186,0.6725277998105605,5.7840399337397645,9.617991797605388
0.9,0.0,8,q32,9.036658910109727,9.036902983141193,9.106771909635794,1.0077587303253892
0.9,0.9,0,joint,0.6006184483436401,0.6939877961207069,5.7840399337397645,9.63014031568751
0.9,0.9,0,q1,0.6006184483436401,0.6870485661372709,5.7840399337397645,9.63014031568751
0.9,0.9,0,q32,1.1475985539508373,1.2452836303474897,6.531965164912668,5.691855520752508
0.9,0.9,8,joint,0.6006184483436401,0.6952996510594726,5.7840399337397645,9.63014031568751
0.9,0.9,8,q1,0.6006184483436401,0.6920149311985639,5.7840399337397645,9.63014031568751
0.9,0.9,8,q32,9.03725907752202,9.038497294165742,9.10677368147869,1.0076920007892185
0.98,0.0,0,joint,0.7038974467073293,0.7521821941011293,8.906728318451414,12.65344598153473
0.98,0.0,0,q1,3.4913726634262185,3.719777995220283,12.342447380399843,3.5351274613829746
0.98,0.0,0,q32,0.7716962004751641,0.8397096298435748,8.980149041189279,11.636896793919476
0.98,0.0,8,joint,1.0933865825677118,1.204041550987957,9.731669466781105,8.900483709912763
0.98,0.0,8,q1,3.4913726634262185,3.7105107227445795,12.342447380399843,3.5351274613829746
0.98,0.0,8,q32,16.784462819787812,16.78461795934748,16.80514243398927,1.0012320688736656
0.98,0.9,0,joint,3.5273223181096496,3.7632744975456163,12.342447380399843,3.4990982584813413
0.98,0.9,0,q1,3.5273223181096496,3.7561842456563777,12.342447380399843,3.4990982584813413
0.98,0.9,0,q32,5.113228137109626,5.378377041764536,13.229314009303925,2.587272395160938
0.98,0.9,8,joint,3.5273223181096496,3.7622989546998262,12.342447380399843,3.4990982584813413
0.98,0.9,8,q1,3.5273223181096496,3.7453802478070854,12.342447380399843,3.4990982584813413
0.98,0.9,8,q32,16.784443599853795,16.78522808509611,16.805142572399127,1.0012332236348611
