persistence,rho,maximum_delay,numerator,denominator,ratio,bootstrap_95_lower,bootstrap_95_upper,bootstrap_replications
0.0,0.0,0,joint,q1,0.1155676368414158,0.07927505049471704,0.16198804589533256,2000
0.0,0.0,0,joint,q32,1.4725107536322146,0.9047713556437265,2.2621145042380935,2000
0.0,0.0,8,joint,q1,0.19371616548201084,0.1398049131261009,0.2503880034731186,2000
0.0,0.0,8,joint,q32,0.003890562789594215,0.0028106633348429382,0.005072863911054101,2000
0.0,0.9,0,joint,q1,1.0,1.0,1.0,2000
0.0,0.9,0,joint,q32,0.19993895950349272,0.1761654784097296,0.227076142927999,2000
0.0,0.9,8,joint,q1,1.0,1.0,1.0,2000
0.0,0.9,8,joint,q32,0.017626502982649492,0.01564380664203791,0.01957148268707428,2000
0.9,0.0,0,joint,q1,0.04797274811461599,0.03087950930720557,0.06954372877255337,2000
0.9,0.0,0,joint,q32,1.0,1.0,1.0,2000
0.9,0.0,8,joint,q1,0.1814293142233204,0.1367120667812383,0.2294452753906148,2000
0.9,0.0,8,joint,q32,0.012073868715617131,0.009664038019574741,0.014640278615588007,2000
0.9,0.9,0,joint,q1,1.0,1.0,1.0,2000
0.9,0.9,0,joint,q32,0.5233698197648394,0.43939655872063593,0.6079338838088171,2000
0.9,0.9,8,joint,q1,1.0,1.0,1.0,2000
0.9,0.9,8,joint,q32,0.06646024454887348,0.058259387542088883,0.07482574804866815,2000
0.98,0.0,0,joint,q1,0.2016105167119478,0.18705614757157737,0.2183674158126529,2000
0.98,0.0,0,joint,q32,0.9121432064508179,0.8277691332536006,1.0059402024989652,2000
0.98,0.0,8,joint,q1,0.3131681112192502,0.285215946894226,0.34278632274005943,2000
0.98,0.0,8,joint,q32,0.06514278081504513,0.059909262945453984,0.07082463523602266,2000
0.98,0.9,0,joint,q1,1.0,1.0,1.0,2000
0.98,0.9,0,joint,q32,0.6898425463377725,0.6468486192090006,0.7376338840164308,2000
0.98,0.9,8,joint,q1,1.0,1.0,1.0,2000
0.98,0.9,8,joint,q32,0.21015425963481896,0.19915482520247488,0.22216055292288478,2000
