rho,overhead,q,fisher_closed,fisher_direct,fisher_relative_error,minimax_risk,risk_ratio_speedup,effective_speedup,speedup_relative_error,information_per_cost,selected_q,selected_efficiency,adaptive_budget_lower_bound,budget_identity_relative_error
0.0,1.0,1,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.5,32,0.9696969696969697,8.056640625e-06,0.0
0.0,1.0,2,2.0,2.0,0.0,0.5,2.0,2.0,0.0,0.6666666666666666,32,0.9696969696969697,8.056640625e-06,0.0
0.0,1.0,4,4.0,4.0,0.0,0.25,4.0,4.0,0.0,0.8,32,0.9696969696969697,8.056640625e-06,0.0
0.0,1.0,8,8.0,8.0,0.0,0.125,8.0,8.0,0.0,0.8888888888888888,32,0.9696969696969697,8.056640625e-06,0.0
0.0,1.0,16,16.0,16.0,0.0,0.0625,16.0,16.0,0.0,0.9411764705882353,32,0.9696969696969697,8.056640625e-06,0.0
0.0,1.0,32,32.0,32.0,0.0,0.03125,32.0,32.0,0.0,0.9696969696969697,32,0.9696969696969697,8.056640625e-06,0.0
0.0,4.0,1,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.2,32,0.8888888888888888,8.789062500000001e-06,0.0
0.0,4.0,2,2.0,2.0,0.0,0.5,2.0,2.0,0.0,0.3333333333333333,32,0.8888888888888888,8.789062500000001e-06,0.0
0.0,4.0,4,4.0,4.0,0.0,0.25,4.0,4.0,0.0,0.5,32,0.8888888888888888,8.789062500000001e-06,0.0
0.0,4.0,8,8.0,8.0,0.0,0.125,8.0,8.0,0.0,0.6666666666666666,32,0.8888888888888888,8.789062500000001e-06,0.0
0.0,4.0,16,16.0,16.0,0.0,0.0625,16.0,16.0,0.0,0.8,32,0.8888888888888888,8.789062500000001e-06,0.0
0.0,4.0,32,32.0,32.0,0.0,0.03125,32.0,32.0,0.0,0.8888888888888888,32,0.8888888888888888,8.789062500000001e-06,0.0
0.0,16.0,1,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.058823529411764705,32,0.6666666666666666,1.171875e-05,0.0
0.0,16.0,2,2.0,2.0,0.0,0.5,2.0,2.0,0.0,0.1111111111111111,32,0.6666666666666666,1.171875e-05,0.0
0.0,16.0,4,4.0,4.0,0.0,0.25,4.0,4.0,0.0,0.2,32,0.6666666666666666,1.171875e-05,0.0
0.0,16.0,8,8.0,8.0,0.0,0.125,8.0,8.0,0.0,0.3333333333333333,32,0.6666666666666666,1.171875e-05,0.0
0.0,16.0,16,16.0,16.0,0.0,0.0625,16.0,16.0,0.0,0.5,32,0.6666666666666666,1.171875e-05,0.0
0.0,16.0,32,32.0,32.0,0.0,0.03125,32.0,32.0,0.0,0.6666666666666666,32,0.6666666666666666,1.171875e-05,0.0
0.0,64.0,1,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.015384615384615385,32,0.3333333333333333,2.34375e-05,0.0
0.0,64.0,2,2.0,2.0,0.0,0.5,2.0,2.0,0.0,0.030303030303030304,32,0.3333333333333333,2.34375e-05,0.0
0.0,64.0,4,4.0,4.0,0.0,0.25,4.0,4.0,0.0,0.058823529411764705,32,0.3333333333333333,2.34375e-05,0.0
0.0,64.0,8,8.0,8.0,0.0,0.125,8.0,8.0,0.0,0.1111111111111111,32,0.3333333333333333,2.34375e-05,0.0
0.0,64.0,16,16.0,16.0,0.0,0.0625,16.0,16.0,0.0,0.2,32,0.3333333333333333,2.34375e-05,0.0
0.0,64.0,32,32.0,32.0,0.0,0.03125,32.0,32.0,0.0,0.3333333333333333,32,0.3333333333333333,2.34375e-05,0.0
0.01,1.0,1,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.5,8,0.8307372793354102,9.404296875e-06,0.0
0.01,1.0,2,1.9801980198019802,1.9801980198019802,0.0,0.505,1.9801980198019802,1.9801980198019802,0.0,0.6600660066006601,8,0.8307372793354102,9.404296875e-06,0.0
0.01,1.0,4,3.883495145631068,3.883495145631068,0.0,0.2575,3.883495145631068,3.883495145631068,0.0,0.7766990291262136,8,0.8307372793354102,9.404296875e-06,0.0
0.01,1.0,8,7.4766355140186915,7.476635514018692,1.1879386363489176e-16,0.13375,7.4766355140186915,7.4766355140186915,0.0,0.8307372793354102,8,0.8307372793354102,9.404296875e-06,0.0
0.01,1.0,16,13.913043478260871,13.913043478260867,2.55351295663786e-16,0.071875,13.913043478260871,13.913043478260871,0.0,0.8184143222506395,8,0.8307372793354102,9.404296875e-06,0.0
0.01,1.0,32,24.427480916030532,24.427480916030532,0.0,0.0409375,24.427480916030532,24.427480916030532,0.0,0.7402266944251676,8,0.8307372793354102,9.404296875e-06,0.0
0.01,4.0,1,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.2,16,0.6956521739130436,1.1230468749999998e-05,0.0
0.01,4.0,2,1.9801980198019802,1.9801980198019802,0.0,0.505,1.9801980198019802,1.9801980198019802,0.0,0.33003300330033003,16,0.6956521739130436,1.1230468749999998e-05,0.0
0.01,4.0,4,3.883495145631068,3.883495145631068,0.0,0.2575,3.883495145631068,3.883495145631068,0.0,0.4854368932038835,16,0.6956521739130436,1.1230468749999998e-05,0.0
0.01,4.0,8,7.4766355140186915,7.476635514018692,1.1879386363489176e-16,0.13375,7.4766355140186915,7.4766355140186915,0.0,0.6230529595015576,16,0.6956521739130436,1.1230468749999998e-05,0.0
0.01,4.0,16,13.913043478260871,13.913043478260867,2.55351295663786e-16,0.071875,13.913043478260871,13.913043478260871,0.0,0.6956521739130436,16,0.6956521739130436,1.1230468749999998e-05,0.0
0.01,4.0,32,24.427480916030532,24.427480916030532,0.0,0.0409375,24.427480916030532,24.427480916030532,0.0,0.6785411365564037,16,0.6956521739130436,1.1230468749999998e-05,0.0
0.01,16.0,1,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.058823529411764705,32,0.5089058524173028,1.53515625e-05,0.0
0.01,16.0,2,1.9801980198019802,1.9801980198019802,0.0,0.505,1.9801980198019802,1.9801980198019802,0.0,0.11001100110011001,32,0.5089058524173028,1.53515625e-05,0.0
0.01,16.0,4,3.883495145631068,3.883495145631068,0.0,0.2575,3.883495145631068,3.883495145631068,0.0,0.1941747572815534,32,0.5089058524173028,1.53515625e-05,0.0
0.01,16.0,8,7.4766355140186915,7.476635514018692,1.1879386363489176e-16,0.13375,7.4766355140186915,7.4766355140186915,0.0,0.3115264797507788,32,0.5089058524173028,1.53515625e-05,0.0
0.01,16.0,16,13.913043478260871,13.913043478260867,2.55351295663786e-16,0.071875,13.913043478260871,13.913043478260871,0.0,0.4347826086956522,32,0.5089058524173028,1.53515625e-05,0.0
0.01,16.0,32,24.427480916030532,24.427480916030532,0.0,0.0409375,24.427480916030532,24.427480916030532,0.0,0.5089058524173028,32,0.5089058524173028,1.53515625e-05,0.0
0.01,64.0,1,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.015384615384615385,32,0.2544529262086514,3.0703125e-05,0.0
0.01,64.0,2,1.9801980198019802,1.9801980198019802,0.0,0.505,1.9801980198019802,1.9801980198019802,0.0,0.030003000300030003,32,0.2544529262086514,3.0703125e-05,0.0
0.01,64.0,4,3.883495145631068,3.883495145631068,0.0,0.2575,3.883495145631068,3.883495145631068,0.0,0.05711022272986865,32,0.2544529262086514,3.0703125e-05,0.0
0.01,64.0,8,7.4766355140186915,7.476635514018692,1.1879386363489176e-16,0.13375,7.4766355140186915,7.4766355140186915,0.0,0.10384215991692627,32,0.2544529262086514,3.0703125e-05,0.0
0.01,64.0,16,13.913043478260871,13.913043478260867,2.55351295663786e-16,0.071875,13.913043478260871,13.913043478260871,0.0,0.1739130434782609,32,0.2544529262086514,3.0703125e-05,0.0
0.01,64.0,32,24.427480916030532,24.427480916030532,0.0,0.0409375,24.427480916030532,24.427480916030532,0.0,0.2544529262086514,32,0.2544529262086514,3.0703125e-05,0.0
0.05,1.0,1,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.5,4,0.6956521739130436,1.1230468749999998e-05,0.0
0.05,1.0,2,1.9047619047619047,1.9047619047619047,0.0,0.525,1.9047619047619047,1.9047619047619047,0.0,0.6349206349206349,4,0.6956521739130436,1.1230468749999998e-05,0.0
0.05,1.0,4,3.4782608695652177,3.4782608695652177,0.0,0.2875,3.4782608695652177,3.4782608695652177,0.0,0.6956521739130436,4,0.6956521739130436,1.1230468749999998e-05,0.0
0.05,1.0,8,5.925925925925926,5.925925925925926,0.0,0.16875,5.925925925925926,5.925925925925926,0.0,0.6584362139917695,4,0.6956521739130436,1.1230468749999998e-05,0.0
