rho,overhead,selected_q,selected_efficiency,adaptive_budget_lower_bound
0.0,1.0,32,0.9696969696969697,8.056640625e-06
0.0,4.0,32,0.8888888888888888,8.789062500000001e-06
0.0,16.0,32,0.6666666666666666,1.171875e-05
0.0,64.0,32,0.3333333333333333,2.34375e-05
0.01,1.0,8,0.8307372793354102,9.404296875e-06
0.01,4.0,16,0.6956521739130436,1.1230468749999998e-05
0.01,16.0,32,0.5089058524173028,1.53515625e-05
0.01,64.0,32,0.2544529262086514,3.0703125e-05
0.05,1.0,4,0.6956521739130436,1.1230468749999998e-05
0.05,4.0,8,0.49382716049382713,1.58203125e-05
0.05,16.0,16,0.2857142857142857,2.734375e-05
0.05,64.0,32,0.13071895424836602,5.976562499999999e-05
0.1,1.0,4,0.6153846153846153,1.2695312500000001e-05
0.1,4.0,8,0.392156862745098,1.9921875000000005e-05
0.1,16.0,16,0.2,3.90625e-05
0.1,64.0,32,0.08130081300813007,9.609375000000001e-05
0.25,1.0,2,0.5333333333333333,1.46484375e-05
0.25,4.0,4,0.2857142857142857,2.734375e-05
0.25,16.0,8,0.12121212121212122,6.4453125e-05
0.25,64.0,16,0.042105263157894736,0.00018554687500000003
0.5,1.0,1,0.5,1.5625e-05
0.5,4.0,2,0.2222222222222222,3.5156250000000004e-05
0.5,16.0,4,0.08,9.765625e-05
0.5,64.0,8,0.024691358024691357,0.00031640625
0.75,1.0,1,0.5,1.5625e-05
0.75,4.0,1,0.2,3.90625e-05
0.75,16.0,2,0.06349206349206349,0.000123046875
0.75,64.0,4,0.01809954751131222,0.00043164062499999995
0.9,1.0,1,0.5,1.5625e-05
0.9,4.0,1,0.2,3.90625e-05
0.9,16.0,1,0.058823529411764705,0.0001328125
0.9,64.0,2,0.01594896331738437,0.00048984375
0.99,1.0,1,0.5,1.5625e-05
0.99,4.0,1,0.2,3.90625e-05
0.99,16.0,1,0.058823529411764705,0.0001328125
0.99,64.0,1,0.015384615384615385,0.0005078125
