alignment,horizon,optimal_num_agents,finite_mse
sample_time,25,32,0.4282732530440041
sample_time,50,32,0.3099168336253486
sample_time,100,4,0.2623437430041292
sample_time,200,4,0.2549178560509589
sample_time,500,4,0.2547893499552701
sample_time,1000,4,0.25478934925722646
sample_time,2000,4,0.25478934925722646
server_time,25,32,0.4359499290645492
server_time,50,16,0.31734772331736444
server_time,100,4,0.2623437430041292
server_time,200,4,0.2549178560509589
server_time,500,4,0.2547893499552701
server_time,1000,4,0.25478934925722646
server_time,2000,4,0.25478934925722646
