policy,persistence,rho,delay,seed,decision,covered_so_far,persistence_upper,rho_upper,certified_persistence,certified_rho,transition_trials,sharing_trials,q,gap,eta,updates,exact_radius
dual_ucb,0.5,0.0,0,20261231,1,True,0.6637015798253265,0.06276907731421694,0.664,0.08,470,198,16,5,0.014716826994080941,68,0.9811339554614065
dual_ucb,0.5,0.0,0,20261231,2,True,0.5781220800591227,0.04209561106538348,0.58,0.06,692,272,16,3,0.015486980993178029,74,0.9801694104729126
dual_ucb,0.5,0.0,0,20261231,3,True,0.5848874984580728,0.03138674422532664,0.586,0.04,914,346,16,3,0.017725199895122338,74,0.9773790928404895
dual_ucb,0.5,0.0,0,20261231,4,True,0.5674058008410579,0.025096653795174638,0.5680000000000001,0.04,1136,420,16,3,0.020134975622045293,74,0.9743962587736166
dual_ucb,0.5,0.0,0,20261231,5,True,0.5610925709166805,0.020946806161918817,0.562,0.04,1358,494,16,3,0.023547952744400864,74,0.9702095513511053
dual_ucb,0.5,0.0,0,20261231,6,True,0.5628938662769603,0.017998412924491405,0.5640000000000001,0.02,1580,568,16,3,0.029122119533998497,74,0.9634672333650796
dual_ucb,0.5,0.0,0,20261231,7,True,0.5600963496429932,0.01579291230787428,0.562,0.02,1802,642,16,3,0.037108876123459776,74,0.9540132593727206
dual_ucb,0.5,0.0,0,20261231,8,True,0.5483880347219459,0.014079340187326182,0.55,0.02,2024,716,16,3,0.051503801196932354,74,0.9375882555405215
dual_ucb,0.5,0.0,0,20261231,9,True,0.545935439653622,0.012708634105921143,0.546,0.02,2246,790,16,3,0.08669465986399577,74,0.9007619408055072
dual_ucb,0.5,0.0,0,20261231,10,True,0.5398486092156396,0.011586601664966008,0.54,0.02,2326,830,8,2,0.20141759584157742,40,0.8150379572618822
correlation_blind,0.5,0.0,0,21261231,1,True,0.7202373881324629,0.06276907731421694,0.722,0.0,424,172,32,7,0.025922743996258765,42,0.9673098837235985
correlation_blind,0.5,0.0,0,21261231,2,True,0.5971085181424007,0.04791384170785461,0.598,0.0,606,219,32,4,0.02690823187122437,45,0.9661171891730356
correlation_blind,0.5,0.0,0,21261231,3,True,0.5842529512380794,0.03835814674924998,0.586,0.0,788,266,32,4,0.03030775886547913,45,0.9620310281172658
correlation_blind,0.5,0.0,0,21261231,4,True,0.573305484739494,0.03204269075066217,0.5740000000000001,0.0,928,314,32,3,0.03430725440958013,46,0.95727958606373
correlation_blind,0.5,0.0,0,21261231,5,True,0.5807564260021523,0.027468479945684923,0.582,0.0,1110,361,32,4,0.04083090058472602,45,0.9496590330550865
correlation_blind,0.5,0.0,0,21261231,6,True,0.5804155573140075,0.02412383202930722,0.582,0.0,1292,408,32,4,0.049517349983585895,45,0.9397614548335665
correlation_blind,0.5,0.0,0,21261231,7,True,0.574462290606027,0.021521463146698894,0.5760000000000001,0.0,1432,456,32,3,0.0626472150290331,46,0.9253417204116207
correlation_blind,0.5,0.0,0,21261231,8,True,0.566049037334045,0.019397562569742545,0.5680000000000001,0.0,1572,504,32,3,0.08796616308264288,46,0.8993733397927501
correlation_blind,0.5,0.0,0,21261231,9,True,0.5621471483062008,0.017663991877365108,0.5640000000000001,0.0,1712,552,32,3,0.1505075878852147,46,0.8456018229700236
