policy,persistence,rho,delay,seed,simultaneous_coverage,largest_action_radius,final_error,median_q,initial_p_upper,final_p_upper,initial_rho_upper,final_rho_upper,random_seed,oracle_error,to_oracle
dual_ucb,0.5,0.0,0,20261231,True,0.9811339554614065,0.0010964317258603904,16.0,0.6637015798253265,0.5398486092156396,0.06276907731421694,0.011586601664966008,20261231,0.0002495536009429936,4.393572049120029
correlation_blind,0.5,0.0,0,20261231,True,0.9673098837235985,0.0012172848313189212,32.0,0.7202373881324629,0.558202415730322,0.06276907731421694,0.016221489078232246,21261231,0.0002495536009429936,4.877849194398079
dual_ucb,0.5,0.0,0,20261232,True,0.981077627855238,0.001068126796383393,16.0,0.6709108235462167,0.520272662855042,0.06276907731421694,0.011450370279001677,20261232,0.0002495536009429936,4.280149804880551
correlation_blind,0.5,0.0,0,20261232,True,0.9685492453007114,0.0012119931673911424,32.0,0.6637015798253265,0.5483797772577077,0.06276907731421694,0.01608501182699279,21261232,0.0002495536009429936,4.856644675978857
dual_ucb,0.5,0.0,0,20261233,True,0.9798847843591518,0.0011855243772209362,16.0,0.7339617219087422,0.556962711892439,0.06276907731421694,0.011712089510170769,20261233,0.0002495536009429936,4.750580126839162
correlation_blind,0.5,0.0,0,20261233,True,0.9686781326078373,0.0011429105598690845,32.0,0.649161317137962,0.5465742335584949,0.06276907731421694,0.016112118153293227,21261233,0.0002495536009429936,4.5798199487017754
dual_ucb,0.5,0.0,0,20261234,True,0.9803391611913059,0.001100648532761858,16.0,0.7202373881324629,0.5400928470196205,0.06276907731421694,0.011642031398209494,20261234,0.0002495536009429936,4.4104694486587785
correlation_blind,0.5,0.0,0,20261234,True,0.9673098837235985,0.001216069139608721,32.0,0.7202373881324629,0.5567248670161045,0.06276907731421694,0.01616661349612103,21261234,0.0002495536009429936,4.872977729087195
dual_ucb,0.5,0.0,0,20261235,True,0.9810092911259531,0.0011050834467966637,16.0,0.6780795109382056,0.5420643154529927,0.06276907731421694,0.011586601664966008,20261235,0.0002495536009429936,4.428240837322567
correlation_blind,0.5,0.0,0,20261235,True,0.9684521755403823,0.0012160692717829132,32.0,0.6709108235462167,0.5562568391926426,0.06276907731421694,0.01608501182699279,21261235,0.0002495536009429936,4.872978258729691
dual_ucb,0.5,0.0,0,20261236,True,0.9815769279657036,0.001184444097719883,16.0,0.6418301725565638,0.5543748511702253,0.06276907731421694,0.011586601664966008,20261236,0.0002495536009429936,4.746251279261042
correlation_blind,0.5,0.0,0,20261236,True,0.9685492453007114,0.001214935000231594,32.0,0.6637015798253265,0.5546525777963154,0.06276907731421694,0.016194003506582955,21261236,0.0002495536009429936,4.868433056628686
dual_ucb,0.5,0.0,0,20261237,True,0.9815769279657036,0.0010624443944111089,16.0,0.6418301725565638,0.5147745075630732,0.06276907731421694,0.011239112293496365,20261237,0.0002495536009429936,4.257379538489635
correlation_blind,0.5,0.0,0,20261237,True,0.9680082754960659,0.001217284758390648,32.0,0.6780795109382056,0.5589582468619041,0.06276907731421694,0.01608501182699279,21261237,0.0002495536009429936,4.877848902163173
dual_ucb,0.5,0.0,0,20261238,True,0.981077627855238,0.0010964317739945652,16.0,0.6709108235462167,0.5396297075378158,0.06276907731421694,0.01161424859656185,20261238,0.0002495536009429936,4.393572242001135
correlation_blind,0.5,0.0,0,20261238,True,0.9691039613675143,0.0011429105908237391,32.0,0.627045322816508,0.5468744316534768,0.06276907731421694,0.01605799907394477,21261238,0.0002495536009429936,4.57982007274188
dual_ucb,0.5,0.0,0,20261239,True,0.981077627855238,0.0011097363792131434,16.0,0.6709108235462167,0.5447219716588805,0.06276907731421694,0.011586601664966008,20261239,0.0002495536009429936,4.4468858594697025
correlation_blind,0.5,0.0,0,20261239,True,0.9685492453007114,0.00121997195482344,32.0,0.6637015798253265,0.5620528361585646,0.06276907731421694,0.016221489078232246,21261239,0.0002495536009429936,4.888616915217835
dual_ucb,0.5,0.0,0,20261240,True,0.981077627855238,0.0011825053186398354,16.0,0.6709108235462167,0.5509181158419949,0.06276907731421694,0.011586601664966008,20261240,0.0002495536009429936,4.738482290664117
correlation_blind,0.5,0.0,0,20261240,True,0.9672409842644295,0.0012160692720468926,32.0,0.7271202828372674,0.5578559221822743,0.06276907731421694,0.0162767489319219,21261240,0.0002495536009429936,4.872978259787497
dual_ucb,0.5,0.0,0,20261241,True,0.980948964140238,0.0011146071794843147,16.0,0.6852076324875245,0.5473783283716844,0.06276907731421694,0.011586601664966008,20261241,0.0002495536009429936,4.466403911915213
correlation_blind,0.5,0.0,0,20261241,True,0.9691039613675143,0.0011329247248601478,32.0,0.627045322816508,0.5421465212906718,0.06276907731421694,0.01605799907394477,21261241,0.0002495536009429936,4.539805158407415
dual_ucb,0.5,0.0,0,20261242,True,0.981077627855238,0.0010964317258660102,16.0,0.6709108235462167,0.539405359660521,0.06276907731421694,0.011586601664966008,20261242,0.0002495536009429936,4.3935720491425485
correlation_blind,0.5,0.0,0,20261242,True,0.9685492453007114,0.0011329247023014629,32.0,0.6637015798253265,0.5424629182727612,0.06276907731421694,0.01608501182699279,21261242,0.0002495536009429936,4.539805068011264
dual_ucb,0.5,0.0,0,20261243,True,0.9815769279657036,0.0011146071302329979,16.0,0.6418301725565638,0.5477577438000414,0.06276907731421694,0.011586601664966008,20261243,0.0002495536009429936,4.466403714557544
correlation_blind,0.5,0.0,0,20261243,True,0.9686781326078373,0.00110843031946989,32.0,0.649161317137962,0.5307005972487571,0.06276907731421694,0.015977517388230403,21261243,0.0002495536009429936,4.441652275428767
dual_ucb,0.5,0.0,0,20261244,True,0.9805439857439837,0.0011855247254535565,16.0,0.6993419954966986,0.5577438422827676,0.06276907731421694,0.011642031398209494,20261244,0.0002495536009429936,4.750581522261303
