persistence,rho,delay,seed,policy,pilot_stays,persistence_upper,certificate_covered,gap,delta_upper,num_agents,eta,theorem_contraction,updates,risk_surrogate,exact_radius,exact_residual,expected_final_error,used_persistence,final_error,maximum_error,diverged
0.5,0.0,0,0,online_ucb,1076,0.5512343875061603,True,1,0.05123438750616027,32,0.035123012699570966,0.9727653414024025,437,6.236846463168185e-05,0.9563178727912354,0.0,3.5304558918682596e-05,0.5,4.70623686988276e-05,1.0393602224463085,False
0.5,0.0,0,0,oracle,-1,0.5,True,1,0.0,32,0.021238100882399524,0.9730296590113926,487,2.255491075127845e-05,0.9730296590113928,2.482534153247273e-16,2.2554876264308704e-05,0.5,6.765090075038359e-05,1.0237094425293172,False
0.5,0.0,0,0,iid_naive,-1,0.5,True,1,0.0,32,0.021238100882399524,0.9730296590113926,487,2.255491075127845e-05,0.9730296590113928,2.482534153247273e-16,2.2554876264308704e-05,0.5,6.765090075038359e-05,1.0237094425293172,False
0.5,0.0,0,0,worst_mixing,-1,0.98,True,47,0.07340370094697085,32,0.09248051264706669,0.9608125496909293,229,0.00037855575349602375,0.8949974615656597,0.0,0.00010181475283613054,0.5,0.0001932903305234415,1.1052706662032958,False
0.5,0.0,0,0,oracle_q1,-1,0.5,True,1,0.0,1,0.004348850699777914,0.9943498045705017,2000,0.00014586722226623574,0.9943498045705019,0.0,0.00014586561853735953,0.5,0.0001153566458867698,1.006301090536188,False
0.5,0.0,0,0,oracle_q32,-1,0.5,True,1,0.0,32,0.021238100882399524,0.9730296590113926,487,2.255491075127845e-05,0.9730296590113928,2.482534153247273e-16,2.2554876264308704e-05,0.5,6.765090075038359e-05,1.0237094425293172,False
0.5,0.0,0,1,online_ucb,995,0.511783449345995,True,1,0.011783449345994956,32,0.025356211753171917,0.9706998257854962,437,2.9699422485532153e-05,0.9679971938967993,0.0,2.578392554189761e-05,0.5,1.8350059245769708e-06,1.0,False
0.5,0.0,0,1,oracle,-1,0.5,True,1,0.0,32,0.021238100882399524,0.9730296590113926,487,2.255491075127845e-05,0.9730296590113928,2.482534153247273e-16,2.2554876264308704e-05,0.5,6.068405959150036e-06,1.0,False
0.5,0.0,0,1,iid_naive,-1,0.5,True,1,0.0,32,0.021238100882399524,0.9730296590113926,487,2.255491075127845e-05,0.9730296590113928,2.482534153247273e-16,2.2554876264308704e-05,0.5,6.068405959150036e-06,1.0,False
0.5,0.0,0,1,worst_mixing,-1,0.98,True,47,0.07340370094697085,32,0.09248051264706669,0.9608125496909293,229,0.00037855575349602375,0.8949974615656597,0.0,0.00010181475283613054,0.5,2.3268594242108154e-07,1.0,False
0.5,0.0,0,1,oracle_q1,-1,0.5,True,1,0.0,1,0.004348850699777914,0.9943498045705017,2000,0.00014586722226623574,0.9943498045705019,0.0,0.00014586561853735953,0.5,9.023710132095919e-05,1.0,False
0.5,0.0,0,1,oracle_q32,-1,0.5,True,1,0.0,32,0.021238100882399524,0.9730296590113926,487,2.255491075127845e-05,0.9730296590113928,2.482534153247273e-16,2.2554876264308704e-05,0.5,6.068405959150036e-06,1.0,False
0.5,0.0,0,2,online_ucb,1007,0.5176381693829177,True,1,0.017638169382917734,32,0.026406325094023166,0.9709419031068189,437,3.2527591833233085e-05,0.9667241676197105,0.0,2.6571468615955553e-05,0.5,6.392593907281858e-08,1.0,False
0.5,0.0,0,2,oracle,-1,0.5,True,1,0.0,32,0.021238100882399524,0.9730296590113926,487,2.255491075127845e-05,0.9730296590113928,2.482534153247273e-16,2.2554876264308704e-05,0.5,1.775137262844414e-05,1.0,False
0.5,0.0,0,2,iid_naive,-1,0.5,True,1,0.0,32,0.021238100882399524,0.9730296590113926,487,2.255491075127845e-05,0.9730296590113928,2.482534153247273e-16,2.2554876264308704e-05,0.5,1.775137262844414e-05,1.0,False
0.5,0.0,0,2,worst_mixing,-1,0.98,True,47,0.07340370094697085,32,0.09248051264706669,0.9608125496909293,229,0.00037855575349602375,0.8949974615656597,0.0,0.00010181475283613054,0.5,1.4165184851755223e-05,1.0,False
0.5,0.0,0,2,oracle_q1,-1,0.5,True,1,0.0,1,0.004348850699777914,0.9943498045705017,2000,0.00014586722226623574,0.9943498045705019,0.0,0.00014586561853735953,0.5,0.00013901579117452564,1.0,False
0.5,0.0,0,2,oracle_q32,-1,0.5,True,1,0.0,32,0.021238100882399524,0.9730296590113926,487,2.255491075127845e-05,0.9730296590113928,2.482534153247273e-16,2.2554876264308704e-05,0.5,1.775137262844414e-05,1.0,False
0.5,0.0,0,3,online_ucb,1081,0.553664360380859,True,1,0.05366436038085898,32,0.03602856923927231,0.9729419019356399,437,6.61889313668892e-05,0.9552532374522229,0.0,3.626327124213993e-05,0.5,1.368408217414726e-05,1.0,False
0.5,0.0,0,3,oracle,-1,0.5,True,1,0.0,32,0.021238100882399524,0.9730296590113926,487,2.255491075127845e-05,0.9730296590113928,2.482534153247273e-16,2.2554876264308704e-05,0.5,7.508245614382499e-05,1.0,False
0.5,0.0,0,3,iid_naive,-1,0.5,True,1,0.0,32,0.021238100882399524,0.9730296590113926,487,2.255491075127845e-05,0.9730296590113928,2.482534153247273e-16,2.2554876264308704e-05,0.5,7.508245614382499e-05,1.0,False
0.5,0.0,0,3,worst_mixing,-1,0.98,True,47,0.07340370094697085,32,0.09248051264706669,0.9608125496909293,229,0.00037855575349602375,0.8949974615656597,0.0,0.00010181475283613054,0.5,3.773853383656558e-05,1.0,False
0.5,0.0,0,3,oracle_q1,-1,0.5,True,1,0.0,1,0.004348850699777914,0.9943498045705017,2000,0.00014586722226623574,0.9943498045705019,0.0,0.00014586561853735953,0.5,1.397456898686407e-07,1.0,False
0.5,0.0,0,3,oracle_q32,-1,0.5,True,1,0.0,32,0.021238100882399524,0.9730296590113926,487,2.255491075127845e-05,0.9730296590113928,2.482534153247273e-16,2.2554876264308704e-05,0.5,7.508245614382499e-05,1.0,False
0.5,0.0,0,4,online_ucb,1068,0.5473451534499363,True,1,0.047345153449936284,32,0.033779154525647836,0.9725001064334631,437,5.6967727526637145e-05,0.9579035131202067,1.5700924586837754e-16,3.388830840511087e-05,0.5,3.386759613569157e-05,1.0333361507371088,False
0.5,0.0,0,4,oracle,-1,0.5,True,1,0.0,32,0.021238100882399524,0.9730296590113926,487,2.255491075127845e-05,0.9730296590113928,2.482534153247273e-16,2.2554876264308704e-05,0.5,1.6576033106244697e-05,1.0208957763596387,False
0.5,0.0,0,4,iid_naive,-1,0.5,True,1,0.0,32,0.021238100882399524,0.9730296590113926,487,2.255491075127845e-05,0.9730296590113928,2.482534153247273e-16,2.2554876264308704e-05,0.5,1.6576033106244697e-05,1.0208957763596387,False
0.5,0.0,0,4,worst_mixing,-1,0.98,True,47,0.07340370094697085,32,0.09248051264706669,0.9608125496909293,229,0.00037855575349602375,0.8949974615656597,0.0,0.00010181475283613054,0.5,8.186414064835507e-06,1.092567892276476,False
0.5,0.0,0,4,oracle_q1,-1,0.5,True,1,0.0,1,0.004348850699777914,0.9943498045705017,2000,0.00014586722226623574,0.9943498045705019,0.0,0.00014586561853735953,0.5,0.00012451673380412957,1.0205100208147222,False
0.5,0.0,0,4,oracle_q32,-1,0.5,True,1,0.0,32,0.021238100882399524,0.9730296590113926,487,2.255491075127845e-05,0.9730296590113928,2.482534153247273e-16,2.2554876264308704e-05,0.5,1.6576033106244697e-05,1.0208957763596387,False
0.5,0.0,0,5,online_ucb,1028,0.527875446711705,True,1,0.027875446711705054,32,0.0285017310381364,0.9714071890631282,437,3.8635252320894876e-05,0.9641964028424281,0.0,2.8481593350984747e-05,0.5,3.5812561284916086e-06,1.042420469485165,False
0.5,0.0,0,5,oracle,-1,0.5,True,1,0.0,32,0.021238100882399524,0.9730296590113926,487,2.255491075127845e-05,0.9730296590113928,2.482534153247273e-16,2.2554876264308704e-05,0.5,2.14472260102564e-05,1.0315260003091162,False
0.5,0.0,0,5,iid_naive,-1,0.5,True,1,0.0,32,0.021238100882399524,0.9730296590113926,487,2.255491075127845e-05,0.9730296590113928,2.482534153247273e-16,2.2554876264308704e-05,0.5,2.14472260102564e-05,1.0315260003091162,False
0.5,0.0,0,5,worst_mixing,-1,0.98,True,47,0.07340370094697085,32,0.09248051264706669,0.9608125496909293,229,0.00037855575349602375,0.8949974615656597,0.0,0.00010181475283613054,0.5,0.00011584275170603281,1.1408520803899227,False
