persistence,rho,seed,decision,persistence_upper,certified_persistence,rho_upper_before,gap,probes,collision_trials,collisions,cumulative_tv_bias,p_trials,jointly_covered_so_far,spent
0.5,0.0,20270201,1,0.6780795109382056,0.68,1.0,5,133,133,66,1.2063002112000043,798,True,2128
0.5,0.0,20270201,2,0.5876721008863655,0.588,0.4946007348294792,3,153,286,145,2.4574828032000124,1268,True,4128
0.5,0.0,20270201,3,0.5822688303973151,0.584,0.3770561208660146,3,153,439,224,3.5456873472000114,1738,True,6128
0.5,0.0,20270201,4,0.5623038310372388,0.5640000000000001,0.3227405740619955,3,153,592,298,4.02698373119998,2208,True,8128
0.5,0.0,20270201,5,0.5527267593751168,0.554,0.2707869541069201,3,153,745,379,4.316087635200007,2678,True,10128
0.5,0.0,20270201,6,0.5501468009768415,0.552,0.25501851634333317,3,153,898,465,4.574243923200016,3148,True,12128
0.5,0.0,20270201,7,0.5426859430975381,0.544,0.25366609727083467,3,153,1051,537,4.730641747200045,3618,True,14128
0.5,0.0,20270201,8,0.5408205650052025,0.542,0.22455865826395138,3,153,1204,611,4.866667315200062,4088,True,16128
0.5,0.0,20270201,9,0.5387595108737084,0.54,0.20522671471737874,2,166,1370,692,6.460267315200034,4428,True,18128
0.5,0.0,20270201,10,0.5382738037306429,0.54,0.19154861066847606,2,156,1526,773,7.957867315200008,4740,True,20000
0.5,0.0,20270202,1,0.6564517604415314,0.658,1.0,5,133,133,73,0.6286056976389139,798,True,2128
0.5,0.0,20270202,2,0.5642261278402219,0.5660000000000001,0.5911767571819442,3,153,286,138,1.1564483536389107,1268,True,4128
0.5,0.0,20270202,3,0.5721574309214703,0.5740000000000001,0.31900692891104176,3,153,439,206,1.9004396176389113,1738,True,6128
0.5,0.0,20270202,4,0.5680005286239025,0.5700000000000001,0.23324058440568085,3,153,592,282,2.530187617638941,2208,True,8128
0.5,0.0,20270202,5,0.5585706714308862,0.56,0.2116761564259706,3,153,745,365,2.92676361763893,2678,True,10128
0.5,0.0,20270202,6,0.5520022169649819,0.554,0.21370489481967936,3,153,898,455,3.2158675216389567,3148,True,12128
0.5,0.0,20270202,7,0.5474270459550585,0.548,0.22836904515154477,3,153,1051,522,3.4189144336389603,3618,True,14128
0.5,0.0,20270202,8,0.5493476480707138,0.55,0.193518263756699,3,153,1204,584,3.648414433638969,4088,True,16128
0.5,0.0,20270202,9,0.5453363897023324,0.546,0.1583525404955166,3,153,1357,651,3.8271233296389413,4558,True,18128
0.5,0.0,20270202,10,0.541173663015202,0.542,0.13774861906223212,3,144,1501,728,3.955147393638957,4990,True,20000
0.5,0.0,20270203,1,0.7271202828372674,0.728,1.0,7,117,117,59,0.7195003664316415,958,True,2128
0.5,0.0,20270203,2,0.5577298731552753,0.558,0.5325947218115492,3,153,270,144,1.0777259984316365,1428,True,4128
0.5,0.0,20270203,3,0.5508823300450634,0.552,0.4294357418758412,3,153,423,212,1.3358822864316457,1898,True,6128
0.5,0.0,20270203,4,0.5498954223814514,0.55,0.29952370835058995,3,153,576,304,1.5653822864316544,2368,True,8128
0.5,0.0,20270203,5,0.5373385633729229,0.538,0.314495738843126,2,166,742,400,3.0036062864316553,2708,True,10128
0.5,0.0,20270203,6,0.5377114116371862,0.538,0.31265346979986997,2,166,908,485,4.441830286431679,3048,True,12128
0.5,0.0,20270203,7,0.543407471825121,0.544,0.28487972962980157,3,153,1061,562,4.598228110431708,3518,True,14128
0.5,0.0,20270203,8,0.5448264835975403,0.546,0.26089597070111514,3,153,1214,649,4.77693700643168,3988,True,16128
