rho,max_delay,budget,num_agents,eta,mean_error
0.0,0,2000,1,0.018566355334451116,0.18617375299709576
0.0,0,2000,2,0.026749612199056874,0.10257453385702905
0.0,0,2000,4,0.03853969935995983,0.07515148214746821
0.0,0,2000,8,0.05552635364218317,0.06182334664844692
0.0,0,2000,16,0.08,0.07660621865845745
0.0,0,2000,32,0.08,0.2601794511525663
0.0,0,8000,1,0.006208035064330728,0.05814721624152094
0.0,0,8000,2,0.008944271909999161,0.03812308801195198
0.0,0,8000,4,0.012886525151839582,0.021731682991720437
0.0,0,8000,8,0.018566355334451116,0.02344594059403623
0.0,0,8000,16,0.03853969935995983,0.015357571011598141
0.0,0,8000,32,0.05552635364218317,0.01223217742414004
0.0,0,32000,1,0.0020757816311124263,0.018484087459228703
0.0,0,32000,2,0.002990697562442441,0.01057873811500261
0.0,0,32000,4,0.004308869380063765,0.008684923374756614
0.0,0,32000,8,0.006208035064330728,0.005834259970874826
0.0,0,32000,16,0.012886525151839582,0.004304942664572972
0.0,0,32000,32,0.018566355334451116,0.005127136347128403
0.0,8,2000,1,0.018566355334451116,0.18617375299709576
0.0,8,2000,2,0.026749612199056874,0.10257453385702905
0.0,8,2000,4,0.03853969935995983,0.07515148214746821
0.0,8,2000,8,0.05552635364218317,0.06153060478674541
0.0,8,2000,16,0.08,0.07341388708158757
0.0,8,2000,32,0.08,0.22805145403539848
0.0,8,8000,1,0.006208035064330728,0.05814721624152094
0.0,8,8000,2,0.008944271909999161,0.03812308801195198
0.0,8,8000,4,0.012886525151839582,0.021731682991720437
0.0,8,8000,8,0.018566355334451116,0.023378476151838214
0.0,8,8000,16,0.03853969935995983,0.01531415726941959
0.0,8,8000,32,0.05552635364218317,0.011537923673061726
0.0,8,32000,1,0.0020757816311124263,0.018484087459228703
0.0,8,32000,2,0.002990697562442441,0.01057873811500261
0.0,8,32000,4,0.004308869380063765,0.008684923374756614
0.0,8,32000,8,0.006208035064330728,0.00582829106333354
0.0,8,32000,16,0.012886525151839582,0.004302032947763487
0.0,8,32000,32,0.018566355334451116,0.005120145504887952
0.0,32,2000,1,0.018566355334451116,0.18617375299709576
0.0,32,2000,2,0.026749612199056874,0.10257453385702905
0.0,32,2000,4,0.03853969935995983,0.0743953154293702
0.0,32,2000,8,0.05552635364218317,0.059822541781013386
0.0,32,2000,16,0.08,0.06484732283044067
0.0,32,2000,32,0.08,0.15254190029393336
0.0,32,8000,1,0.006208035064330728,0.05814721624152094
0.0,32,8000,2,0.008944271909999161,0.03812308801195198
0.0,32,8000,4,0.012886525151839582,0.021542252819413396
