policy,scenario,budget,mean_mse,standard_error
lyapunov_state_adaptive,independent,0.0,0.0899999999999999,8.620181743291816e-18
lyapunov_state_adaptive,independent,200.0,0.05331009971361201,0.0009949398557038169
lyapunov_state_adaptive,independent,400.0,0.03469438516214696,0.0011696207115020143
lyapunov_state_adaptive,independent,600.0,0.021331542459212226,0.0011085252000250722
lyapunov_state_adaptive,independent,800.0,0.013717950913560534,0.000888789986436781
lyapunov_state_adaptive,independent,1000.0,0.008759373997987058,0.0007302965812127711
lyapunov_state_adaptive,independent,1200.0,0.006988301448005538,0.0006621739489876961
lyapunov_state_adaptive,independent,1400.0,0.0047511329281118755,0.00047746084253558186
lyapunov_state_adaptive,independent,1600.0,0.0037981249740868485,0.000429043523479739
lyapunov_state_adaptive,independent,1800.0,0.0031434949659602685,0.0003936991759871868
lyapunov_state_adaptive,independent,2000.0,0.0020830014450805186,0.00026341216453382627
lyapunov_state_adaptive,independent,2200.0,0.0020044795278536935,0.00022744022788911798
lyapunov_state_adaptive,independent,2400.0,0.001564353721716854,0.00018984031685426007
lyapunov_state_adaptive,independent,2600.0,0.0014011247470180899,0.00016811437859603557
lyapunov_state_adaptive,independent,2800.0,0.0013861916494628075,0.00015464705503720458
lyapunov_state_adaptive,independent,3000.0,0.0013296147968548376,0.00015125575872896866
lyapunov_state_adaptive,independent,3200.0,0.0013474520863611806,0.00014732264919488947
lyapunov_state_adaptive,independent,3400.0,0.0013166577349925028,0.00014169770984750435
lyapunov_state_adaptive,independent,3600.0,0.0010884407910955617,0.00011857877273373295
lyapunov_state_adaptive,independent,3800.0,0.001101096059508364,0.00012532657156268727
lyapunov_state_adaptive,independent,4000.0,0.00119788156000779,0.00017254749228453911
lyapunov_state_adaptive,independent,4200.0,0.001296017125526449,0.00018237516805492442
lyapunov_state_adaptive,independent,4400.0,0.0012295859198875531,0.0001834088998791265
lyapunov_state_adaptive,independent,4600.0,0.001112691858950786,0.00016742192232904385
lyapunov_state_adaptive,independent,4800.0,0.00107313155867014,0.00019574340703070912
lyapunov_state_adaptive,independent,5000.0,0.0009581740278561289,0.00015423641544067457
lyapunov_state_adaptive,independent,5200.0,0.0008782141528754793,0.00013403819202011095
lyapunov_state_adaptive,independent,5400.0,0.0008605433371844526,0.00012761765442259815
lyapunov_state_adaptive,independent,5600.0,0.0008588417171295589,0.00014369542766908808
lyapunov_state_adaptive,independent,5800.0,0.0007491568816665284,9.743041692764339e-05
lyapunov_state_adaptive,independent,6000.0,0.0007486399755802488,9.005885333416297e-05
lyapunov_state_adaptive,independent,6200.0,0.0008499095135387052,8.784566813462108e-05
lyapunov_state_adaptive,independent,6400.0,0.0008325448943001059,8.596565792496818e-05
lyapunov_state_adaptive,independent,6600.0,0.0007627822869356181,7.932833036926028e-05
lyapunov_state_adaptive,independent,6800.0,0.0007437921855271561,7.576942326192399e-05
lyapunov_state_adaptive,independent,7000.0,0.000806403718840003,8.903255088939413e-05
lyapunov_state_adaptive,independent,7200.0,0.000793234905352781,9.261924519713693e-05
lyapunov_state_adaptive,independent,7400.0,0.0007626338282433206,9.025522674211371e-05
lyapunov_state_adaptive,independent,7600.0,0.0007413669842693192,8.934102234866453e-05
lyapunov_state_adaptive,independent,7800.0,0.0007137974146632221,0.00010570981464498117
lyapunov_state_adaptive,independent,8000.0,0.0007784180704633741,0.00011426910028135612
lyapunov_state_adaptive,independent,8200.0,0.0009134000827816877,0.0001103383942183135
lyapunov_state_adaptive,independent,8400.0,0.0009074664346820353,0.00011182936206609533
lyapunov_state_adaptive,independent,8600.0,0.0008657156614626585,0.00010683564477993467
lyapunov_state_adaptive,independent,8800.0,0.0008061975745474743,0.00010192525508970417
lyapunov_state_adaptive,independent,9000.0,0.0007817915223165325,0.00011064174259344408
lyapunov_state_adaptive,independent,9200.0,0.0007555054102907537,0.00010883432811603869
lyapunov_state_adaptive,independent,9400.0,0.0007713349251383728,0.00010681952967153657
lyapunov_state_adaptive,independent,9600.0,0.0007790744067442811,0.00011411083822598343
lyapunov_state_adaptive,independent,9800.0,0.0007266429656699347,0.00011546280161498301
lyapunov_state_adaptive,independent,10000.0,0.0007263402395238479,0.00011178908867008389
lyapunov_state_adaptive,independent,10200.0,0.0008463261888830904,0.00011366859757244821
lyapunov_state_adaptive,independent,10400.0,0.0007974160220946837,0.0001226227467101122
lyapunov_state_adaptive,independent,10600.0,0.0007583305276544985,9.451801868723339e-05
lyapunov_state_adaptive,independent,10800.0,0.0007862333275312973,0.00010408540716284968
lyapunov_state_adaptive,independent,11000.0,0.0007761303985620048,0.0001121743567669229
lyapunov_state_adaptive,independent,11200.0,0.0007373724730490123,0.00010587263428592445
lyapunov_state_adaptive,independent,11400.0,0.000690460589231244,9.076134261288436e-05
lyapunov_state_adaptive,independent,11600.0,0.0006597364694499496,8.583370382801118e-05
lyapunov_state_adaptive,independent,11800.0,0.0006587112656277204,8.472924996738446e-05
lyapunov_state_adaptive,independent,12000.0,0.0006720691832628236,8.392926232424699e-05
lyapunov_state_adaptive,independent,12200.0,0.001187052120377321,0.0001697851416356463
lyapunov_state_adaptive,independent,12400.0,0.0010590567237904205,0.0001655284519758621
lyapunov_state_adaptive,independent,12600.0,0.001069422046546912,0.00016521318099413406
lyapunov_state_adaptive,independent,12800.0,0.0010360981929749041,0.0001589302815718081
lyapunov_state_adaptive,independent,13000.0,0.000973699305738663,0.000151706908938402
lyapunov_state_adaptive,independent,13200.0,0.0009157831767403467,0.00013468347089613415
lyapunov_state_adaptive,independent,13400.0,0.0008812354455023213,0.00014381612611484207
lyapunov_state_adaptive,independent,13600.0,0.0008510614881957256,0.00013322872619370024
lyapunov_state_adaptive,independent,13800.0,0.0007326909840153508,0.00012154246973990023
lyapunov_state_adaptive,independent,14000.0,0.0007468983778208312,0.0001356392811841995
lyapunov_state_adaptive,independent,14200.0,0.0010838700754495193,0.0001231081222417545
lyapunov_state_adaptive,independent,14400.0,0.0010803500803053321,0.0001499364175989054
lyapunov_state_adaptive,independent,14600.0,0.0009919920411762997,0.00013433634535789493
lyapunov_state_adaptive,independent,14800.0,0.0009361246747034176,0.00012761279799287356
lyapunov_state_adaptive,independent,15000.0,0.0009170384066941945,0.00013801154044812457
lyapunov_state_adaptive,independent,15200.0,0.0009626793193150385,0.0001417559122265427
lyapunov_state_adaptive,independent,15400.0,0.0009058971295662659,0.00012002141292812368
lyapunov_state_adaptive,independent,15600.0,0.0008573772010022042,0.00011474301136635195
lyapunov_state_adaptive,independent,15800.0,0.0008453567449198451,0.0001083195700163888
lyapunov_state_adaptive,independent,16000.0,0.0007867392418924542,9.071706738413274e-05
lyapunov_state_adaptive,global_08,0.0,0.0899999999999999,8.620181743291816e-18
lyapunov_state_adaptive,global_08,200.0,0.07786793270122185,0.00616239277385012
lyapunov_state_adaptive,global_08,400.0,0.07441398173093326,0.006885445776089872
lyapunov_state_adaptive,global_08,600.0,0.06514335299755275,0.0064579636843947455
lyapunov_state_adaptive,global_08,800.0,0.060665374637683143,0.007133344244248688
lyapunov_state_adaptive,global_08,1000.0,0.05858610559648751,0.0069051536070532105
lyapunov_state_adaptive,global_08,1200.0,0.0574160689673478,0.006494833502477291
lyapunov_state_adaptive,global_08,1400.0,0.05393521908601996,0.006588410156410507
lyapunov_state_adaptive,global_08,1600.0,0.05062328661605171,0.007705649369593811
lyapunov_state_adaptive,global_08,1800.0,0.04024666203621634,0.005717142885714461
lyapunov_state_adaptive,global_08,2000.0,0.032645819282111355,0.003618874219289883
lyapunov_state_adaptive,global_08,2200.0,0.05605869928232452,0.007085819737902294
lyapunov_state_adaptive,global_08,2400.0,0.05323333930843223,0.006948824979117026
lyapunov_state_adaptive,global_08,2600.0,0.045092896042925795,0.005725276001913499
lyapunov_state_adaptive,global_08,2800.0,0.04423329655296789,0.00557929582048534
lyapunov_state_adaptive,global_08,3000.0,0.04001775355065116,0.004854428912835788
lyapunov_state_adaptive,global_08,3200.0,0.03684907855438935,0.004423951345275165
lyapunov_state_adaptive,global_08,3400.0,0.036023783563303886,0.003814107243762357
lyapunov_state_adaptive,global_08,3600.0,0.031203210833796728,0.0030945061292955984
lyapunov_state_adaptive,global_08,3800.0,0.0330597586742963,0.003470917817464285
lyapunov_state_adaptive,global_08,4000.0,0.030363023685038317,0.0032009647618004814
lyapunov_state_adaptive,global_08,4200.0,0.04405334276354426,0.005637320271156703
lyapunov_state_adaptive,global_08,4400.0,0.03897342903904271,0.004999642553866829
lyapunov_state_adaptive,global_08,4600.0,0.03354363837076176,0.004021431421701442
lyapunov_state_adaptive,global_08,4800.0,0.028953691701485165,0.003279958257238391
lyapunov_state_adaptive,global_08,5000.0,0.02728504834807104,0.003048898757895039
lyapunov_state_adaptive,global_08,5200.0,0.025267836569802443,0.002947013350780136
lyapunov_state_adaptive,global_08,5400.0,0.023619972869776084,0.0029013340093737463
lyapunov_state_adaptive,global_08,5600.0,0.021865501499952356,0.0025462897464969166
lyapunov_state_adaptive,global_08,5800.0,0.02231490513805066,0.002742909562335241
lyapunov_state_adaptive,global_08,6000.0,0.021527623332641407,0.002632640136407783
lyapunov_state_adaptive,global_08,6200.0,0.034142085518783755,0.003677788035076168
lyapunov_state_adaptive,global_08,6400.0,0.03300736089228654,0.003928465343732516
lyapunov_state_adaptive,global_08,6600.0,0.028972400918071774,0.003520295097825722
lyapunov_state_adaptive,global_08,6800.0,0.025991232449600048,0.003506015095836857
lyapunov_state_adaptive,global_08,7000.0,0.02682773256455661,0.0034672392719731987
lyapunov_state_adaptive,global_08,7200.0,0.026935034308840283,0.0033645615367407823
lyapunov_state_adaptive,global_08,7400.0,0.026908758121846458,0.0030174680268826174
lyapunov_state_adaptive,global_08,7600.0,0.028996319654194868,0.003240287704542877
lyapunov_state_adaptive,global_08,7800.0,0.02843958171426507,0.0033973007723505713
lyapunov_state_adaptive,global_08,8000.0,0.02787159217624268,0.0033674983818897278
lyapunov_state_adaptive,global_08,8200.0,0.043762763002013136,0.005722797789638664
lyapunov_state_adaptive,global_08,8400.0,0.045819364796295024,0.006051260057383742
lyapunov_state_adaptive,global_08,8600.0,0.046184497156328434,0.005772777642832495
lyapunov_state_adaptive,global_08,8800.0,0.04179459985697491,0.005011842176996058
lyapunov_state_adaptive,global_08,9000.0,0.03916079026767173,0.004719370833964573
lyapunov_state_adaptive,global_08,9200.0,0.03700329028871307,0.004586918669202463
lyapunov_state_adaptive,global_08,9400.0,0.03327249067090785,0.00407094972997706
lyapunov_state_adaptive,global_08,9600.0,0.03072290567994544,0.003838072106833606
lyapunov_state_adaptive,global_08,9800.0,0.029100895944680988,0.0034293739875618304
lyapunov_state_adaptive,global_08,10000.0,0.028407670281365923,0.00331435636801748
lyapunov_state_adaptive,global_08,10200.0,0.044346831271151736,0.004921980013408805
lyapunov_state_adaptive,global_08,10400.0,0.04283460163800279,0.0045159460876307055
lyapunov_state_adaptive,global_08,10600.0,0.03728693856426053,0.0038793767425696173
