seed,seed_index,scenario,max_delay,policy,charged_budget,observed_messages,total_probe_cost,total_updates,finite,within_budget
20260830,0,independent,4,lyapunov_state_adaptive,15978,4886,768,2773,True,True
20260830,0,independent,4,raw_state_adaptive,15920,8720,768,1800,True,True
20260830,0,independent,4,correlation_only_adaptive,15976,4568,768,2852,True,True
20260830,0,independent,4,state_oracle,15840,14080,0,440,True,True
20260830,0,independent,4,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260830,0,independent,4,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260830,0,independent,4,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260830,0,independent,4,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260830,0,global_08,4,lyapunov_state_adaptive,15968,3552,768,3104,True,True
20260830,0,global_08,4,raw_state_adaptive,15940,4836,768,2776,True,True
20260830,0,global_08,4,correlation_only_adaptive,15968,3552,768,3104,True,True
20260830,0,global_08,4,state_oracle,15960,5920,0,2510,True,True
20260830,0,global_08,4,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260830,0,global_08,4,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260830,0,global_08,4,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260830,0,global_08,4,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260830,0,clustered_08,4,lyapunov_state_adaptive,15988,6348,768,2410,True,True
20260830,0,clustered_08,4,raw_state_adaptive,15990,6666,768,2331,True,True
20260830,0,clustered_08,4,correlation_only_adaptive,15988,6348,768,2410,True,True
20260830,0,clustered_08,4,state_oracle,15892,12128,0,941,True,True
20260830,0,clustered_08,4,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260830,0,clustered_08,4,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260830,0,clustered_08,4,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260830,0,clustered_08,4,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260830,0,balanced_08,4,lyapunov_state_adaptive,15970,3806,768,3041,True,True
20260830,0,balanced_08,4,raw_state_adaptive,15924,7644,768,2070,True,True
20260830,0,balanced_08,4,correlation_only_adaptive,15970,3806,768,3041,True,True
20260830,0,balanced_08,4,state_oracle,15860,12720,0,785,True,True
20260830,0,balanced_08,4,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260830,0,balanced_08,4,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260830,0,balanced_08,4,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260830,0,balanced_08,4,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260830,0,independent,16,lyapunov_state_adaptive,15922,10114,768,1452,True,True
20260830,0,independent,16,raw_state_adaptive,15882,11138,768,1186,True,True
20260830,0,independent,16,correlation_only_adaptive,15878,10882,768,1249,True,True
20260830,0,independent,16,state_oracle,15840,14080,0,440,True,True
20260830,0,independent,16,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260830,0,independent,16,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260830,0,independent,16,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260830,0,independent,16,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260830,0,global_08,16,lyapunov_state_adaptive,15970,3806,768,3041,True,True
20260830,0,global_08,16,raw_state_adaptive,15914,6374,768,2385,True,True
20260830,0,global_08,16,correlation_only_adaptive,15970,3806,768,3041,True,True
20260830,0,global_08,16,state_oracle,15960,5920,0,2510,True,True
20260830,0,global_08,16,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260830,0,global_08,16,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260830,0,global_08,16,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260830,0,global_08,16,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260830,0,clustered_08,16,lyapunov_state_adaptive,15992,6856,768,2284,True,True
20260830,0,clustered_08,16,raw_state_adaptive,15932,8916,768,1754,True,True
20260830,0,clustered_08,16,correlation_only_adaptive,15992,6856,768,2284,True,True
20260830,0,clustered_08,16,state_oracle,15920,11040,0,1220,True,True
20260830,0,clustered_08,16,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260830,0,clustered_08,16,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260830,0,clustered_08,16,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260830,0,clustered_08,16,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260830,0,balanced_08,16,lyapunov_state_adaptive,15976,4632,768,2836,True,True
20260830,0,balanced_08,16,raw_state_adaptive,15946,5662,768,2571,True,True
20260830,0,balanced_08,16,correlation_only_adaptive,15982,5522,768,2615,True,True
20260830,0,balanced_08,16,state_oracle,15860,12720,0,785,True,True
20260830,0,balanced_08,16,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260830,0,balanced_08,16,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260830,0,balanced_08,16,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260830,0,balanced_08,16,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260831,1,independent,4,lyapunov_state_adaptive,15890,9622,768,1567,True,True
20260831,1,independent,4,raw_state_adaptive,15828,11364,768,1116,True,True
20260831,1,independent,4,correlation_only_adaptive,15876,11768,768,1027,True,True
20260831,1,independent,4,state_oracle,15840,14080,0,440,True,True
20260831,1,independent,4,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260831,1,independent,4,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260831,1,independent,4,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260831,1,independent,4,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260831,1,global_08,4,lyapunov_state_adaptive,15968,3552,768,3104,True,True
20260831,1,global_08,4,raw_state_adaptive,15968,3552,768,3104,True,True
20260831,1,global_08,4,correlation_only_adaptive,15968,3552,768,3104,True,True
20260831,1,global_08,4,state_oracle,15900,10000,0,1475,True,True
20260831,1,global_08,4,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260831,1,global_08,4,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260831,1,global_08,4,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260831,1,global_08,4,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260831,1,clustered_08,4,lyapunov_state_adaptive,16000,8128,768,1968,True,True
20260831,1,clustered_08,4,raw_state_adaptive,16000,8128,768,1968,True,True
20260831,1,clustered_08,4,correlation_only_adaptive,15998,7810,768,2047,True,True
20260831,1,clustered_08,4,state_oracle,15860,13320,0,635,True,True
20260831,1,clustered_08,4,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260831,1,clustered_08,4,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260831,1,clustered_08,4,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260831,1,clustered_08,4,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260831,1,balanced_08,4,lyapunov_state_adaptive,15968,3552,768,3104,True,True
20260831,1,balanced_08,4,raw_state_adaptive,15968,3552,768,3104,True,True
20260831,1,balanced_08,4,correlation_only_adaptive,15968,3552,768,3104,True,True
20260831,1,balanced_08,4,state_oracle,15900,10000,0,1475,True,True
20260831,1,balanced_08,4,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260831,1,balanced_08,4,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260831,1,balanced_08,4,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260831,1,balanced_08,4,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260831,1,independent,16,lyapunov_state_adaptive,15974,4314,768,2915,True,True
20260831,1,independent,16,raw_state_adaptive,15922,8974,768,1737,True,True
20260831,1,independent,16,correlation_only_adaptive,15976,4568,768,2852,True,True
20260831,1,independent,16,state_oracle,15840,14080,0,440,True,True
20260831,1,independent,16,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260831,1,independent,16,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260831,1,independent,16,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260831,1,independent,16,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260831,1,global_08,16,lyapunov_state_adaptive,15968,3552,768,3104,True,True
20260831,1,global_08,16,raw_state_adaptive,15968,3552,768,3104,True,True
20260831,1,global_08,16,correlation_only_adaptive,15968,3552,768,3104,True,True
20260831,1,global_08,16,state_oracle,15900,10000,0,1475,True,True
20260831,1,global_08,16,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260831,1,global_08,16,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260831,1,global_08,16,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260831,1,global_08,16,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260831,1,clustered_08,16,lyapunov_state_adaptive,15988,6220,768,2442,True,True
20260831,1,clustered_08,16,raw_state_adaptive,15902,9946,768,1489,True,True
20260831,1,clustered_08,16,correlation_only_adaptive,15990,6538,768,2363,True,True
