persistence,rho,maximum_delay,policy,direct_pair_tv,iterated_pair_tv,absolute_tv_difference,stationary_state_residual,stationary_pair_residual,transition_row_residual,pair_row_residual
0.0,0.0,0,joint,1.9079553609862025e-05,1.9079553609906152e-05,4.412702842016003e-17,2.7755575615628914e-17,2.168404344971009e-19,2.220446049250313e-16,2.220446049250313e-16
0.0,0.0,0,q1,0.00031388256269316976,0.00031388256269317,2.168404344971009e-19,2.7755575615628914e-17,2.168404344971009e-19,2.220446049250313e-16,2.220446049250313e-16
0.0,0.0,0,q32,1.9079553609862025e-05,1.9079553609906152e-05,4.412702842016003e-17,2.7755575615628914e-17,2.168404344971009e-19,2.220446049250313e-16,2.220446049250313e-16
0.0,0.9,0,joint,0.00031388256269316976,0.00031388256269317,2.168404344971009e-19,2.7755575615628914e-17,2.168404344971009e-19,2.220446049250313e-16,2.220446049250313e-16
0.0,0.9,0,q1,0.00031388256269316976,0.00031388256269317,2.168404344971009e-19,2.7755575615628914e-17,2.168404344971009e-19,2.220446049250313e-16,2.220446049250313e-16
0.0,0.9,0,q32,1.9079553609862025e-05,1.9079553609906152e-05,4.412702842016003e-17,2.7755575615628914e-17,2.168404344971009e-19,2.220446049250313e-16,2.220446049250313e-16
0.0,0.0,8,joint,0.0001234148815085895,0.0001234148815085882,1.3010426069826053e-18,2.7755575615628914e-17,2.168404344971009e-19,2.220446049250313e-16,2.220446049250313e-16
0.0,0.0,8,q1,0.00031388256269316976,0.00031388256269317,2.168404344971009e-19,2.7755575615628914e-17,2.168404344971009e-19,2.220446049250313e-16,2.220446049250313e-16
0.0,0.0,8,q32,1.9079553609862025e-05,1.9079553609906152e-05,4.412702842016003e-17,2.7755575615628914e-17,2.168404344971009e-19,2.220446049250313e-16,2.220446049250313e-16
0.0,0.9,8,joint,0.00031388256269316976,0.00031388256269317,2.168404344971009e-19,2.7755575615628914e-17,2.168404344971009e-19,2.220446049250313e-16,2.220446049250313e-16
0.0,0.9,8,q1,0.00031388256269316976,0.00031388256269317,2.168404344971009e-19,2.7755575615628914e-17,2.168404344971009e-19,2.220446049250313e-16,2.220446049250313e-16
0.0,0.9,8,q32,1.9079553609862025e-05,1.9079553609906152e-05,4.412702842016003e-17,2.7755575615628914e-17,2.168404344971009e-19,2.220446049250313e-16,2.220446049250313e-16
