persistence,rho,maximum_delay,numerator,denominator,ratio,bootstrap_95_lower,bootstrap_95_upper,bootstrap_replications
0.0,0.0,0,joint,q1,0.10379980198663315,0.06968276340335144,0.15446232702710794,2000
0.0,0.0,0,joint,q32,1.0,1.0,1.0,2000
0.0,0.0,8,joint,q1,0.5635486051206666,0.3830983358808603,0.8297946357200278,2000
0.0,0.0,8,joint,q32,0.03438919038530421,0.02418619131591038,0.0463651390695751,2000
0.0,0.9,0,joint,q1,1.0,1.0,1.0,2000
0.0,0.9,0,joint,q32,0.8916779530077665,0.5711954590754986,1.4055003184501729,2000
0.0,0.9,8,joint,q1,1.0,1.0,1.0,2000
0.0,0.9,8,joint,q32,0.0383358762312189,0.02901918214732545,0.049642846253957186,2000
0.9,0.0,0,joint,q1,0.10814417553377854,0.07355338264713168,0.16580150774119537,2000
0.9,0.0,0,joint,q32,1.0,1.0,1.0,2000
0.9,0.0,8,joint,q1,0.24531503769407495,0.16038508471422033,0.3696261381432905,2000
0.9,0.0,8,joint,q32,0.023887711718598596,0.018182430722686833,0.03017956588167482,2000
0.9,0.9,0,joint,q1,0.8405079188614865,0.5350049427645577,1.3007391374997286,2000
0.9,0.9,0,joint,q32,0.8517427102706565,0.5229160754394507,1.3671490059620455,2000
0.9,0.9,8,joint,q1,0.8405079188614865,0.5457855848026226,1.2825596217749442,2000
0.9,0.9,8,joint,q32,0.09459372706706531,0.06839885268156104,0.12376391402027766,2000
0.98,0.0,0,joint,q1,0.06698970274730394,0.036823556772894686,0.14130911356230177,2000
0.98,0.0,0,joint,q32,1.0,1.0,1.0,2000
0.98,0.0,8,joint,q1,0.14554920006763453,0.08796177977242356,0.273661608767352,2000
0.98,0.0,8,joint,q32,0.02737567610358245,0.017301029674158433,0.03968272923817086,2000
0.98,0.9,0,joint,q1,0.6791397341949393,0.304331016122712,1.9054246787306248,2000
0.98,0.9,0,joint,q32,0.9106361646885966,0.33424391894842304,2.981192678552472,2000
0.98,0.9,8,joint,q1,0.6791397341949393,0.3039073515808027,1.9861751700339512,2000
0.98,0.9,8,joint,q32,0.12560251622602453,0.04842202347202669,0.21940443169616275,2000
