seed,seed_index,persistence,rho,maximum_delay,policy,num_agents,gap,eta,updates,update_cost,squared_parameter_error,maximum_squared_error,diverged,finite,charged_budget,within_budget
20261030,0,0.0,0.0,0,joint,32,68,0.052523801812651344,1230,104,0.007587123779963502,0.6559155260773619,False,True,127920,True
20261030,0,0.0,0.0,0,q1,1,50,0.009885142859986436,2327,55,0.06955916423958348,0.6947764547975978,False,True,127985,True
20261030,0,0.0,0.0,0,q32,32,68,0.052523801812651344,1230,104,0.007587123779963502,0.6559155260773619,False,True,127920,True
20261030,0,0.0,0.9,0,joint,1,50,0.009885142859986436,2327,55,0.042985110120217856,0.6886778052033075,False,True,127985,True
20261030,0,0.0,0.9,0,q1,1,50,0.009885142859986436,2327,55,0.042985110120217856,0.6886778052033075,False,True,127985,True
20261030,0,0.0,0.9,0,q32,32,68,0.010755079654503737,1230,104,0.009834399854179894,0.687090907814148,False,True,127920,True
20261030,0,0.0,0.0,8,joint,4,56,0.026668002482448005,2000,64,0.04687205375448772,0.6772456330978347,False,True,128000,True
20261030,0,0.0,0.0,8,q1,1,50,0.009885142859986436,2327,55,0.06955916423958348,0.6947764547975978,False,True,127985,True
20261030,0,0.0,0.0,8,q32,32,68,0.00020666014512486742,1230,104,0.5376304196836766,0.6959752614453768,False,True,127920,True
20261030,0,0.0,0.9,8,joint,1,50,0.009885142859986436,2327,55,0.042985110120217856,0.6886778052033075,False,True,127985,True
20261030,0,0.0,0.9,8,q1,1,50,0.009885142859986436,2327,55,0.042985110120217856,0.6886778052033075,False,True,127985,True
20261030,0,0.0,0.9,8,q32,32,68,0.00020354947791322963,1230,104,0.5417434218126861,0.6959633377991856,False,True,127920,True
20261031,1,0.0,0.0,0,joint,32,68,0.052523801812651344,1230,104,0.0011009700158976165,0.6550144071795106,False,True,127920,True
20261031,1,0.0,0.0,0,q1,1,50,0.009885142859986436,2327,55,0.03026127349620695,0.6962412398583746,False,True,127985,True
20261031,1,0.0,0.0,0,q32,32,68,0.052523801812651344,1230,104,0.0011009700158976165,0.6550144071795106,False,True,127920,True
20261031,1,0.0,0.9,0,joint,1,50,0.009885142859986436,2327,55,0.003906934877745777,0.6913592334959859,False,True,127985,True
20261031,1,0.0,0.9,0,q1,1,50,0.009885142859986436,2327,55,0.003906934877745777,0.6913592334959859,False,True,127985,True
20261031,1,0.0,0.9,0,q32,32,68,0.010755079654503737,1230,104,0.026350829164593713,0.690348520937427,False,True,127920,True
20261031,1,0.0,0.0,8,joint,4,56,0.026668002482448005,2000,64,0.00891701079308138,0.6782180253769129,False,True,128000,True
20261031,1,0.0,0.0,8,q1,1,50,0.009885142859986436,2327,55,0.03026127349620695,0.6962412398583746,False,True,127985,True
20261031,1,0.0,0.0,8,q32,32,68,0.00020666014512486742,1230,104,0.5364017320640964,0.6959710985856413,False,True,127920,True
20261031,1,0.0,0.9,8,joint,1,50,0.009885142859986436,2327,55,0.003906934877745777,0.6913592334959859,False,True,127985,True
20261031,1,0.0,0.9,8,q1,1,50,0.009885142859986436,2327,55,0.003906934877745777,0.6913592334959859,False,True,127985,True
20261031,1,0.0,0.9,8,q32,32,68,0.00020354947791322963,1230,104,0.5299212312047005,0.6960260210036959,False,True,127920,True
20261032,2,0.0,0.0,0,joint,32,68,0.052523801812651344,1230,104,0.0007038047698963315,0.6661369438956719,False,True,127920,True
20261032,2,0.0,0.0,0,q1,1,50,0.009885142859986436,2327,55,0.002374513715637116,0.6871262082745853,False,True,127985,True
20261032,2,0.0,0.0,0,q32,32,68,0.052523801812651344,1230,104,0.0007038047698963315,0.6661369438956719,False,True,127920,True
20261032,2,0.0,0.9,0,joint,1,50,0.009885142859986436,2327,55,0.012913819536052857,0.6947764547975978,False,True,127985,True
20261032,2,0.0,0.9,0,q1,1,50,0.009885142859986436,2327,55,0.012913819536052857,0.6947764547975978,False,True,127985,True
20261032,2,0.0,0.9,0,q32,32,68,0.010755079654503737,1230,104,0.012739581525329042,0.6946610037951325,False,True,127920,True
20261032,2,0.0,0.0,8,joint,4,56,0.026668002482448005,2000,64,0.011273255698117511,0.6808562135495444,False,True,128000,True
20261032,2,0.0,0.0,8,q1,1,50,0.009885142859986436,2327,55,0.002374513715637116,0.6871262082745853,False,True,127985,True
20261032,2,0.0,0.0,8,q32,32,68,0.00020666014512486742,1230,104,0.5374370948106082,0.6960165380980431,False,True,127920,True
20261032,2,0.0,0.9,8,joint,1,50,0.009885142859986436,2327,55,0.012913819536052857,0.6947764547975978,False,True,127985,True
20261032,2,0.0,0.9,8,q1,1,50,0.009885142859986436,2327,55,0.012913819536052857,0.6947764547975978,False,True,127985,True
20261032,2,0.0,0.9,8,q32,32,68,0.00020354947791322963,1230,104,0.5377350377541503,0.6961072878997737,False,True,127920,True
20261033,3,0.0,0.0,0,joint,32,68,0.052523801812651344,1230,104,0.001756327788687308,0.6556435519373753,False,True,127920,True
20261033,3,0.0,0.0,0,q1,1,50,0.009885142859986436,2327,55,0.015945525063840456,0.6947764547975978,False,True,127985,True
20261033,3,0.0,0.0,0,q32,32,68,0.052523801812651344,1230,104,0.001756327788687308,0.6556435519373753,False,True,127920,True
20261033,3,0.0,0.9,0,joint,1,50,0.009885142859986436,2327,55,0.0030886183624750916,0.6887990765234157,False,True,127985,True
20261033,3,0.0,0.9,0,q1,1,50,0.009885142859986436,2327,55,0.0030886183624750916,0.6887990765234157,False,True,127985,True
20261033,3,0.0,0.9,0,q32,32,68,0.010755079654503737,1230,104,0.0263064451241154,0.6882029181599569,False,True,127920,True
20261033,3,0.0,0.0,8,joint,4,56,0.026668002482448005,2000,64,0.010526133813764008,0.6753008002784416,False,True,128000,True
20261033,3,0.0,0.0,8,q1,1,50,0.009885142859986436,2327,55,0.015945525063840456,0.6947764547975978,False,True,127985,True
20261033,3,0.0,0.0,8,q32,32,68,0.00020666014512486742,1230,104,0.536845536286618,0.6959740627457695,False,True,127920,True
20261033,3,0.0,0.9,8,joint,1,50,0.009885142859986436,2327,55,0.0030886183624750916,0.6887990765234157,False,True,127985,True
20261033,3,0.0,0.9,8,q1,1,50,0.009885142859986436,2327,55,0.0030886183624750916,0.6887990765234157,False,True,127985,True
20261033,3,0.0,0.9,8,q32,32,68,0.00020354947791322963,1230,104,0.5395582523961977,0.6959842459638831,False,True,127920,True
20261034,4,0.0,0.0,0,joint,32,68,0.052523801812651344,1230,104,0.0018083445532532463,0.6583213753474695,False,True,127920,True
20261034,4,0.0,0.0,0,q1,1,50,0.009885142859986436,2327,55,0.058181490952883566,0.6887990765234157,False,True,127985,True
20261034,4,0.0,0.0,0,q32,32,68,0.052523801812651344,1230,104,0.0018083445532532463,0.6583213753474695,False,True,127920,True
20261034,4,0.0,0.9,0,joint,1,50,0.009885142859986436,2327,55,0.023989415768385414,0.6886778052033075,False,True,127985,True
20261034,4,0.0,0.9,0,q1,1,50,0.009885142859986436,2327,55,0.023989415768385414,0.6886778052033075,False,True,127985,True
20261034,4,0.0,0.9,0,q32,32,68,0.010755079654503737,1230,104,0.004260126888569514,0.6909192741573079,False,True,127920,True
20261034,4,0.0,0.0,8,joint,4,56,0.026668002482448005,2000,64,0.06517533020409146,0.684821039633032,False,True,128000,True
20261034,4,0.0,0.0,8,q1,1,50,0.009885142859986436,2327,55,0.058181490952883566,0.6887990765234157,False,True,127985,True
20261034,4,0.0,0.0,8,q32,32,68,0.00020666014512486742,1230,104,0.5379956325888421,0.6959847745858889,False,True,127920,True
20261034,4,0.0,0.9,8,joint,1,50,0.009885142859986436,2327,55,0.023989415768385414,0.6886778052033075,False,True,127985,True
20261034,4,0.0,0.9,8,q1,1,50,0.009885142859986436,2327,55,0.023989415768385414,0.6886778052033075,False,True,127985,True
20261034,4,0.0,0.9,8,q32,32,68,0.00020354947791322963,1230,104,0.5347225889499193,0.6960371243784944,False,True,127920,True
20261035,5,0.0,0.0,0,joint,32,68,0.052523801812651344,1230,104,0.0022133906958890412,0.6587317709074559,False,True,127920,True
20261035,5,0.0,0.0,0,q1,1,50,0.009885142859986436,2327,55,0.03333079070939634,0.6871262082745853,False,True,127985,True
20261035,5,0.0,0.0,0,q32,32,68,0.052523801812651344,1230,104,0.0022133906958890412,0.6587317709074559,False,True,127920,True
20261035,5,0.0,0.9,0,joint,1,50,0.009885142859986436,2327,55,0.016831170231229098,0.6929518133144308,False,True,127985,True
20261035,5,0.0,0.9,0,q1,1,50,0.009885142859986436,2327,55,0.016831170231229098,0.6929518133144308,False,True,127985,True
20261035,5,0.0,0.9,0,q32,32,68,0.010755079654503737,1230,104,0.004161676860827715,0.6926731574034046,False,True,127920,True
20261035,5,0.0,0.0,8,joint,4,56,0.026668002482448005,2000,64,0.010242764139818688,0.6565955665371482,False,True,128000,True
20261035,5,0.0,0.0,8,q1,1,50,0.009885142859986436,2327,55,0.03333079070939634,0.6871262082745853,False,True,127985,True
20261035,5,0.0,0.0,8,q32,32,68,0.00020666014512486742,1230,104,0.537762315277222,0.6959868441115845,False,True,127920,True
20261035,5,0.0,0.9,8,joint,1,50,0.009885142859986436,2327,55,0.016831170231229098,0.6929518133144308,False,True,127985,True
20261035,5,0.0,0.9,8,q1,1,50,0.009885142859986436,2327,55,0.016831170231229098,0.6929518133144308,False,True,127985,True
20261035,5,0.0,0.9,8,q32,32,68,0.00020354947791322963,1230,104,0.5369446078093715,0.6960702694679206,False,True,127920,True
20261036,6,0.0,0.0,0,joint,32,68,0.052523801812651344,1230,104,0.004618205919353405,0.6541216169532357,False,True,127920,True
20261036,6,0.0,0.0,0,q1,1,50,0.009885142859986436,2327,55,0.0035031895811247276,0.6726866879016774,False,True,127985,True
20261036,6,0.0,0.0,0,q32,32,68,0.052523801812651344,1230,104,0.004618205919353405,0.6541216169532357,False,True,127920,True
20261036,6,0.0,0.9,0,joint,1,50,0.009885142859986436,2327,55,0.0025062693319074045,0.6962412398583746,False,True,127985,True
20261036,6,0.0,0.9,0,q1,1,50,0.009885142859986436,2327,55,0.0025062693319074045,0.6962412398583746,False,True,127985,True
20261036,6,0.0,0.9,0,q32,32,68,0.010755079654503737,1230,104,0.04552285030511985,0.6959904308140719,False,True,127920,True
20261036,6,0.0,0.0,8,joint,4,56,0.026668002482448005,2000,64,0.001492193515248725,0.6472240169579809,False,True,128000,True
20261036,6,0.0,0.0,8,q1,1,50,0.009885142859986436,2327,55,0.0035031895811247276,0.6726866879016774,False,True,127985,True
20261036,6,0.0,0.0,8,q32,32,68,0.00020666014512486742,1230,104,0.5365697052325913,0.6959679154493318,False,True,127920,True
20261036,6,0.0,0.9,8,joint,1,50,0.009885142859986436,2327,55,0.0025062693319074045,0.6962412398583746,False,True,127985,True
20261036,6,0.0,0.9,8,q1,1,50,0.009885142859986436,2327,55,0.0025062693319074045,0.6962412398583746,False,True,127985,True
20261036,6,0.0,0.9,8,q32,32,68,0.00020354947791322963,1230,104,0.5369146099986777,0.6961334046144465,False,True,127920,True
20261037,7,0.0,0.0,0,joint,32,68,0.052523801812651344,1230,104,0.007545135891037258,0.6693075741082638,False,True,127920,True
20261037,7,0.0,0.0,0,q1,1,50,0.009885142859986436,2327,55,0.020307078512136145,0.6962412398583746,False,True,127985,True
20261037,7,0.0,0.0,0,q32,32,68,0.052523801812651344,1230,104,0.007545135891037258,0.6693075741082638,False,True,127920,True
20261037,7,0.0,0.9,0,joint,1,50,0.009885142859986436,2327,55,0.03545276287377279,0.6929518133144308,False,True,127985,True
20261037,7,0.0,0.9,0,q1,1,50,0.009885142859986436,2327,55,0.03545276287377279,0.6929518133144308,False,True,127985,True
20261037,7,0.0,0.9,0,q32,32,68,0.010755079654503737,1230,104,0.009247581834341916,0.6927326086621493,False,True,127920,True
20261037,7,0.0,0.0,8,joint,4,56,0.026668002482448005,2000,64,0.01856241159118774,0.691195233503115,False,True,128000,True
20261037,7,0.0,0.0,8,q1,1,50,0.009885142859986436,2327,55,0.020307078512136145,0.6962412398583746,False,True,127985,True
20261037,7,0.0,0.0,8,q32,32,68,0.00020666014512486742,1230,104,0.5375288171773318,0.6960292743229163,False,True,127920,True
20261037,7,0.0,0.9,8,joint,1,50,0.009885142859986436,2327,55,0.03545276287377279,0.6929518133144308,False,True,127985,True
20261037,7,0.0,0.9,8,q1,1,50,0.009885142859986436,2327,55,0.03545276287377279,0.6929518133144308,False,True,127985,True
20261037,7,0.0,0.9,8,q32,32,68,0.00020354947791322963,1230,104,0.5384073898990475,0.6960714253379298,False,True,127920,True
20261038,8,0.0,0.0,0,joint,32,68,0.052523801812651344,1230,104,0.002317919891990711,0.6569041680500831,False,True,127920,True
20261038,8,0.0,0.0,0,q1,1,50,0.009885142859986436,2327,55,0.052056724378505385,0.6887990765234157,False,True,127985,True
20261038,8,0.0,0.0,0,q32,32,68,0.052523801812651344,1230,104,0.002317919891990711,0.6569041680500831,False,True,127920,True
20261038,8,0.0,0.9,0,joint,1,50,0.009885142859986436,2327,55,0.024129222510297556,0.6886778052033075,False,True,127985,True
20261038,8,0.0,0.9,0,q1,1,50,0.009885142859986436,2327,55,0.024129222510297556,0.6886778052033075,False,True,127985,True
20261038,8,0.0,0.9,0,q32,32,68,0.010755079654503737,1230,104,0.0222450943938584,0.6955635467723049,False,True,127920,True
20261038,8,0.0,0.0,8,joint,4,56,0.026668002482448005,2000,64,0.01046284283719779,0.6768707603845121,False,True,128000,True
20261038,8,0.0,0.0,8,q1,1,50,0.009885142859986436,2327,55,0.052056724378505385,0.6887990765234157,False,True,127985,True
20261038,8,0.0,0.0,8,q32,32,68,0.00020666014512486742,1230,104,0.5381653475705838,0.6959792931985054,False,True,127920,True
20261038,8,0.0,0.9,8,joint,1,50,0.009885142859986436,2327,55,0.024129222510297556,0.6886778052033075,False,True,127985,True
20261038,8,0.0,0.9,8,q1,1,50,0.009885142859986436,2327,55,0.024129222510297556,0.6886778052033075,False,True,127985,True
20261038,8,0.0,0.9,8,q32,32,68,0.00020354947791322963,1230,104,0.5366438190586406,0.6961253157548343,False,True,127920,True
20261039,9,0.0,0.0,0,joint,32,68,0.052523801812651344,1230,104,0.0032546409234231236,0.6651756244966306,False,True,127920,True
20261039,9,0.0,0.0,0,q1,1,50,0.009885142859986436,2327,55,0.021710387929238285,0.6871262082745853,False,True,127985,True
20261039,9,0.0,0.0,0,q32,32,68,0.052523801812651344,1230,104,0.0032546409234231236,0.6651756244966306,False,True,127920,True
20261039,9,0.0,0.9,0,joint,1,50,0.009885142859986436,2327,55,0.03160741630275937,0.6929518133144308,False,True,127985,True
20261039,9,0.0,0.9,0,q1,1,50,0.009885142859986436,2327,55,0.03160741630275937,0.6929518133144308,False,True,127985,True
20261039,9,0.0,0.9,0,q32,32,68,0.010755079654503737,1230,104,0.012744606838270462,0.6926731574034046,False,True,127920,True
20261039,9,0.0,0.0,8,joint,4,56,0.026668002482448005,2000,64,0.07027435224732208,0.6701169226666626,False,True,128000,True
20261039,9,0.0,0.0,8,q1,1,50,0.009885142859986436,2327,55,0.021710387929238285,0.6871262082745853,False,True,127985,True
20261039,9,0.0,0.0,8,q32,32,68,0.00020666014512486742,1230,104,0.5367689350305516,0.6960128930933726,False,True,127920,True
20261039,9,0.0,0.9,8,joint,1,50,0.009885142859986436,2327,55,0.03160741630275937,0.6929518133144308,False,True,127985,True
20261039,9,0.0,0.9,8,q1,1,50,0.009885142859986436,2327,55,0.03160741630275937,0.6929518133144308,False,True,127985,True
20261039,9,0.0,0.9,8,q32,32,68,0.00020354947791322963,1230,104,0.5388807684760273,0.6960702694679206,False,True,127920,True
20261040,10,0.0,0.0,0,joint,32,68,0.052523801812651344,1230,104,0.000986163360240551,0.6614966869586542,False,True,127920,True
20261040,10,0.0,0.0,0,q1,1,50,0.009885142859986436,2327,55,0.036109894140518885,0.6947764547975978,False,True,127985,True
20261040,10,0.0,0.0,0,q32,32,68,0.052523801812651344,1230,104,0.000986163360240551,0.6614966869586542,False,True,127920,True
20261040,10,0.0,0.9,0,joint,1,50,0.009885142859986436,2327,55,0.0042915427756093335,0.6872571661640502,False,True,127985,True
20261040,10,0.0,0.9,0,q1,1,50,0.009885142859986436,2327,55,0.0042915427756093335,0.6872571661640502,False,True,127985,True
20261040,10,0.0,0.9,0,q32,32,68,0.010755079654503737,1230,104,0.003240511669492048,0.686289232158476,False,True,127920,True
20261040,10,0.0,0.0,8,joint,4,56,0.026668002482448005,2000,64,0.004608390764568307,0.6734725898958052,False,True,128000,True
20261040,10,0.0,0.0,8,q1,1,50,0.009885142859986436,2327,55,0.036109894140518885,0.6947764547975978,False,True,127985,True
20261040,10,0.0,0.0,8,q32,32,68,0.00020666014512486742,1230,104,0.5364785553868751,0.6959976000541421,False,True,127920,True
20261040,10,0.0,0.9,8,joint,1,50,0.009885142859986436,2327,55,0.0042915427756093335,0.6872571661640502,False,True,127985,True
20261040,10,0.0,0.9,8,q1,1,50,0.009885142859986436,2327,55,0.0042915427756093335,0.6872571661640502,False,True,127985,True
20261040,10,0.0,0.9,8,q32,32,68,0.00020354947791322963,1230,104,0.540706600550799,0.6959485375738503,False,True,127920,True
20261041,11,0.0,0.0,0,joint,32,68,0.052523801812651344,1230,104,0.0009718154716651218,0.6678479841261769,False,True,127920,True
