policy,scenario,max_delay,budget,mean_mse,standard_error
adaptive_probe,independent,4,0.0,1.0,0.0
adaptive_probe,independent,4,160.0,0.8465105279514844,0.0017885372762234879
adaptive_probe,independent,4,320.0,0.7142952713160264,0.0022507580800407686
adaptive_probe,independent,4,480.0,0.5805546150080043,0.002764398032139313
adaptive_probe,independent,4,640.0,0.49055201673685267,0.0027977407497629535
adaptive_probe,independent,4,800.0,0.39995073081199967,0.002634227336585861
adaptive_probe,independent,4,960.0,0.33681431059131717,0.002583205252404332
adaptive_probe,independent,4,1120.0,0.27044489049777726,0.0023731149616229223
adaptive_probe,independent,4,1280.0,0.229250892715396,0.0023848329593478
adaptive_probe,independent,4,1440.0,0.18556986129863803,0.0022697705793898225
adaptive_probe,independent,4,1600.0,0.1559298582329344,0.0021471304437598567
adaptive_probe,independent,4,1760.0,0.1328397627946777,0.0019130361882500335
adaptive_probe,independent,4,1920.0,0.10908979810486737,0.0018805735324817646
adaptive_probe,independent,4,2080.0,0.09253871115512773,0.001693994300413598
adaptive_probe,independent,4,2240.0,0.07578491080722335,0.0015618105704490856
adaptive_probe,independent,4,2400.0,0.06452521381332586,0.0015351097153435162
adaptive_probe,independent,4,2560.0,0.05286287661022585,0.001431374381036996
adaptive_probe,independent,4,2720.0,0.04514636940865117,0.0012766011109100412
adaptive_probe,independent,4,2880.0,0.036158949103912666,0.0010862729857998286
adaptive_probe,independent,4,3040.0,0.03309407550127289,0.0009440572500898908
adaptive_probe,independent,4,3200.0,0.030437848955717207,0.0009447568467730187
adaptive_probe,independent,4,3360.0,0.02766253282187537,0.0008528942830329388
adaptive_probe,independent,4,3520.0,0.025377381035602678,0.0007748776680955833
adaptive_probe,independent,4,3680.0,0.02301810313812462,0.000739315623283448
adaptive_probe,independent,4,3840.0,0.02095029196285683,0.0007637140940382336
adaptive_probe,independent,4,4000.0,0.019149012603922426,0.000729157873882319
adaptive_probe,independent,4,4160.0,0.01751882406859832,0.0006853526364073475
adaptive_probe,independent,4,4320.0,0.016146907613480924,0.0006709763756367755
adaptive_probe,independent,4,4480.0,0.014844653262326554,0.0006269956278962228
adaptive_probe,independent,4,4640.0,0.01355524070624002,0.000598173657000141
adaptive_probe,independent,4,4800.0,0.012391630999232553,0.0005281103270506959
adaptive_probe,independent,4,4960.0,0.011294341438302982,0.0004977931607411747
adaptive_probe,independent,4,5120.0,0.01043652963461757,0.0004726281142165547
adaptive_probe,independent,4,5280.0,0.009443734302192076,0.0004407150175448668
adaptive_probe,independent,4,5440.0,0.008474622993967465,0.00043436124618182506
adaptive_probe,independent,4,5600.0,0.007946056065237206,0.00042038866432864066
adaptive_probe,independent,4,5760.0,0.007356695351162474,0.0004054408989910696
adaptive_probe,independent,4,5920.0,0.00684508473855098,0.0003765215877047316
adaptive_probe,independent,4,6080.0,0.00621357462998562,0.00036386908161008594
adaptive_probe,independent,4,6240.0,0.0056967247416725535,0.0003373056219938665
adaptive_probe,independent,4,6400.0,0.005238551004700709,0.0003139234191977089
adaptive_probe,independent,4,6560.0,0.004790655700679367,0.00029651193401883337
adaptive_probe,independent,4,6720.0,0.004569638834675891,0.00029988166235352955
adaptive_probe,independent,4,6880.0,0.004049207924863585,0.0002738196501511434
adaptive_probe,independent,4,7040.0,0.003655562648910394,0.0002746973922190871
adaptive_probe,independent,4,7200.0,0.0034409244466192647,0.000260481539452798
adaptive_probe,independent,4,7360.0,0.003117205680628442,0.0002589510959587071
adaptive_probe,independent,4,7520.0,0.002843698782849091,0.0002457033542335964
adaptive_probe,independent,4,7680.0,0.0026743596019303834,0.00022894684954826564
adaptive_probe,independent,4,7840.0,0.002456529800747552,0.00023384846406276195
adaptive_probe,independent,4,8000.0,0.0023427206571557846,0.00022646361168509514
adaptive_probe,independent,4,8160.0,0.0022799859372092273,0.00022678027528159748
adaptive_probe,independent,4,8320.0,0.002115261980032866,0.00021605668574714543
adaptive_probe,independent,4,8480.0,0.0019760817814372905,0.0002091997889004658
adaptive_probe,independent,4,8640.0,0.0017622637579148798,0.00019209568242743887
adaptive_probe,independent,4,8800.0,0.0016644773434905077,0.00017961940856069285
adaptive_probe,independent,4,8960.0,0.0016216191417302824,0.00018406212267298635
adaptive_probe,independent,4,9120.0,0.00153020825493426,0.00016675676253512462
adaptive_probe,independent,4,9280.0,0.0013975832369175596,0.00015340939640582334
adaptive_probe,independent,4,9440.0,0.0012821071334680344,0.00013054522719323713
adaptive_probe,independent,4,9600.0,0.0011718783290709806,0.00011708333163334437
adaptive_probe,independent,4,9760.0,0.0010895543098147528,0.00011688038387784706
adaptive_probe,independent,4,9920.0,0.0009887260250379787,0.00011070567245015612
adaptive_probe,independent,4,10080.0,0.0009624555082055678,0.00011579178634270909
adaptive_probe,independent,4,10240.0,0.0009545292982645243,0.00011535358829628177
adaptive_probe,independent,4,10400.0,0.0009241730614573468,0.00011326781071395193
adaptive_probe,independent,4,10560.0,0.0008667004207105465,0.00010426922852414376
adaptive_probe,independent,4,10720.0,0.0008720963426515346,9.863725484747216e-05
adaptive_probe,independent,4,10880.0,0.0007902612171549953,9.600017761627938e-05
adaptive_probe,independent,4,11040.0,0.000718285124653757,8.587457036493937e-05
adaptive_probe,independent,4,11200.0,0.00067120567007676,9.136109368835664e-05
adaptive_probe,independent,4,11360.0,0.0006490257730853181,8.637352351015265e-05
adaptive_probe,independent,4,11520.0,0.0006413364806034908,8.656071791845176e-05
adaptive_probe,independent,4,11680.0,0.0006223849976635178,9.007404034302196e-05
adaptive_probe,independent,4,11840.0,0.0005779703051883644,7.950020985467733e-05
adaptive_probe,independent,4,12000.0,0.0006306139353422829,8.625171838248535e-05
adaptive_probe,independent,4,12160.0,0.000600986195044481,7.875126136175554e-05
adaptive_probe,independent,4,12320.0,0.0005593147490251665,7.697653507095857e-05
adaptive_probe,independent,4,12480.0,0.0005089662661302815,7.0126069075332e-05
adaptive_probe,independent,4,12640.0,0.0004982725093189618,7.274030572163258e-05
adaptive_probe,independent,4,12800.0,0.00047087883086863744,6.878180997221245e-05
adaptive_probe,independent,4,12960.0,0.0004190889453498984,6.110787109008216e-05
adaptive_probe,independent,4,13120.0,0.000371630896871201,5.666996295983009e-05
adaptive_probe,independent,4,13280.0,0.0003229465342183564,4.275076586217201e-05
adaptive_probe,independent,4,13440.0,0.0003495742089220413,4.488221936458437e-05
adaptive_probe,independent,4,13600.0,0.00032002371537247416,4.785704854465207e-05
adaptive_probe,independent,4,13760.0,0.0003018806194023447,4.079240452464319e-05
adaptive_probe,independent,4,13920.0,0.00029819903371818636,4.237920244134035e-05
adaptive_probe,independent,4,14080.0,0.0002984601188748174,4.3447951336100506e-05
adaptive_probe,independent,4,14240.0,0.00026392908100592813,4.1117296297382876e-05
adaptive_probe,independent,4,14400.0,0.0002713548502158811,4.307487251607614e-05
adaptive_probe,independent,4,14560.0,0.0002717065737865209,4.657111023601096e-05
adaptive_probe,independent,4,14720.0,0.00028059657921612735,4.746447384625054e-05
adaptive_probe,independent,4,14880.0,0.0002718654353074445,4.059938191059728e-05
adaptive_probe,independent,4,15040.0,0.0002833435564547854,4.727515785474801e-05
