path,budget_low,budget_high,error_low,error_high,pass
global,250,500,0.01,0.03,False
global,250,500,0.03,0.1,False
global,250,500,0.1,0.3,False
global,250,500,0.3,1.0,False
global,500,1000,0.01,0.03,False
global,500,1000,0.03,0.1,False
global,500,1000,0.1,0.3,False
global,500,1000,0.3,1.0,False
global,1000,2000,0.01,0.03,False
global,1000,2000,0.03,0.1,False
global,1000,2000,0.1,0.3,False
global,1000,2000,0.3,1.0,True
global,2000,4000,0.01,0.03,False
global,2000,4000,0.03,0.1,False
global,2000,4000,0.1,0.3,False
global,2000,4000,0.3,1.0,True
global,4000,8000,0.01,0.03,False
global,4000,8000,0.03,0.1,False
global,4000,8000,0.1,0.3,False
global,4000,8000,0.3,1.0,True
clustered,250,500,0.01,0.03,False
clustered,250,500,0.03,0.1,False
clustered,250,500,0.1,0.3,False
clustered,250,500,0.3,1.0,False
clustered,500,1000,0.01,0.03,False
clustered,500,1000,0.03,0.1,False
clustered,500,1000,0.1,0.3,True
clustered,500,1000,0.3,1.0,False
clustered,1000,2000,0.01,0.03,False
clustered,1000,2000,0.03,0.1,False
clustered,1000,2000,0.1,0.3,True
clustered,1000,2000,0.3,1.0,True
clustered,2000,4000,0.01,0.03,False
clustered,2000,4000,0.03,0.1,False
clustered,2000,4000,0.1,0.3,True
clustered,2000,4000,0.3,1.0,True
clustered,4000,8000,0.01,0.03,False
clustered,4000,8000,0.03,0.1,False
clustered,4000,8000,0.1,0.3,True
clustered,4000,8000,0.3,1.0,True
