path,strength,budget,error_amplitude,overhead,distinct_q_across_delays,delay_sensitive
balanced,0.0,250,0.01,0,1,False
balanced,0.0,250,0.01,4,1,False
balanced,0.0,250,0.01,16,1,False
balanced,0.0,250,0.03,0,1,False
balanced,0.0,250,0.03,4,2,True
balanced,0.0,250,0.03,16,1,False
balanced,0.0,250,0.1,0,1,False
balanced,0.0,250,0.1,4,1,False
balanced,0.0,250,0.1,16,1,False
balanced,0.0,250,0.3,0,2,True
balanced,0.0,250,0.3,4,2,True
balanced,0.0,250,0.3,16,1,False
balanced,0.0,250,1.0,0,2,True
balanced,0.0,250,1.0,4,1,False
balanced,0.0,250,1.0,16,2,True
balanced,0.0,500,0.01,0,1,False
balanced,0.0,500,0.01,4,1,False
balanced,0.0,500,0.01,16,1,False
balanced,0.0,500,0.03,0,1,False
balanced,0.0,500,0.03,4,1,False
balanced,0.0,500,0.03,16,1,False
balanced,0.0,500,0.1,0,2,True
balanced,0.0,500,0.1,4,1,False
balanced,0.0,500,0.1,16,1,False
balanced,0.0,500,0.3,0,2,True
balanced,0.0,500,0.3,4,2,True
balanced,0.0,500,0.3,16,2,True
balanced,0.0,500,1.0,0,3,True
balanced,0.0,500,1.0,4,2,True
balanced,0.0,500,1.0,16,2,True
balanced,0.0,1000,0.01,0,1,False
balanced,0.0,1000,0.01,4,1,False
balanced,0.0,1000,0.01,16,1,False
balanced,0.0,1000,0.03,0,1,False
balanced,0.0,1000,0.03,4,1,False
balanced,0.0,1000,0.03,16,1,False
balanced,0.0,1000,0.1,0,2,True
balanced,0.0,1000,0.1,4,1,False
balanced,0.0,1000,0.1,16,1,False
balanced,0.0,1000,0.3,0,2,True
balanced,0.0,1000,0.3,4,2,True
balanced,0.0,1000,0.3,16,2,True
balanced,0.0,1000,1.0,0,3,True
balanced,0.0,1000,1.0,4,2,True
balanced,0.0,1000,1.0,16,2,True
balanced,0.0,2000,0.01,0,1,False
balanced,0.0,2000,0.01,4,1,False
balanced,0.0,2000,0.01,16,1,False
balanced,0.0,2000,0.03,0,1,False
balanced,0.0,2000,0.03,4,1,False
balanced,0.0,2000,0.03,16,1,False
balanced,0.0,2000,0.1,0,2,True
balanced,0.0,2000,0.1,4,1,False
balanced,0.0,2000,0.1,16,1,False
balanced,0.0,2000,0.3,0,2,True
balanced,0.0,2000,0.3,4,1,False
balanced,0.0,2000,0.3,16,1,False
balanced,0.0,2000,1.0,0,2,True
balanced,0.0,2000,1.0,4,2,True
balanced,0.0,2000,1.0,16,1,False
balanced,0.0,4000,0.01,0,1,False
balanced,0.0,4000,0.01,4,1,False
balanced,0.0,4000,0.01,16,1,False
balanced,0.0,4000,0.03,0,1,False
balanced,0.0,4000,0.03,4,1,False
balanced,0.0,4000,0.03,16,1,False
balanced,0.0,4000,0.1,0,2,True
balanced,0.0,4000,0.1,4,1,False
balanced,0.0,4000,0.1,16,1,False
