path,budget,error_amplitude,max_delay,overhead,q_at_zero,q_at_high,nonincreasing,responsive,high_strength_margin,well_separated
balanced,250,0.01,0,0,32.0,32.0,True,False,0.9138489566069913,False
balanced,250,0.01,0,4,32.0,32.0,True,False,0.7866828554784422,False
balanced,250,0.01,0,16,32.0,32.0,True,False,0.2968442741505938,False
balanced,250,0.01,4,0,32.0,32.0,True,False,0.9079675145947309,False
balanced,250,0.01,4,4,32.0,32.0,True,False,0.7816920458643146,False
balanced,250,0.01,4,16,32.0,32.0,True,False,0.2935945269284208,False
balanced,250,0.01,16,0,32.0,32.0,True,False,0.9124397538433545,False
balanced,250,0.01,16,4,32.0,32.0,True,False,0.7871673445826698,False
balanced,250,0.01,16,16,32.0,32.0,True,False,0.2968273389955763,False
balanced,250,0.01,32,0,32.0,32.0,True,False,0.9245356424042029,False
balanced,250,0.01,32,4,32.0,32.0,True,False,0.7964806224346218,False
balanced,250,0.01,32,16,32.0,32.0,True,False,0.2994039640656182,False
balanced,250,0.03,0,0,8.0,32.0,False,False,0.44377498532437987,False
balanced,250,0.03,0,4,16.0,32.0,False,False,0.35631452347733045,False
balanced,250,0.03,0,16,32.0,32.0,True,False,0.12315941163490397,False
balanced,250,0.03,4,0,8.0,32.0,False,False,0.4418787376807686,False
balanced,250,0.03,4,4,32.0,32.0,True,False,0.3548142342233376,False
balanced,250,0.03,4,16,32.0,32.0,True,False,0.12204523100096691,False
balanced,250,0.03,16,0,8.0,32.0,False,False,0.44538434572096075,False
balanced,250,0.03,16,4,32.0,32.0,True,False,0.35820322157235196,False
balanced,250,0.03,16,16,32.0,32.0,True,False,0.12364550644162314,False
balanced,250,0.03,32,0,8.0,32.0,False,False,0.4517410493879569,False
balanced,250,0.03,32,4,32.0,32.0,True,False,0.3627406592369888,False
balanced,250,0.03,32,16,32.0,32.0,True,False,0.12479762964414394,False
balanced,250,0.1,0,0,2.0,32.0,False,False,0.03381569020354098,False
balanced,250,0.1,0,4,16.0,32.0,False,False,0.02555969259393372,False
balanced,250,0.1,0,16,32.0,32.0,False,False,0.007782930200073023,False
balanced,250,0.1,4,0,2.0,32.0,False,False,0.03369842770850234,False
balanced,250,0.1,4,4,16.0,32.0,False,False,0.02546271267310657,False
balanced,250,0.1,4,16,32.0,32.0,False,False,0.00761942424978349,False
balanced,250,0.1,16,0,2.0,32.0,False,False,0.03423626457959671,False
balanced,250,0.1,16,4,16.0,32.0,False,False,0.025905834742408436,False
balanced,250,0.1,16,16,32.0,32.0,False,False,0.007484109773888892,False
balanced,250,0.1,32,0,2.0,32.0,False,False,0.03501126309297693,False
balanced,250,0.1,32,4,16.0,32.0,False,False,0.026422604005213818,False
balanced,250,0.1,32,16,32.0,32.0,False,False,0.0074525163467423425,False
balanced,250,0.3,0,0,8.0,1.0,True,False,0.4542925164361523,False
balanced,250,0.3,0,4,8.0,1.0,True,False,0.05712124533228138,False
balanced,250,0.3,0,16,8.0,1.0,True,False,0.0092166561221537,False
balanced,250,0.3,4,0,8.0,1.0,True,False,0.4542925164361523,False
balanced,250,0.3,4,4,8.0,1.0,True,False,0.05712124533228138,False
balanced,250,0.3,4,16,8.0,1.0,True,False,0.0092166561221537,False
balanced,250,0.3,16,0,8.0,1.0,True,False,0.4542925164361523,False
balanced,250,0.3,16,4,8.0,1.0,True,False,0.05712124533228138,False
balanced,250,0.3,16,16,8.0,1.0,True,False,0.0092166561221537,False
balanced,250,0.3,32,0,16.0,1.0,True,True,0.4542925164361523,True
balanced,250,0.3,32,4,16.0,1.0,True,True,0.05712124533228138,True
balanced,250,0.3,32,16,8.0,1.0,True,False,0.0092166561221537,False
balanced,250,1.0,0,0,4.0,1.0,True,False,0.755494816830071,False
balanced,250,1.0,0,4,4.0,1.0,True,False,0.17481097953168162,False
balanced,250,1.0,0,16,2.0,1.0,True,False,0.049335952681490214,False
balanced,250,1.0,4,0,4.0,1.0,True,False,0.755494816830071,False
balanced,250,1.0,4,4,4.0,1.0,True,False,0.17481097953168162,False
balanced,250,1.0,4,16,2.0,1.0,True,False,0.049335952681490214,False
balanced,250,1.0,16,0,4.0,1.0,True,False,0.755494816830071,False
balanced,250,1.0,16,4,4.0,1.0,True,False,0.17481097953168162,False
balanced,250,1.0,16,16,2.0,1.0,True,False,0.049335952681490214,False
balanced,250,1.0,32,0,8.0,1.0,True,False,0.755494816830071,False
balanced,250,1.0,32,4,4.0,1.0,True,False,0.17481097953168162,False
balanced,250,1.0,32,16,4.0,1.0,True,False,0.049335952681490214,False
balanced,500,0.01,0,0,32.0,32.0,True,False,0.8748342002167875,False
balanced,500,0.01,0,4,32.0,32.0,True,False,0.7582774182226484,False
balanced,500,0.01,0,16,32.0,32.0,True,False,0.4017761021727479,False
balanced,500,0.01,4,0,32.0,32.0,True,False,0.8671791193842668,False
balanced,500,0.01,4,4,32.0,32.0,True,False,0.7513360588160866,False
balanced,500,0.01,4,16,32.0,32.0,True,False,0.3966275426778036,False
balanced,500,0.01,16,0,32.0,32.0,True,False,0.8579286886025316,False
balanced,500,0.01,16,4,32.0,32.0,True,False,0.7452281483548845,False
balanced,500,0.01,16,16,32.0,32.0,True,False,0.39490460718194437,False
balanced,500,0.01,32,0,32.0,32.0,True,False,0.8676115350563152,False
balanced,500,0.01,32,4,32.0,32.0,True,False,0.7553568231534256,False
balanced,500,0.01,32,16,32.0,32.0,True,False,0.40195044452453005,False
balanced,500,0.03,0,0,8.0,32.0,False,False,0.5676559740365515,False
balanced,500,0.03,0,4,32.0,32.0,True,False,0.46940309467072666,False
balanced,500,0.03,0,16,32.0,32.0,True,False,0.22584117418653446,False
balanced,500,0.03,4,0,8.0,32.0,False,False,0.5636844560536821,False
balanced,500,0.03,4,4,32.0,32.0,True,False,0.4659756114022548,False
balanced,500,0.03,4,16,32.0,32.0,True,False,0.22337780675137778,False
balanced,500,0.03,16,0,8.0,32.0,False,False,0.5602812395241826,False
balanced,500,0.03,16,4,32.0,32.0,True,False,0.4642721774689503,False
balanced,500,0.03,16,16,32.0,32.0,True,False,0.2232830094997691,False
balanced,500,0.03,32,0,8.0,32.0,False,False,0.5678458694478142,False
balanced,500,0.03,32,4,32.0,32.0,True,False,0.4714921808407635,False
balanced,500,0.03,32,16,32.0,32.0,True,False,0.22762782739762893,False
balanced,500,0.1,0,0,1.0,32.0,False,False,0.06102942452892131,False
balanced,500,0.1,0,4,32.0,32.0,False,False,0.04673113670232444,False
balanced,500,0.1,0,16,32.0,32.0,False,False,0.015682995453395968,False
balanced,500,0.1,4,0,1.0,32.0,False,False,0.06067612148531224,False
balanced,500,0.1,4,4,32.0,32.0,False,False,0.0464223200482327,False
balanced,500,0.1,4,16,32.0,32.0,False,False,0.015283016137789353,False
balanced,500,0.1,16,0,32.0,32.0,False,False,0.06087446640200127,False
balanced,500,0.1,16,4,32.0,32.0,False,False,0.04665348415669299,False
balanced,500,0.1,16,16,32.0,32.0,False,False,0.014556089756888548,False
balanced,500,0.1,32,0,32.0,32.0,False,False,0.06244766649103915,False
balanced,500,0.1,32,4,32.0,32.0,False,False,0.04794773042635387,False
balanced,500,0.1,32,16,32.0,32.0,False,False,0.014344966178331121,False
balanced,500,0.3,0,0,1.0,1.0,True,False,0.5774166060645489,False
balanced,500,0.3,0,4,16.0,1.0,True,True,0.08208478379239274,True
