persistence,rho,delay,seed,policy,pilot_stays,persistence_upper,certificate_covered,gap,delta_upper,num_agents,eta,theorem_contraction,updates,risk_surrogate,exact_radius,exact_residual,expected_final_error,used_persistence,final_error,maximum_error,diverged
0.5,0.0,0,0,online_ucb,1076,0.5512343875061603,True,1,0.05123438750616027,32,0.18019614425219466,0.922593374949533,437,0.0005243519269542415,0.8252458886201659,0.0,0.00023225955992518606,0.5,0.00045617493861561595,1.2099845665501952,False
0.5,0.0,0,0,oracle,-1,0.5,True,1,0.0,32,0.3469378652777515,0.7727556939150558,487,0.0006620951501337638,0.7727556939150555,0.0,0.000662095150133763,0.5,4.814611816274064e-06,1.422103831125902,False
0.5,0.0,0,0,iid_naive,-1,0.5,True,1,0.0,32,0.3469378652777515,0.7727556939150558,487,0.0006620951501337638,0.7727556939150555,0.0,0.000662095150133763,0.5,4.814611816274064e-06,1.422103831125902,False
0.5,0.0,0,0,worst_mixing,-1,0.98,True,47,0.07340370094697085,32,0.12777543657803236,0.9575755220848353,229,0.0005298709092685748,0.8634378473988646,0.0,0.00014944259703368465,0.5,0.00022059752581702805,1.146835613415126,False
0.5,0.0,0,0,oracle_q1,-1,0.5,True,1,0.0,1,0.2646999313528582,0.826621539704991,2000,0.016164880813680824,0.826621539704991,0.0,0.016164880813680834,0.5,0.0002708706052104087,1.4195816365791525,False
0.5,0.0,0,0,oracle_q32,-1,0.5,True,1,0.0,32,0.3469378652777515,0.7727556939150558,487,0.0006620951501337638,0.7727556939150555,0.0,0.000662095150133763,0.5,4.814611816274064e-06,1.422103831125902,False
0.5,0.0,0,1,online_ucb,995,0.511783449345995,True,1,0.011783449345994956,32,0.30127363902531223,0.818285948157298,437,0.0006243725007169797,0.7766924809517286,0.0,0.0005080762951825063,0.5,6.8803662658438686e-06,1.0,False
0.5,0.0,0,1,oracle,-1,0.5,True,1,0.0,32,0.3469378652777515,0.7727556939150558,487,0.0006620951501337638,0.7727556939150555,0.0,0.000662095150133763,0.5,3.253666556987124e-05,1.0,False
0.5,0.0,0,1,iid_naive,-1,0.5,True,1,0.0,32,0.3469378652777515,0.7727556939150558,487,0.0006620951501337638,0.7727556939150555,0.0,0.000662095150133763,0.5,3.253666556987124e-05,1.0,False
0.5,0.0,0,1,worst_mixing,-1,0.98,True,47,0.07340370094697085,32,0.12777543657803236,0.9575755220848353,229,0.0005298709092685748,0.8634378473988646,0.0,0.00014944259703368465,0.5,2.2942632374552057e-05,1.0,False
0.5,0.0,0,1,oracle_q1,-1,0.5,True,1,0.0,1,0.2646999313528582,0.826621539704991,2000,0.016164880813680824,0.826621539704991,0.0,0.016164880813680834,0.5,7.836238199238218e-05,1.0,False
0.5,0.0,0,1,oracle_q32,-1,0.5,True,1,0.0,32,0.3469378652777515,0.7727556939150558,487,0.0006620951501337638,0.7727556939150555,0.0,0.000662095150133763,0.5,3.253666556987124e-05,1.0,False
0.5,0.0,0,2,online_ucb,1007,0.5176381693829177,True,1,0.017638169382917734,32,0.28046663190926047,0.8380607932372116,437,0.0006071841185574467,0.7810974435389026,1.5700924586837754e-16,0.00044918120696150983,0.5,5.139097774850695e-07,1.0,False
0.5,0.0,0,2,oracle,-1,0.5,True,1,0.0,32,0.3469378652777515,0.7727556939150558,487,0.0006620951501337638,0.7727556939150555,0.0,0.000662095150133763,0.5,0.00023936348531367464,1.0,False
0.5,0.0,0,2,iid_naive,-1,0.5,True,1,0.0,32,0.3469378652777515,0.7727556939150558,487,0.0006620951501337638,0.7727556939150555,0.0,0.000662095150133763,0.5,0.00023936348531367464,1.0,False
0.5,0.0,0,2,worst_mixing,-1,0.98,True,47,0.07340370094697085,32,0.12777543657803236,0.9575755220848353,229,0.0005298709092685748,0.8634378473988646,0.0,0.00014944259703368465,0.5,2.8565048322116234e-06,1.0,False
0.5,0.0,0,2,oracle_q1,-1,0.5,True,1,0.0,1,0.2646999313528582,0.826621539704991,2000,0.016164880813680824,0.826621539704991,0.0,0.016164880813680834,0.5,0.0009748860623867875,1.0,False
0.5,0.0,0,2,oracle_q32,-1,0.5,True,1,0.0,32,0.3469378652777515,0.7727556939150558,487,0.0006620951501337638,0.7727556939150555,0.0,0.000662095150133763,0.5,0.00023936348531367464,1.0,False
0.5,0.0,0,3,online_ucb,1081,0.553664360380859,True,1,0.05366436038085898,32,0.17399427580317534,0.927117828723826,437,0.0005192286309947944,0.8292231938667645,1.5700924586837754e-16,0.0002215904540679581,0.5,0.0001648287326943049,1.0,False
0.5,0.0,0,3,oracle,-1,0.5,True,1,0.0,32,0.3469378652777515,0.7727556939150558,487,0.0006620951501337638,0.7727556939150555,0.0,0.000662095150133763,0.5,0.0006033250605149676,1.0,False
0.5,0.0,0,3,iid_naive,-1,0.5,True,1,0.0,32,0.3469378652777515,0.7727556939150558,487,0.0006620951501337638,0.7727556939150555,0.0,0.000662095150133763,0.5,0.0006033250605149676,1.0,False
0.5,0.0,0,3,worst_mixing,-1,0.98,True,47,0.07340370094697085,32,0.12777543657803236,0.9575755220848353,229,0.0005298709092685748,0.8634378473988646,0.0,0.00014944259703368465,0.5,5.097383113822115e-05,1.0,False
0.5,0.0,0,3,oracle_q1,-1,0.5,True,1,0.0,1,0.2646999313528582,0.826621539704991,2000,0.016164880813680824,0.826621539704991,0.0,0.016164880813680834,0.5,0.0038993902238039363,1.0,False
0.5,0.0,0,3,oracle_q32,-1,0.5,True,1,0.0,32,0.3469378652777515,0.7727556939150558,487,0.0006620951501337638,0.7727556939150555,0.0,0.000662095150133763,0.5,0.0006033250605149676,1.0,False
0.5,0.0,0,4,online_ucb,1068,0.5473451534499363,True,1,0.047345153449936284,32,0.19038118158242368,0.9149602788160295,437,0.0005327656563911788,0.8190292475350598,1.1102230246251565e-16,0.0002503511880168427,0.5,0.00011697588631632545,1.19502515302938,False
0.5,0.0,0,4,oracle,-1,0.5,True,1,0.0,32,0.3469378652777515,0.7727556939150558,487,0.0006620951501337638,0.7727556939150555,0.0,0.000662095150133763,0.5,0.000271541660125662,1.3684098093491153,False
0.5,0.0,0,4,iid_naive,-1,0.5,True,1,0.0,32,0.3469378652777515,0.7727556939150558,487,0.0006620951501337638,0.7727556939150555,0.0,0.000662095150133763,0.5,0.000271541660125662,1.3684098093491153,False
0.5,0.0,0,4,worst_mixing,-1,0.98,True,47,0.07340370094697085,32,0.12777543657803236,0.9575755220848353,229,0.0005298709092685748,0.8634378473988646,0.0,0.00014944259703368465,0.5,3.1813692586367564e-06,1.128976311693949,False
0.5,0.0,0,4,oracle_q1,-1,0.5,True,1,0.0,1,0.2646999313528582,0.826621539704991,2000,0.016164880813680824,0.826621539704991,0.0,0.016164880813680834,0.5,0.0003167464408439282,3.29155135376285,False
0.5,0.0,0,4,oracle_q32,-1,0.5,True,1,0.0,32,0.3469378652777515,0.7727556939150558,487,0.0006620951501337638,0.7727556939150555,0.0,0.000662095150133763,0.5,0.000271541660125662,1.3684098093491153,False
0.5,0.0,0,5,online_ucb,1028,0.527875446711705,True,1,0.027875446711705054,32,0.24671093770994468,0.8686639161941497,437,0.0005792989731186215,0.7917209399781402,1.1102230246251565e-16,0.000365292883855751,0.5,8.343975898118619e-08,1.3963887440874796,False
0.5,0.0,0,5,oracle,-1,0.5,True,1,0.0,32,0.3469378652777515,0.7727556939150558,487,0.0006620951501337638,0.7727556939150555,0.0,0.000662095150133763,0.5,0.00013313628072202606,1.5762815466705686,False
0.5,0.0,0,5,iid_naive,-1,0.5,True,1,0.0,32,0.3469378652777515,0.7727556939150558,487,0.0006620951501337638,0.7727556939150555,0.0,0.000662095150133763,0.5,0.00013313628072202606,1.5762815466705686,False
0.5,0.0,0,5,worst_mixing,-1,0.98,True,47,0.07340370094697085,32,0.12777543657803236,0.9575755220848353,229,0.0005298709092685748,0.8634378473988646,0.0,0.00014944259703368465,0.5,0.00018331924054833127,1.1970537813353666,False
0.5,0.0,0,5,oracle_q1,-1,0.5,True,1,0.0,1,0.2646999313528582,0.826621539704991,2000,0.016164880813680824,0.826621539704991,0.0,0.016164880813680834,0.5,0.0017976798972299246,1.6037707370825312,False
0.5,0.0,0,5,oracle_q32,-1,0.5,True,1,0.0,32,0.3469378652777515,0.7727556939150558,487,0.0006620951501337638,0.7727556939150555,0.0,0.000662095150133763,0.5,0.00013313628072202606,1.5762815466705686,False
