persistence,rho,delay,seed,decision,alpha_m,transitions_before,persistence_upper,certified_upper,covered_so_far,remaining_before,block_budget,gap,num_agents,eta,updates,observations,exact_radius
0.5,0.0,0,0,1,0.005,128,0.5237953362251044,0.524,True,19872,2000,2,32,0.021980418135619652,47,120,0.9721177922174531
0.5,0.0,0,0,2,0.0016666666666666668,248,0.554649284498637,0.555,True,17872,2000,3,32,0.024767115809942432,46,160,0.9687131633505668
0.5,0.0,0,0,3,0.0008333333333333334,408,0.5809217441478285,0.581,True,15872,2000,4,32,0.028236098112002686,45,200,0.9645159279177336
0.5,0.0,0,0,4,0.0005,608,0.5623378479548955,0.563,True,13872,2000,3,32,0.0314766304912838,46,160,0.9606361500155335
0.5,0.0,0,0,5,0.0003333333333333333,768,0.5501787130183255,0.551,True,11872,2000,3,32,0.03626609299418618,46,160,0.9549745005765329
0.5,0.0,0,0,6,0.0002380952380952381,928,0.5469855185665368,0.547,True,9872,2000,3,32,0.043189982335695834,46,160,0.9469428497809
0.5,0.0,0,0,7,0.00017857142857142857,1088,0.5407049593230527,0.541,True,7872,2000,3,32,0.05331110365075888,46,160,0.9355281362943748
0.5,0.0,0,0,8,0.0001388888888888889,1248,0.5421482041475143,0.543,True,5872,2000,3,32,0.07067393941528906,46,160,0.9168470632998805
0.5,0.0,0,0,9,0.00011111111111111112,1408,0.5402463797725846,0.541,True,3872,2000,3,32,0.10510655256199497,46,160,0.8831672880156505
0.5,0.0,0,0,10,9.090909090909092e-05,1568,0.5398558244608892,0.54,True,1872,1872,3,16,0.1270579700766992,69,216,0.8643380039490227
0.5,0.0,0,1,1,0.005,128,0.623423989438409,0.624,True,19872,2000,4,32,0.023087573149618353,45,200,0.9707616224721032
0.5,0.0,0,1,2,0.0016666666666666668,328,0.5849306445640332,0.585,True,17872,2000,4,32,0.02524166560586609,45,200,0.9681363072070668
0.5,0.0,0,1,3,0.0008333333333333334,528,0.5820533556625709,0.583,True,15872,2000,4,32,0.028242321261569236,45,200,0.964508439155108
0.5,0.0,0,1,4,0.0005,728,0.5763342459780818,0.577,True,13872,2000,4,32,0.03198639833005529,45,200,0.9600294318668509
0.5,0.0,0,1,5,0.0003333333333333333,928,0.5636694767896191,0.564,True,11872,2000,3,32,0.03638652898733868,46,160,0.9548332489362341
0.5,0.0,0,1,6,0.0002380952380952381,1088,0.5596353820914686,0.56,True,9872,2000,3,32,0.04331646484846446,46,160,0.9467978147510614
0.5,0.0,0,1,7,0.00017857142857142857,1248,0.5547614469159925,0.555,True,7872,2000,3,32,0.05345045503933438,46,160,0.9353736736506549
0.5,0.0,0,1,8,0.0001388888888888889,1408,0.5430221064623036,0.544,True,5872,2000,3,32,0.07068522323083344,46,160,0.9168352929090463
0.5,0.0,0,1,9,0.00011111111111111112,1568,0.5366789165288212,0.537,True,3872,2000,3,32,0.10504690784736692,46,160,0.8832217580499906
0.5,0.0,0,1,10,9.090909090909092e-05,1728,0.5411821698262234,0.542,True,1872,1872,3,16,0.127099177726984,69,216,0.8643039929645487
0.5,0.0,0,2,1,0.005,128,0.6159232093968728,0.616,True,19872,2000,4,32,0.023024074445631613,45,200,0.9708392778117872
0.5,0.0,0,2,2,0.0016666666666666668,328,0.6028073764551454,0.603,True,17872,2000,4,32,0.025317442479825234,45,200,0.9680442726223257
0.5,0.0,0,2,3,0.0008333333333333334,528,0.5894934854045102,0.59,True,15872,2000,4,32,0.028267955724838575,45,200,0.964477592906986
0.5,0.0,0,2,4,0.0005,728,0.5749798195333093,0.575,True,13872,2000,3,32,0.031614189709213716,46,160,0.9604723324029034
0.5,0.0,0,2,5,0.0003333333333333333,888,0.5719351319944297,0.572,True,11872,2000,3,32,0.03649059380369114,46,160,0.9547112421050168
0.5,0.0,0,2,6,0.0002380952380952381,1048,0.5656086524702904,0.566,True,9872,2000,3,32,0.04339752600143887,46,160,0.9467048952706645
0.5,0.0,0,2,7,0.00017857142857142857,1208,0.5524427161487786,0.553,True,7872,2000,3,32,0.053425373358936816,46,160,0.9354014697757795
0.5,0.0,0,2,8,0.0001388888888888889,1368,0.5522812592206473,0.553,True,5872,2000,3,32,0.07081211863166147,46,160,0.9167029586893448
0.5,0.0,0,2,9,0.00011111111111111112,1528,0.5487417975490801,0.549,True,3872,2000,3,32,0.10526605662794643,46,160,0.8830216882613842
0.5,0.0,0,2,10,9.090909090909092e-05,1688,0.5486895467111421,0.549,True,1872,1872,3,16,0.12727748652462426,69,216,0.8641568993533503
0.5,0.0,0,3,1,0.005,128,0.675170121069551,0.676,True,19872,2000,6,32,0.02389630421335758,43,280,0.969773921672583
0.5,0.0,0,3,2,0.0016666666666666668,408,0.6142246613533751,0.615,True,17872,2000,4,32,0.02539626888818175,45,200,0.9679485572423986
0.5,0.0,0,3,3,0.0008333333333333334,608,0.5805049617500178,0.581,True,15872,2000,4,32,0.028236098112002686,45,200,0.9645159279177336
0.5,0.0,0,3,4,0.0005,808,0.5839489948945559,0.584,True,13872,2000,4,32,0.03201001680709658,45,200,0.9600013452884102
0.5,0.0,0,3,5,0.0003333333333333333,1008,0.5735558019332023,0.574,True,11872,2000,3,32,0.03652066862108445,46,160,0.9546759896469912
0.5,0.0,0,3,6,0.0002380952380952381,1168,0.5607356112069383,0.561,True,9872,2000,3,32,0.043328892505827055,46,160,0.9467835674580297
0.5,0.0,0,3,7,0.00017857142857142857,1328,0.5581958753585676,0.559,True,7872,2000,3,32,0.05350646821797369,46,160,0.9353116070664917
0.5,0.0,0,3,8,0.0001388888888888889,1488,0.5580158879842332,0.559,True,5872,2000,3,32,0.07092514481296865,46,160,0.9165851393291021
0.5,0.0,0,3,9,0.00011111111111111112,1648,0.5511047595981231,0.552,True,3872,2000,3,32,0.10534141904633383,46,160,0.8829529287635631
0.5,0.0,0,3,10,9.090909090909092e-05,1808,0.5496966608065732,0.55,True,1872,1872,3,16,0.12730763717221408,69,216,0.8641320389389535
0.5,0.0,0,4,1,0.005,128,0.5471980570763837,0.548,True,19872,2000,3,32,0.02237137421089474,46,160,0.9716383759939653
0.5,0.0,0,4,2,0.0016666666666666668,288,0.5394917618466277,0.54,True,17872,2000,3,32,0.02470440418747498,46,160,0.9687894583378697
0.5,0.0,0,4,3,0.0008333333333333334,448,0.5306829822261094,0.531,True,15872,2000,3,32,0.027552087100980557,46,160,0.9653399388233721
0.5,0.0,0,4,4,0.0005,608,0.5329498269047028,0.533,True,13872,2000,3,32,0.031307104750491366,46,160,0.9608381344587007
0.5,0.0,0,4,5,0.0003333333333333333,768,0.5255557467382803,0.526,True,11872,2000,2,32,0.03572849097917956,47,120,0.9556056873323173
0.5,0.0,0,4,6,0.0002380952380952381,888,0.5242467524529129,0.525,True,9872,2000,2,32,0.042381183656573784,47,120,0.9478717115920972
0.5,0.0,0,4,7,0.00017857142857142857,1008,0.5229615184510024,0.523,True,7872,2000,2,32,0.052507018875636295,47,120,0.9364208481690021
0.5,0.0,0,4,8,0.0001388888888888889,1128,0.5305854197050554,0.531,True,5872,2000,3,32,0.07057530523771365,46,160,0.9169499712017123
0.5,0.0,0,4,9,0.00011111111111111112,1288,0.5285049489528719,0.529,True,3872,2000,3,32,0.10496130695481033,46,160,0.8832999558187946
0.5,0.0,0,4,10,9.090909090909092e-05,1448,0.5267104685178365,0.527,True,1872,1872,2,16,0.12307619353059394,72,144,0.8676549327969132
0.5,0.0,0,5,1,0.005,128,0.6457641978324666,0.646,True,19872,2000,4,32,0.023341420679175485,45,200,0.9704513333246538
0.5,0.0,0,5,2,0.0016666666666666668,328,0.6057764182002666,0.606,True,17872,2000,4,32,0.025334712186981693,45,200,0.9680233007827901
0.5,0.0,0,5,3,0.0008333333333333334,528,0.5820533556625709,0.583,True,15872,2000,4,32,0.028242321261569236,45,200,0.964508439155108
0.5,0.0,0,5,4,0.0005,728,0.5803947813715964,0.581,True,13872,2000,4,32,0.031999133589122174,45,200,0.9600142871124971
0.5,0.0,0,5,5,0.0003333333333333333,928,0.5881270532298806,0.589,True,11872,2000,4,32,0.037144725307268464,45,200,0.9539452668784465
0.5,0.0,0,5,6,0.0002380952380952381,1128,0.576872253902329,0.577,True,9872,2000,4,32,0.0440583892429572,45,200,0.9459482809112054
0.5,0.0,0,5,7,0.00017857142857142857,1328,0.569383026946388,0.57,True,7872,2000,3,32,0.053705205989509154,46,160,0.9350914870705964
0.5,0.0,0,5,8,0.0001388888888888889,1488,0.5733235776624601,0.574,True,5872,2000,3,32,0.07132841649755269,46,160,0.9161651589111511
