seed,seed_index,max_delay,policy,charged_budget,observed_messages,total_probe_cost,total_updates,finite,within_budget
20260729,0,4,sparse_adaptive,31924,18716,768,3302,True,True
20260729,0,4,piecewise_oracle,31718,25706,0,1503,True,True
20260729,0,4,fixed_q1_oracle_eta,32000,6400,0,6400,True,True
20260729,0,4,fixed_q4_oracle_eta,32000,16000,0,4000,True,True
20260729,0,4,fixed_q8_oracle_eta,31872,21248,0,2656,True,True
20260729,0,4,fixed_q32_oracle_eta,31680,28160,0,880,True,True
20260729,0,16,sparse_adaptive,31898,23914,768,1996,True,True
20260729,0,16,piecewise_oracle,31700,26800,0,1225,True,True
20260729,0,16,fixed_q1_oracle_eta,32000,6400,0,6400,True,True
20260729,0,16,fixed_q4_oracle_eta,32000,16000,0,4000,True,True
20260729,0,16,fixed_q8_oracle_eta,31872,21248,0,2656,True,True
20260729,0,16,fixed_q32_oracle_eta,31680,28160,0,880,True,True
20260730,1,4,sparse_adaptive,31896,22808,768,2272,True,True
20260730,1,4,piecewise_oracle,31770,23154,0,2154,True,True
20260730,1,4,fixed_q1_oracle_eta,32000,6400,0,6400,True,True
20260730,1,4,fixed_q4_oracle_eta,32000,16000,0,4000,True,True
20260730,1,4,fixed_q8_oracle_eta,31872,21248,0,2656,True,True
20260730,1,4,fixed_q32_oracle_eta,31680,28160,0,880,True,True
20260730,1,16,sparse_adaptive,31890,24666,768,1806,True,True
20260730,1,16,piecewise_oracle,31720,26040,0,1420,True,True
20260730,1,16,fixed_q1_oracle_eta,32000,6400,0,6400,True,True
20260730,1,16,fixed_q4_oracle_eta,32000,16000,0,4000,True,True
20260730,1,16,fixed_q8_oracle_eta,31872,21248,0,2656,True,True
20260730,1,16,fixed_q32_oracle_eta,31680,28160,0,880,True,True
20260731,2,4,sparse_adaptive,31904,21452,768,2613,True,True
20260731,2,4,piecewise_oracle,31700,26800,0,1225,True,True
20260731,2,4,fixed_q1_oracle_eta,32000,6400,0,6400,True,True
20260731,2,4,fixed_q4_oracle_eta,32000,16000,0,4000,True,True
20260731,2,4,fixed_q8_oracle_eta,31872,21248,0,2656,True,True
