alignment,policy,stage,median_num_agents,q25_num_agents,q75_num_agents,mean_eta,median_eta,mean_lrv_used
sample_time,adaptive_joint,0.0,32.0,32.0,32.0,0.02,0.02,
sample_time,adaptive_joint,1.0,32.0,32.0,32.0,0.005629914388797551,0.004999999999999999,0.03667610826877087
sample_time,adaptive_joint,2.0,32.0,32.0,32.0,0.0031408461744707916,0.0025,0.04114108620463304
sample_time,adaptive_joint,3.0,32.0,32.0,32.0,0.002785319119589602,0.0025,0.043901827805868654
sample_time,adaptive_joint,4.0,32.0,32.0,32.0,0.0029133457228581526,0.0025,0.04694857063613357
sample_time,adaptive_joint,5.0,32.0,4.0,32.0,0.0034001196123757383,0.0025,9.851843510716268
sample_time,adaptive_joint,6.0,32.0,4.0,32.0,0.0035338855653059076,0.0025,9.926261891486964
sample_time,adaptive_joint,7.0,32.0,4.0,32.0,0.0040856356881784845,0.0025,9.073223552207937
sample_time,adaptive_joint,8.0,32.0,16.0,32.0,0.0038874011496183463,0.0025,8.831900597382656
sample_time,adaptive_joint,9.0,8.0,2.0,32.0,0.003992943705817066,0.0025,2.788118273681489
sample_time,adaptive_joint,10.0,16.0,4.0,32.0,0.0038787981476529018,0.0025,3.2592511311224075
sample_time,adaptive_joint,11.0,16.0,4.0,32.0,0.003968448188178484,0.0025,3.143538485661087
sample_time,all_agents_adaptive_eta,0.0,32.0,32.0,32.0,0.02,0.02,
sample_time,all_agents_adaptive_eta,1.0,32.0,32.0,32.0,0.005558439306450557,0.004999999999999999,0.038950450241514126
sample_time,all_agents_adaptive_eta,2.0,32.0,32.0,32.0,0.0029965241352627394,0.0025,0.042161916837029294
sample_time,all_agents_adaptive_eta,3.0,32.0,32.0,32.0,0.0027751659535780837,0.0025,0.04546826028498318
sample_time,all_agents_adaptive_eta,4.0,32.0,32.0,32.0,0.0028191035764506605,0.0025,0.04942477956017721
sample_time,all_agents_adaptive_eta,5.0,32.0,32.0,32.0,0.003315166405190723,0.0025,10.077489700215668
sample_time,all_agents_adaptive_eta,6.0,32.0,32.0,32.0,0.003486622983606828,0.0025,10.132849560500732
sample_time,all_agents_adaptive_eta,7.0,32.0,32.0,32.0,0.003998221748956007,0.0025,9.384006667668562
sample_time,all_agents_adaptive_eta,8.0,32.0,32.0,32.0,0.0038602666104102937,0.0025,8.945001821138419
sample_time,all_agents_adaptive_eta,9.0,32.0,32.0,32.0,0.003822292967933691,0.0025,3.1611563538777787
sample_time,all_agents_adaptive_eta,10.0,32.0,32.0,32.0,0.0037335655404534623,0.0025,3.566961920842825
sample_time,all_agents_adaptive_eta,11.0,32.0,32.0,32.0,0.0036654154169329708,0.0025,3.393934618415104
sample_time,all_agents_fixed,0.0,32.0,32.0,32.0,0.02,0.02,
sample_time,all_agents_fixed,1.0,32.0,32.0,32.0,0.02,0.02,
sample_time,all_agents_fixed,2.0,32.0,32.0,32.0,0.02,0.02,
sample_time,all_agents_fixed,3.0,32.0,32.0,32.0,0.02,0.02,
sample_time,all_agents_fixed,4.0,32.0,32.0,32.0,0.02,0.02,
sample_time,all_agents_fixed,5.0,32.0,32.0,32.0,0.02,0.02,
sample_time,all_agents_fixed,6.0,32.0,32.0,32.0,0.02,0.02,
sample_time,all_agents_fixed,7.0,32.0,32.0,32.0,0.02,0.02,
sample_time,all_agents_fixed,8.0,32.0,32.0,32.0,0.02,0.02,
sample_time,all_agents_fixed,9.0,32.0,32.0,32.0,0.02,0.02,
sample_time,all_agents_fixed,10.0,32.0,32.0,32.0,0.02,0.02,
sample_time,all_agents_fixed,11.0,32.0,32.0,32.0,0.02,0.02,
sample_time,delay_only,0.0,32.0,32.0,32.0,0.02,0.02,
sample_time,delay_only,1.0,32.0,32.0,32.0,0.00542737076134617,0.004999999999999999,0.043864667645466135
sample_time,delay_only,2.0,32.0,32.0,32.0,0.003215870846378644,0.0025,0.046100761672502974
sample_time,delay_only,3.0,32.0,32.0,32.0,0.002746256619589602,0.0025,0.04676980924495221
sample_time,delay_only,4.0,32.0,32.0,32.0,0.002812275369265645,0.0025,0.04997831561070975
sample_time,delay_only,5.0,32.0,32.0,32.0,0.007935265574960172,0.007937005259841,0.3503732027307249
sample_time,delay_only,6.0,32.0,32.0,32.0,0.010050062611482747,0.01,0.3647137064018021
sample_time,delay_only,7.0,32.0,32.0,32.0,0.011647687777472566,0.012599210498948734,0.32609273168563974
sample_time,delay_only,8.0,32.0,32.0,32.0,0.010664699990553915,0.011299605249474367,0.31305092977250776
sample_time,delay_only,9.0,32.0,32.0,32.0,0.011256423181417879,0.012599210498948734,0.11586455334214799
sample_time,delay_only,10.0,32.0,32.0,32.0,0.011434588063743301,0.012599210498948734,0.1424348125032357
sample_time,delay_only,11.0,32.0,32.0,32.0,0.011663402003613692,0.012599210498948734,0.13845751317313643
sample_time,proxy_oracle,0.0,32.0,32.0,32.0,0.025198420997897472,0.025198420997897472,0.04687499999999999
sample_time,proxy_oracle,1.0,32.0,32.0,32.0,0.004819755054809069,0.003968502629920499,0.04687499999999999
sample_time,proxy_oracle,2.0,32.0,32.0,32.0,0.0028939036176241573,0.0025,0.04687499999999999
sample_time,proxy_oracle,3.0,32.0,32.0,32.0,0.002749581578416105,0.0025,0.04687499999999999
sample_time,proxy_oracle,4.0,4.0,4.0,4.0,0.0025,0.0025,35.13749999999997
sample_time,proxy_oracle,5.0,4.0,4.0,4.0,0.0025390625,0.0025,35.13618164062497
sample_time,proxy_oracle,6.0,4.0,4.0,4.0,0.0025304594980345555,0.0025,35.13339843749997
sample_time,proxy_oracle,7.0,4.0,4.0,4.0,0.0026094487248235973,0.0025,35.13325195312497
sample_time,proxy_oracle,8.0,24.0,16.0,32.0,0.0030532539457163053,0.0025,11.74921874999999
sample_time,proxy_oracle,9.0,16.0,16.0,32.0,0.002599295558812079,0.0025,11.75690917968749
sample_time,proxy_oracle,10.0,16.0,16.0,16.0,0.002553404851627063,0.0025,11.758447265624989
sample_time,proxy_oracle,11.0,16.0,16.0,20.0,0.0026222409124045864,0.0025,11.75742187499999
server_time,adaptive_joint,0.0,32.0,32.0,32.0,0.02,0.02,
server_time,adaptive_joint,1.0,32.0,32.0,32.0,0.005629914388797551,0.004999999999999999,0.03667610826877087
server_time,adaptive_joint,2.0,32.0,32.0,32.0,0.0031408461744707916,0.0025,0.04114108620463304
server_time,adaptive_joint,3.0,32.0,32.0,32.0,0.002785319119589602,0.0025,0.043901827805868654
server_time,adaptive_joint,4.0,32.0,32.0,32.0,0.0029133457228581526,0.0025,0.04694857063613357
server_time,adaptive_joint,5.0,6.0,2.0,32.0,0.0032851682136788444,0.0025,10.764401509556471
server_time,adaptive_joint,6.0,4.0,2.0,32.0,0.003461724545701881,0.0025,11.12653928354907
server_time,adaptive_joint,7.0,4.0,1.0,32.0,0.0040448447346004,0.0025,10.003751386394105
server_time,adaptive_joint,8.0,4.0,1.0,20.0,0.003798944694074818,0.0025,9.907941515706195
server_time,adaptive_joint,9.0,8.0,2.0,32.0,0.0038665136077969346,0.0025,2.846492698109146
server_time,adaptive_joint,10.0,8.0,4.0,32.0,0.003787880960071912,0.0025,3.337647755263366
server_time,adaptive_joint,11.0,12.0,4.0,32.0,0.00391258260451396,0.0025,3.2263676649259834
server_time,all_agents_adaptive_eta,0.0,32.0,32.0,32.0,0.02,0.02,
server_time,all_agents_adaptive_eta,1.0,32.0,32.0,32.0,0.005558439306450557,0.004999999999999999,0.038950450241514126
server_time,all_agents_adaptive_eta,2.0,32.0,32.0,32.0,0.0029965241352627394,0.0025,0.042161916837029294
server_time,all_agents_adaptive_eta,3.0,32.0,32.0,32.0,0.0027751659535780837,0.0025,0.04546826028498318
server_time,all_agents_adaptive_eta,4.0,32.0,32.0,32.0,0.0028191035764506605,0.0025,0.04942477956017721
server_time,all_agents_adaptive_eta,5.0,32.0,32.0,32.0,0.003175033551598215,0.0025,11.077999130091026
server_time,all_agents_adaptive_eta,6.0,32.0,32.0,32.0,0.0034166980653059075,0.0025,11.473420571253785
server_time,all_agents_adaptive_eta,7.0,32.0,32.0,32.0,0.0038651417332828705,0.0025,10.407007526485142
server_time,all_agents_adaptive_eta,8.0,32.0,32.0,32.0,0.003701602219575178,0.0025,10.37875523054057
server_time,all_agents_adaptive_eta,9.0,32.0,32.0,32.0,0.0036896742587832305,0.0025,3.2227911241445035
server_time,all_agents_adaptive_eta,10.0,32.0,32.0,32.0,0.0036249810424189067,0.0025,3.663170402829617
server_time,all_agents_adaptive_eta,11.0,32.0,32.0,32.0,0.0036243998326205315,0.0025,3.4936613579778975
server_time,all_agents_fixed,0.0,32.0,32.0,32.0,0.02,0.02,
server_time,all_agents_fixed,1.0,32.0,32.0,32.0,0.02,0.02,
server_time,all_agents_fixed,2.0,32.0,32.0,32.0,0.02,0.02,
server_time,all_agents_fixed,3.0,32.0,32.0,32.0,0.02,0.02,
server_time,all_agents_fixed,4.0,32.0,32.0,32.0,0.02,0.02,
server_time,all_agents_fixed,5.0,32.0,32.0,32.0,0.02,0.02,
server_time,all_agents_fixed,6.0,32.0,32.0,32.0,0.02,0.02,
server_time,all_agents_fixed,7.0,32.0,32.0,32.0,0.02,0.02,
server_time,all_agents_fixed,8.0,32.0,32.0,32.0,0.02,0.02,
server_time,all_agents_fixed,9.0,32.0,32.0,32.0,0.02,0.02,
server_time,all_agents_fixed,10.0,32.0,32.0,32.0,0.02,0.02,
server_time,all_agents_fixed,11.0,32.0,32.0,32.0,0.02,0.02,
server_time,delay_only,0.0,32.0,32.0,32.0,0.02,0.02,
