alignment,seed,policy,stage,rho,max_delay,num_agents,eta,proxy_risk,lrv_used
server_time,20260729,adaptive_joint,0.0,0.0,4.0,32.0,0.02,,
server_time,20260729,adaptive_joint,1.0,0.0,4.0,32.0,0.0025,6.512379372941191e-05,0.05055183342668394
server_time,20260729,adaptive_joint,2.0,0.0,4.0,16.0,0.0025,6.449118974959913e-05,0.049431916714995
server_time,20260729,adaptive_joint,3.0,0.0,4.0,32.0,0.0025,0.0001717067720777574,0.0695094258765874
server_time,20260729,adaptive_joint,4.0,0.9,16.0,32.0,0.004999999999999999,0.0001643240183845416,0.04597213444380143
server_time,20260729,adaptive_joint,5.0,0.9,16.0,32.0,0.006299605249474363,0.06087850427057315,14.087057043511713
server_time,20260729,adaptive_joint,6.0,0.9,16.0,1.0,0.006299605249474363,0.019443220116381634,4.522552830505686
server_time,20260729,adaptive_joint,7.0,0.9,16.0,2.0,0.0025,0.009738674986685082,7.614522830572311
server_time,20260729,adaptive_joint,8.0,0.3,8.0,4.0,0.0025,0.015850258751901276,10.73574766578748
server_time,20260729,adaptive_joint,9.0,0.3,8.0,8.0,0.0025,0.0021763982637269755,1.5472270614912125
server_time,20260729,adaptive_joint,10.0,0.3,8.0,4.0,0.0025,0.005711258941402808,3.8635697612926667
server_time,20260729,adaptive_joint,11.0,0.3,8.0,8.0,0.003968502629920499,0.017528147970374528,5.73676559204653
server_time,20260729,delay_only,0.0,0.0,4.0,32.0,0.02,,
server_time,20260729,delay_only,1.0,0.0,4.0,32.0,0.0025,2.969295013039413e-05,0.022337401375727803
server_time,20260729,delay_only,2.0,0.0,4.0,32.0,0.0025,5.494943564878872e-05,0.04171651351693063
server_time,20260729,delay_only,3.0,0.0,4.0,32.0,0.0025,7.71847460579438e-05,0.035381243099856526
server_time,20260729,delay_only,4.0,0.9,16.0,32.0,0.004999999999999999,0.00010442361896837054,0.02855838643963781
server_time,20260729,delay_only,5.0,0.9,16.0,32.0,0.012599210498948734,0.003833792689712533,0.44481720273967607
server_time,20260729,delay_only,6.0,0.9,16.0,32.0,0.012599210498948734,0.0010416002231665856,0.13711450339840217
server_time,20260729,delay_only,7.0,0.9,16.0,32.0,0.0025,0.000301780303033063,0.2285828308230195
server_time,20260729,delay_only,8.0,0.3,8.0,32.0,0.006299605249474363,0.0017162150734766441,0.3418445625112865
server_time,20260729,delay_only,9.0,0.3,8.0,32.0,0.004999999999999999,0.0002324779434830826,0.061203578326617
server_time,20260729,delay_only,10.0,0.3,8.0,32.0,0.01,0.0007609696107917488,0.12468413124872325
server_time,20260729,delay_only,11.0,0.3,8.0,32.0,0.012599210498948734,0.002169504414442197,0.2648269726345869
server_time,20260729,all_agents_adaptive_eta,0.0,0.0,4.0,32.0,0.02,,
server_time,20260729,all_agents_adaptive_eta,1.0,0.0,4.0,32.0,0.0025,6.512379372941191e-05,0.05055183342668394
server_time,20260729,all_agents_adaptive_eta,2.0,0.0,4.0,32.0,0.0025,8.148093931495997e-05,0.06284418735588021
server_time,20260729,all_agents_adaptive_eta,3.0,0.0,4.0,32.0,0.0025,0.0001215407623395947,0.07070300460215496
server_time,20260729,all_agents_adaptive_eta,4.0,0.9,16.0,32.0,0.003968502629920499,0.00014204692457643462,0.04643464296943536
server_time,20260729,all_agents_adaptive_eta,5.0,0.9,16.0,32.0,0.004999999999999999,0.05855170685231985,14.140662325078434
