policy,scenario,budget,mean_mse,standard_error
state_correlation_adaptive,independent,0.0,0.0899999999999999,8.620181743291816e-18
state_correlation_adaptive,independent,200.0,0.05200493060412289,0.0013611392243780673
state_correlation_adaptive,independent,400.0,0.03352604598379316,0.0014555300186424602
state_correlation_adaptive,independent,600.0,0.023364925360384932,0.0014853216584053207
state_correlation_adaptive,independent,800.0,0.016481589321079092,0.0013734070688105025
state_correlation_adaptive,independent,1000.0,0.013201847282310584,0.0013388042373475202
state_correlation_adaptive,independent,1200.0,0.011099968395681796,0.0013540244598197668
state_correlation_adaptive,independent,1400.0,0.00928338976118861,0.0012810022351734884
state_correlation_adaptive,independent,1600.0,0.0075769436195918674,0.0011750863361786909
state_correlation_adaptive,independent,1800.0,0.006608614826932572,0.0011375274986267171
state_correlation_adaptive,independent,2000.0,0.00610283928353882,0.0010912637227150303
state_correlation_adaptive,independent,2200.0,0.004751524450533102,0.000781652576985407
state_correlation_adaptive,independent,2400.0,0.004039896687950631,0.0005902423592821493
state_correlation_adaptive,independent,2600.0,0.0033855741255577805,0.0004972657220025943
state_correlation_adaptive,independent,2800.0,0.0029868451363646476,0.00037489448760744814
state_correlation_adaptive,independent,3000.0,0.0025829181131986827,0.000346085849404192
state_correlation_adaptive,independent,3200.0,0.0024412255284425514,0.0003251666185610721
state_correlation_adaptive,independent,3400.0,0.0024414036578741184,0.0003428956178481168
state_correlation_adaptive,independent,3600.0,0.002233657502984207,0.0002953791693356872
state_correlation_adaptive,independent,3800.0,0.002069458794076346,0.0002503946574487617
state_correlation_adaptive,independent,4000.0,0.0020149078792376734,0.00024785115369523503
state_correlation_adaptive,independent,4200.0,0.001977188243616746,0.00020669836008432887
state_correlation_adaptive,independent,4400.0,0.00200879684322423,0.00020496377861096282
state_correlation_adaptive,independent,4600.0,0.0018458063147774133,0.00020412977041697698
state_correlation_adaptive,independent,4800.0,0.0017359668780343848,0.00020701387010515525
state_correlation_adaptive,independent,5000.0,0.0015735401287563797,0.00025143780594005826
state_correlation_adaptive,independent,5200.0,0.0016892074689552816,0.00023108875830510643
state_correlation_adaptive,independent,5400.0,0.0016610496877629943,0.0002085172918288811
state_correlation_adaptive,independent,5600.0,0.0016456365044638667,0.00022697557959427636
state_correlation_adaptive,independent,5800.0,0.0014293268608479004,0.00018071630002419332
state_correlation_adaptive,independent,6000.0,0.0012725574983303328,0.00016520317626493228
state_correlation_adaptive,independent,6200.0,0.0015982721594877264,0.00020805868052586264
state_correlation_adaptive,independent,6400.0,0.0014110341352027204,0.0001663932494445384
state_correlation_adaptive,independent,6600.0,0.0013759083891312798,0.00016219636440013943
state_correlation_adaptive,independent,6800.0,0.001358869923267564,0.00017476186541557696
state_correlation_adaptive,independent,7000.0,0.0012808819487788057,0.00019251453898930753
state_correlation_adaptive,independent,7200.0,0.001258025454744672,0.00018914695601496685
state_correlation_adaptive,independent,7400.0,0.0015075793900948555,0.0002488801448802379
state_correlation_adaptive,independent,7600.0,0.0013603985556580414,0.00025241910240930644
state_correlation_adaptive,independent,7800.0,0.0013925208150660686,0.00029919218143292385
state_correlation_adaptive,independent,8000.0,0.0011090999808987035,0.00016204390916330422
state_correlation_adaptive,independent,8200.0,0.0012709536936686657,0.00019954616448868647
state_correlation_adaptive,independent,8400.0,0.0012384241182428674,0.00017425332239330536
state_correlation_adaptive,independent,8600.0,0.0012438286137628528,0.00015902124226121372
state_correlation_adaptive,independent,8800.0,0.0011407815713453543,0.00017171487159314144
state_correlation_adaptive,independent,9000.0,0.0011341584795849541,0.00016643994768465644
state_correlation_adaptive,independent,9200.0,0.0010973968737154674,0.00018243354869314492
state_correlation_adaptive,independent,9400.0,0.0011685698180967602,0.0002056847776120876
state_correlation_adaptive,independent,9600.0,0.001195214544694079,0.00018082520259988293
state_correlation_adaptive,independent,9800.0,0.0012017982800812325,0.0002082505643045939
state_correlation_adaptive,independent,10000.0,0.0010815220866425158,0.00017935876116382103
state_correlation_adaptive,independent,10200.0,0.0012655958683840593,0.00018247475017974988
state_correlation_adaptive,independent,10400.0,0.0013319039124249066,0.00018921315565079944
state_correlation_adaptive,independent,10600.0,0.0012493223292372147,0.00018507856154927106
state_correlation_adaptive,independent,10800.0,0.001174220856337061,0.00018991528888053432
state_correlation_adaptive,independent,11000.0,0.0012349589628901116,0.00017405560364642774
state_correlation_adaptive,independent,11200.0,0.0012294938932983848,0.00017157824354743184
state_correlation_adaptive,independent,11400.0,0.0012692140056344997,0.0001813017561128986
state_correlation_adaptive,independent,11600.0,0.0012874853334707075,0.00020226174352641204
state_correlation_adaptive,independent,11800.0,0.0014411549372725782,0.0002707447911692245
state_correlation_adaptive,independent,12000.0,0.0014075248321039195,0.0002764510915406955
state_correlation_adaptive,independent,12200.0,0.0015075456369784317,0.00022654456054697596
state_correlation_adaptive,independent,12400.0,0.0015901317187240022,0.00022051123230658578
state_correlation_adaptive,independent,12600.0,0.0016870670971758826,0.00021613668005869584
state_correlation_adaptive,independent,12800.0,0.0015850453896120262,0.00019625706879447882
state_correlation_adaptive,independent,13000.0,0.0014845594985313008,0.0002279448828217422
state_correlation_adaptive,independent,13200.0,0.0012851518810049775,0.0001997950816733663
state_correlation_adaptive,independent,13400.0,0.0013650277646219424,0.00019259457355909579
state_correlation_adaptive,independent,13600.0,0.0012074101896415155,0.0002080972424630186
state_correlation_adaptive,independent,13800.0,0.001019347666832198,0.0001424582877633639
state_correlation_adaptive,independent,14000.0,0.0010264969444882192,0.00013381139602314094
state_correlation_adaptive,independent,14200.0,0.001362508237312465,0.000173834197345913
state_correlation_adaptive,independent,14400.0,0.0012941233153806438,0.00015060686564897323
state_correlation_adaptive,independent,14600.0,0.001275380851810187,0.00015640864261610253
state_correlation_adaptive,independent,14800.0,0.0010099391851702817,0.00014390703912096125
state_correlation_adaptive,independent,15000.0,0.0010532068555478508,0.0001436467509297967
state_correlation_adaptive,independent,15200.0,0.0011815716813383327,0.00016646691069486624
state_correlation_adaptive,independent,15400.0,0.0011036586166786062,0.0001815875342985202
state_correlation_adaptive,independent,15600.0,0.0011917021780432412,0.0001927865216690727
state_correlation_adaptive,independent,15800.0,0.0009723852120958648,0.00012736089772829586
state_correlation_adaptive,independent,16000.0,0.0011023632520736034,0.00016985570663929377
state_correlation_adaptive,global_08,0.0,0.0899999999999999,8.620181743291816e-18
state_correlation_adaptive,global_08,200.0,0.07327042562574103,0.007259738898159891
state_correlation_adaptive,global_08,400.0,0.06582825629194966,0.00729301877795108
state_correlation_adaptive,global_08,600.0,0.06658040893732156,0.009436773603532638
state_correlation_adaptive,global_08,800.0,0.06849033903682827,0.010093198434964408
state_correlation_adaptive,global_08,1000.0,0.05985108119816519,0.007440084316071127
state_correlation_adaptive,global_08,1200.0,0.05559733547194004,0.006052057924715596
state_correlation_adaptive,global_08,1400.0,0.05225154532830152,0.00562436661202097
state_correlation_adaptive,global_08,1600.0,0.04736163299419217,0.004688077375453884
state_correlation_adaptive,global_08,1800.0,0.05920176478126697,0.007628203707187604
state_correlation_adaptive,global_08,2000.0,0.07065858104643398,0.010010628996348709
state_correlation_adaptive,global_08,2200.0,0.09451473357153373,0.013087793884571515
state_correlation_adaptive,global_08,2400.0,0.08665753666936679,0.010440443401240503
state_correlation_adaptive,global_08,2600.0,0.07702054129836253,0.0106243904620795
state_correlation_adaptive,global_08,2800.0,0.07287482199894381,0.010065242607390567
state_correlation_adaptive,global_08,3000.0,0.0628699598772432,0.008427443476741741
state_correlation_adaptive,global_08,3200.0,0.05139024588518368,0.007002236992944664
state_correlation_adaptive,global_08,3400.0,0.052042288991062904,0.006012707217377472
state_correlation_adaptive,global_08,3600.0,0.05524982649139523,0.006353285363460316
state_correlation_adaptive,global_08,3800.0,0.05962750947398503,0.006808696782883911
state_correlation_adaptive,global_08,4000.0,0.05811090552616107,0.006944262147184618
state_correlation_adaptive,global_08,4200.0,0.063464313581407,0.008729644775016093
state_correlation_adaptive,global_08,4400.0,0.056334608481684256,0.006765403723155201
state_correlation_adaptive,global_08,4600.0,0.056336554562614855,0.008039011310974334
state_correlation_adaptive,global_08,4800.0,0.05110827218208585,0.006212359474869809
state_correlation_adaptive,global_08,5000.0,0.051546893429037656,0.0057136662996851405
state_correlation_adaptive,global_08,5200.0,0.038453233438505166,0.004026056938799548
state_correlation_adaptive,global_08,5400.0,0.031976122872843016,0.0036761678224167564
state_correlation_adaptive,global_08,5600.0,0.03032713930422294,0.003307833743988742
state_correlation_adaptive,global_08,5800.0,0.034001922089468,0.0046451311402907584
state_correlation_adaptive,global_08,6000.0,0.0336653363356946,0.0052599779090380504
state_correlation_adaptive,global_08,6200.0,0.059511955304490084,0.008186382051839238
state_correlation_adaptive,global_08,6400.0,0.0538709124132765,0.008066025732872892
state_correlation_adaptive,global_08,6600.0,0.04871235787769609,0.006612914324813326
state_correlation_adaptive,global_08,6800.0,0.04264801110594827,0.005460263244283757
state_correlation_adaptive,global_08,7000.0,0.044544408417561264,0.0057018016091497795
state_correlation_adaptive,global_08,7200.0,0.04148913779471137,0.005059008815723052
state_correlation_adaptive,global_08,7400.0,0.03940147299968043,0.004706211552820292
state_correlation_adaptive,global_08,7600.0,0.0369370814911666,0.004637087589866916
state_correlation_adaptive,global_08,7800.0,0.041715170011178776,0.004938416499887012
state_correlation_adaptive,global_08,8000.0,0.04553790695607249,0.00483211737592484
state_correlation_adaptive,global_08,8200.0,0.06028106161238972,0.007106441422063943
state_correlation_adaptive,global_08,8400.0,0.054736044918573014,0.006182237010598968
state_correlation_adaptive,global_08,8600.0,0.050042956315940426,0.005780086991148521
state_correlation_adaptive,global_08,8800.0,0.04850614902871961,0.0051626416062037425
state_correlation_adaptive,global_08,9000.0,0.04893320650638825,0.005506516753029476
state_correlation_adaptive,global_08,9200.0,0.05486460190953079,0.005950663747663854
state_correlation_adaptive,global_08,9400.0,0.04834422786467778,0.0050253270388973875
state_correlation_adaptive,global_08,9600.0,0.04882832328247086,0.005247922453112917
state_correlation_adaptive,global_08,9800.0,0.04611362738653282,0.005017959571144033
state_correlation_adaptive,global_08,10000.0,0.04251538549611928,0.0049372385019402325
state_correlation_adaptive,global_08,10200.0,0.048007753645631944,0.00620268162812738
state_correlation_adaptive,global_08,10400.0,0.045666182274135964,0.0057884005892183
state_correlation_adaptive,global_08,10600.0,0.045985104640284644,0.005930394257866069
state_correlation_adaptive,global_08,10800.0,0.04206298482787863,0.00611808051659702
state_correlation_adaptive,global_08,11000.0,0.04283574950276814,0.0055557691594755295
state_correlation_adaptive,global_08,11200.0,0.044594102498513186,0.005584097514447279
state_correlation_adaptive,global_08,11400.0,0.04453311180343644,0.005408542109657665
state_correlation_adaptive,global_08,11600.0,0.045690597457298254,0.006350206912700924
state_correlation_adaptive,global_08,11800.0,0.049810665627516605,0.006828399620005482
state_correlation_adaptive,global_08,12000.0,0.045000092334579814,0.0065427452534052395
state_correlation_adaptive,global_08,12200.0,0.061212566962273625,0.008496325737081487
state_correlation_adaptive,global_08,12400.0,0.058146786759733754,0.008075806640960385
state_correlation_adaptive,global_08,12600.0,0.056243894729684156,0.00811764531073492
state_correlation_adaptive,global_08,12800.0,0.05087033982554783,0.006938332866055554
state_correlation_adaptive,global_08,13000.0,0.04391266628316142,0.005150434163171384
state_correlation_adaptive,global_08,13200.0,0.04560850799286914,0.005376060575191835
state_correlation_adaptive,global_08,13400.0,0.04194212087124826,0.005333348957266391
state_correlation_adaptive,global_08,13600.0,0.039026319303468934,0.005081735947542896
state_correlation_adaptive,global_08,13800.0,0.04175700652530832,0.004950309650258163
state_correlation_adaptive,global_08,14000.0,0.04390804318427856,0.005035525077463096
state_correlation_adaptive,global_08,14200.0,0.061713798089980045,0.007215858940068037
state_correlation_adaptive,global_08,14400.0,0.05053346820141363,0.005638158120565065
state_correlation_adaptive,global_08,14600.0,0.04868863276292592,0.005682549241829627
state_correlation_adaptive,global_08,14800.0,0.04897497699214014,0.0062859898276623445
state_correlation_adaptive,global_08,15000.0,0.04562193877398571,0.005745089742021436
state_correlation_adaptive,global_08,15200.0,0.045900020886379435,0.0065183221173849065
state_correlation_adaptive,global_08,15400.0,0.04251638508774086,0.0063900015570043074
state_correlation_adaptive,global_08,15600.0,0.03617631097332187,0.004350626552859156
state_correlation_adaptive,global_08,15800.0,0.037382443528532594,0.004341779097022821
state_correlation_adaptive,global_08,16000.0,0.03565587678293028,0.004514091253308612
state_correlation_adaptive,clustered_08,0.0,0.0899999999999999,8.620181743291816e-18
state_correlation_adaptive,clustered_08,200.0,0.06078481947082321,0.00241108067929424
state_correlation_adaptive,clustered_08,400.0,0.04596997327402762,0.0025047000137973655
state_correlation_adaptive,clustered_08,600.0,0.03806475881746041,0.002681033655291374
state_correlation_adaptive,clustered_08,800.0,0.0314500478710046,0.002601589853001213
state_correlation_adaptive,clustered_08,1000.0,0.02868862676852351,0.002531442893642719
state_correlation_adaptive,clustered_08,1200.0,0.025199555819951404,0.0024653940179997376
state_correlation_adaptive,clustered_08,1400.0,0.022984546546165437,0.0023164774207481064
state_correlation_adaptive,clustered_08,1600.0,0.020802459248444864,0.0021458169936375525
state_correlation_adaptive,clustered_08,1800.0,0.019059630139558793,0.002049917666183265
state_correlation_adaptive,clustered_08,2000.0,0.01657503872123522,0.0019981461766509375
state_correlation_adaptive,clustered_08,2200.0,0.011956793352824957,0.0013644926756160702
state_correlation_adaptive,clustered_08,2400.0,0.011008683023061096,0.0012577315650439997
state_correlation_adaptive,clustered_08,2600.0,0.008174363142352167,0.0007895120001164633
state_correlation_adaptive,clustered_08,2800.0,0.007759994913296231,0.0009591948067707674
state_correlation_adaptive,clustered_08,3000.0,0.0069004196638758255,0.0007386261001667894
state_correlation_adaptive,clustered_08,3200.0,0.00707587482552327,0.0008307554961905329
state_correlation_adaptive,clustered_08,3400.0,0.006446627054309054,0.0008277666328029063
state_correlation_adaptive,clustered_08,3600.0,0.005044163260868239,0.0007060462152765707
state_correlation_adaptive,clustered_08,3800.0,0.004686540832737405,0.0006237465837772294
state_correlation_adaptive,clustered_08,4000.0,0.0042099596844932165,0.0005689319216803729
state_correlation_adaptive,clustered_08,4200.0,0.005182441600986305,0.0007536828311558615
state_correlation_adaptive,clustered_08,4400.0,0.0047737323323211915,0.0008884675519100201
state_correlation_adaptive,clustered_08,4600.0,0.004683180244969214,0.0007575105266099965
state_correlation_adaptive,clustered_08,4800.0,0.004315108204442097,0.000547523767411517
state_correlation_adaptive,clustered_08,5000.0,0.0041652476325252106,0.0006174826171369892
state_correlation_adaptive,clustered_08,5200.0,0.004213084982390637,0.0005402141098429677
