seed,seed_index,scenario,max_delay,policy,charged_budget,observed_messages,total_probe_cost,total_updates,finite,within_budget
20260730,0,independent,4,state_correlation_adaptive,15954,6742,768,2303,True,True
20260730,0,independent,4,correlation_only_adaptive,15982,5394,768,2647,True,True
20260730,0,independent,4,state_oracle,15840,14080,0,440,True,True
20260730,0,independent,4,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260730,0,independent,4,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260730,0,independent,4,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260730,0,independent,4,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260730,0,global_08,4,state_correlation_adaptive,15970,3806,768,3041,True,True
20260730,0,global_08,4,correlation_only_adaptive,15968,3552,768,3104,True,True
20260730,0,global_08,4,state_oracle,15940,7280,0,2165,True,True
20260730,0,global_08,4,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260730,0,global_08,4,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260730,0,global_08,4,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260730,0,global_08,4,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260730,0,clustered_08,4,state_correlation_adaptive,15998,7810,768,2047,True,True
20260730,0,clustered_08,4,correlation_only_adaptive,15998,7810,768,2047,True,True
20260730,0,clustered_08,4,state_oracle,15880,12560,0,830,True,True
20260730,0,clustered_08,4,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260730,0,clustered_08,4,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260730,0,clustered_08,4,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260730,0,clustered_08,4,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260730,0,balanced_08,4,state_correlation_adaptive,15948,5980,768,2492,True,True
20260730,0,balanced_08,4,correlation_only_adaptive,15976,4696,768,2820,True,True
20260730,0,balanced_08,4,state_oracle,15920,8640,0,1820,True,True
20260730,0,balanced_08,4,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260730,0,balanced_08,4,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260730,0,balanced_08,4,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260730,0,balanced_08,4,fixed_q32_oracle_eta,15840,14080,0,440,True,True
