scenario_id,family,matrix_name,rho,delay,markov_lambda,step_size,q,stride,updates,binding,risk,bias_risk,noise_risk,spectral_radius,fixed_sequence_minimax_risk,scalar_reference_risk
speedup-0-scalar-D0-L0-E0.04,speedup,scalar,0.0,0,0.0,0.04,1,1,96,environment,0.020400111693627414,0.0,0.020400111693627414,0.96,0.010416666666666666,0.02040011169362741
speedup-0-scalar-D0-L0-E0.04,speedup,scalar,0.0,0,0.0,0.04,1,4,24,environment,0.017531936615955424,0.0,0.017531936615955424,0.96,0.041666666666666664,0.017531936615955424
speedup-0-scalar-D0-L0-E0.04,speedup,scalar,0.0,0,0.0,0.04,4,1,96,environment,0.005100027923406854,0.0,0.005100027923406854,0.96,0.0026041666666666665,0.005100027923406853
speedup-0-scalar-D0-L0-E0.04,speedup,scalar,0.0,0,0.0,0.04,4,4,24,environment,0.004382984153988856,0.0,0.004382984153988856,0.96,0.010416666666666666,0.004382984153988856
speedup-0-scalar-D0-L0-E0.04,speedup,scalar,0.0,0,0.0,0.04,16,1,96,environment,0.0012750069808517134,0.0,0.0012750069808517134,0.96,0.0006510416666666666,0.0012750069808517132
speedup-0-scalar-D0-L0-E0.04,speedup,scalar,0.0,0,0.0,0.04,16,4,24,environment,0.001095746038497214,0.0,0.001095746038497214,0.96,0.0026041666666666665,0.001095746038497214
speedup-0-scalar-D0-L0-E0.08,speedup,scalar,0.0,0,0.0,0.08,1,1,96,environment,0.0416666620209619,0.0,0.0416666620209619,0.92,0.010416666666666666,0.041666662020961906
speedup-0-scalar-D0-L0-E0.08,speedup,scalar,0.0,0,0.0,0.08,1,4,24,environment,0.04090528139611673,0.0,0.04090528139611673,0.92,0.041666666666666664,0.04090528139611673
speedup-0-scalar-D0-L0-E0.08,speedup,scalar,0.0,0,0.0,0.08,4,1,96,environment,0.010416665505240475,0.0,0.010416665505240475,0.92,0.0026041666666666665,0.010416665505240476
speedup-0-scalar-D0-L0-E0.08,speedup,scalar,0.0,0,0.0,0.08,4,4,24,environment,0.010226320349029183,0.0,0.010226320349029183,0.92,0.010416666666666666,0.010226320349029183
speedup-0-scalar-D0-L0-E0.08,speedup,scalar,0.0,0,0.0,0.08,16,1,96,environment,0.0026041663763101187,0.0,0.0026041663763101187,0.92,0.0006510416666666666,0.002604166376310119
speedup-0-scalar-D0-L0-E0.08,speedup,scalar,0.0,0,0.0,0.08,16,4,24,environment,0.0025565800872572957,0.0,0.0025565800872572957,0.92,0.0026041666666666665,0.0025565800872572957
speedup-0-scalar-D0-L0.6-E0.04,speedup,scalar,0.0,0,0.6,0.04,1,1,96,environment,0.07582186765351737,0.0,0.07582186765351737,0.96,0.010416666666666666,0.07582186765351753
speedup-0-scalar-D0-L0.6-E0.04,speedup,scalar,0.0,0,0.6,0.04,1,4,24,environment,0.022433945748707298,0.0,0.022433945748707298,0.96,0.041666666666666664,0.022433945748707287
speedup-0-scalar-D0-L0.6-E0.04,speedup,scalar,0.0,0,0.6,0.04,4,1,96,environment,0.01895546691337934,0.0,0.01895546691337934,0.96,0.0026041666666666665,0.018955466913379383
speedup-0-scalar-D0-L0.6-E0.04,speedup,scalar,0.0,0,0.6,0.04,4,4,24,environment,0.0056084864371768245,0.0,0.0056084864371768245,0.96,0.010416666666666666,0.005608486437176822
speedup-0-scalar-D0-L0.6-E0.04,speedup,scalar,0.0,0,0.6,0.04,16,1,96,environment,0.004738866728344835,0.0,0.004738866728344835,0.96,0.0006510416666666666,0.004738866728344846
speedup-0-scalar-D0-L0.6-E0.04,speedup,scalar,0.0,0,0.6,0.04,16,4,24,environment,0.0014021216092942061,0.0,0.0014021216092942061,0.96,0.0026041666666666665,0.0014021216092942055
speedup-0-scalar-D0-L0.6-E0.08,speedup,scalar,0.0,0,0.6,0.08,1,1,96,environment,0.14434521602814046,0.0,0.14434521602814046,0.92,0.010416666666666666,0.14434521602814043
speedup-0-scalar-D0-L0.6-E0.08,speedup,scalar,0.0,0,0.6,0.08,1,4,24,environment,0.05193666014674612,0.0,0.05193666014674612,0.92,0.041666666666666664,0.051936660146746146
speedup-0-scalar-D0-L0.6-E0.08,speedup,scalar,0.0,0,0.6,0.08,4,1,96,environment,0.036086304007035115,0.0,0.036086304007035115,0.92,0.0026041666666666665,0.03608630400703511
speedup-0-scalar-D0-L0.6-E0.08,speedup,scalar,0.0,0,0.6,0.08,4,4,24,environment,0.01298416503668653,0.0,0.01298416503668653,0.92,0.010416666666666666,0.012984165036686536
speedup-0-scalar-D0-L0.6-E0.08,speedup,scalar,0.0,0,0.6,0.08,16,1,96,environment,0.009021576001758779,0.0,0.009021576001758779,0.92,0.0006510416666666666,0.009021576001758777
