cell_id,task,delay,message_overhead,rho,oracle_active,controller_mean_risk,strong_fixed_mean_risk,true_rho_oracle_mean_risk,controller_to_strong_ratio,controller_to_oracle_ratio,median_selected_q
cliffwalking-D0-H32-R0,cliffwalking,0,32,0.0,False,0.8444624359834032,0.8437780023030093,0.8437780023030093,1.0008111537377435,1.0008111537377435,16.0
cliffwalking-D0-H32-R0.1,cliffwalking,0,32,0.1,False,1.8720916807800339,1.840880797510297,1.840880797510297,1.0169543206230127,1.0169543206230127,16.0
cliffwalking-D0-H32-R0.3,cliffwalking,0,32,0.3,False,5.4278633383407175,5.0217782982023,5.0217782982023,1.0808647885319407,1.0808647885319407,16.0
cliffwalking-D0-H32-R0.5,cliffwalking,0,32,0.5,True,6.851922638921945,6.909050650741195,6.670130648224154,0.9917314237936407,1.0272546371705915,4.0
cliffwalking-D0-H32-R0.7,cliffwalking,0,32,0.7,True,6.373997647590275,9.12987667229206,6.270932551475402,0.6981471794613059,1.0164353699021407,4.0
cliffwalking-D0-H32-R0.9,cliffwalking,0,32,0.9,True,9.22555600627176,15.137025643393198,9.22606811275182,0.6094695367248983,0.9999444935292259,1.0
cliffwalking-D0-H32-R1,cliffwalking,0,32,1.0,True,7.5237461886113515,12.021086731927452,7.608942672237867,0.6258790370947602,0.9888031113787511,1.0
cliffwalking-D0-H8-R0,cliffwalking,0,8,0.0,True,0.8444201012881265,1.3682017627428715,0.8285628614815477,0.6171751303662221,1.0191382459240625,16.0
cliffwalking-D0-H8-R0.1,cliffwalking,0,8,0.1,True,2.3644401552549734,2.3436636420298225,1.9942808921333182,1.0088649722820962,1.1856103944944734,16.0
cliffwalking-D0-H8-R0.3,cliffwalking,0,8,0.3,False,2.676357887439583,2.6237297583231216,2.6237297583231216,1.0200585174404917,1.0200585174404917,4.0
cliffwalking-D0-H8-R0.5,cliffwalking,0,8,0.5,False,3.7686383402414725,3.7754706399943254,3.7754706399943254,0.9981903448856212,0.9981903448856212,4.0
cliffwalking-D0-H8-R0.7,cliffwalking,0,8,0.7,True,6.604210003904137,5.767625756005017,6.157373398210974,1.1450482890690512,1.0725693533257201,1.0
cliffwalking-D0-H8-R0.9,cliffwalking,0,8,0.9,True,4.734723742975455,5.7826151075084455,4.655784078104636,0.8187859048110683,1.016955181672204,1.0
cliffwalking-D0-H8-R1,cliffwalking,0,8,1.0,True,4.59515114766892,6.643884280596174,4.508085181757928,0.6916362407288323,1.0193132920964552,1.0
cliffwalking-D8-H32-R0,cliffwalking,8,32,0.0,False,0.7281712707599071,0.7118766149609,0.7118766149609,1.0228897191684012,1.0228897191684012,16.0
cliffwalking-D8-H32-R0.1,cliffwalking,8,32,0.1,False,1.8324419422163816,1.860411037677617,1.860411037677617,0.9849661741976388,0.9849661741976388,16.0
cliffwalking-D8-H32-R0.3,cliffwalking,8,32,0.3,False,4.137919117784334,4.383915013270707,4.383915013270707,0.9438867097693021,0.9438867097693021,16.0
cliffwalking-D8-H32-R0.5,cliffwalking,8,32,0.5,True,6.40691931839355,7.007252066564179,6.26163250089013,0.9143269369407762,1.0232027059209825,4.0
cliffwalking-D8-H32-R0.7,cliffwalking,8,32,0.7,True,6.946771559632742,10.0061693429721,6.844748517767055,0.6942488500368879,1.0149053017215846,4.0
cliffwalking-D8-H32-R0.9,cliffwalking,8,32,0.9,True,9.331282749941703,10.948927693348924,9.949056325618724,0.852255399915566,0.9379063143821732,1.0
cliffwalking-D8-H32-R1,cliffwalking,8,32,1.0,True,8.608838315775305,12.194866136002076,8.514468498733619,0.7059395502800982,1.0110834654042964,1.0
