task,delay,message_overhead,rho,cell_id,seed,kernel_sha256,fingerprint_transitions,collision_probability,probe_blocks,match_count,expected_match_probability,standardized_match_residual,rho_hat,selected_q,baseline_q,oracle_q,learning_updates_qmax,controller_updates,fixed_q1_updates,fixed_q4_updates,fixed_q16_updates,learning_message_budget,probe_message_cost,total_message_budget,probe_environment_cost,environment_budget,environment_used_upper_bound,controller_risk,strong_fixed_risk,true_rho_oracle_risk,sample_path_oracle_risk,fixed_q1_risk,fixed_q4_risk,fixed_q16_risk
frozenlake8x8,0,8,0.0,frozenlake8x8-D0-H8-R0,202608036001,93dcc787c7d551f2c620d4bed29dc9245cd61bcade3cecde96bc99e85ae04dc3,2,0.005197787350699335,96,0,0.005197787350699335,-0.7082335551289541,0.0,16,4,16,5278,5278,14181,10636,5318,126672,960,127632,192,14373,14373,9.208017829679482e-05,2.8410755620257642e-05,8.68697252459386e-05,2.8410755620257642e-05,2.9419970309159407e-05,2.8410755620257642e-05,8.68697252459386e-05
frozenlake8x8,0,8,0.0,frozenlake8x8-D0-H8-R0,202608036002,93dcc787c7d551f2c620d4bed29dc9245cd61bcade3cecde96bc99e85ae04dc3,2,0.005197787350699335,96,1,0.005197787350699335,0.7111074775383424,0.005246147675997532,16,4,16,5278,5278,14181,10636,5318,126672,960,127632,192,14373,14373,4.6905173804061535e-05,0.0001096135451129289,5.063625619792708e-05,5.063625619792708e-05,0.0002736805784448368,0.0001096135451129289,5.063625619792708e-05
frozenlake8x8,0,8,0.0,frozenlake8x8-D0-H8-R0,202608036003,93dcc787c7d551f2c620d4bed29dc9245cd61bcade3cecde96bc99e85ae04dc3,2,0.005197787350699335,96,0,0.005197787350699335,-0.7082335551289541,0.0,16,4,16,5278,5278,14181,10636,5318,126672,960,127632,192,14373,14373,1.0525909822427689e-05,5.0590163000852773e-05,9.74242633885707e-06,9.74242633885707e-06,1.9243513859543402e-05,5.0590163000852773e-05,9.74242633885707e-06
frozenlake8x8,0,8,0.0,frozenlake8x8-D0-H8-R0,202608036004,93dcc787c7d551f2c620d4bed29dc9245cd61bcade3cecde96bc99e85ae04dc3,2,0.005197787350699335,96,0,0.005197787350699335,-0.7082335551289541,0.0,16,4,16,5278,5278,14181,10636,5318,126672,960,127632,192,14373,14373,1.3829207172620878e-05,1.5525293497270735e-05,1.368109208476632e-05,1.368109208476632e-05,0.0002270196704154316,1.5525293497270735e-05,1.368109208476632e-05
frozenlake8x8,0,8,0.0,frozenlake8x8-D0-H8-R0,202608036005,93dcc787c7d551f2c620d4bed29dc9245cd61bcade3cecde96bc99e85ae04dc3,2,0.005197787350699335,96,0,0.005197787350699335,-0.7082335551289541,0.0,16,4,16,5278,5278,14181,10636,5318,126672,960,127632,192,14373,14373,4.485690088881014e-06,2.3004125544087067e-05,6.284384734657489e-06,6.284384734657489e-06,0.00021080112367594857,2.3004125544087067e-05,6.284384734657489e-06
frozenlake8x8,0,8,0.0,frozenlake8x8-D0-H8-R0,202608036006,93dcc787c7d551f2c620d4bed29dc9245cd61bcade3cecde96bc99e85ae04dc3,2,0.005197787350699335,96,0,0.005197787350699335,-0.7082335551289541,0.0,16,4,16,5278,5278,14181,10636,5318,126672,960,127632,192,14373,14373,9.382258710127876e-05,4.958084631559091e-05,9.074524421502983e-05,4.958084631559091e-05,0.001062200485252674,4.958084631559091e-05,9.074524421502983e-05
frozenlake8x8,0,8,0.0,frozenlake8x8-D0-H8-R0,202608036007,93dcc787c7d551f2c620d4bed29dc9245cd61bcade3cecde96bc99e85ae04dc3,2,0.005197787350699335,96,0,0.005197787350699335,-0.7082335551289541,0.0,16,4,16,5278,5278,14181,10636,5318,126672,960,127632,192,14373,14373,1.9579558279219044e-06,3.0259406370266297e-05,1.963931443035415e-06,1.963931443035415e-06,0.00016784163456177198,3.0259406370266297e-05,1.963931443035415e-06
frozenlake8x8,0,8,0.0,frozenlake8x8-D0-H8-R0,202608036008,93dcc787c7d551f2c620d4bed29dc9245cd61bcade3cecde96bc99e85ae04dc3,2,0.005197787350699335,96,0,0.005197787350699335,-0.7082335551289541,0.0,16,4,16,5278,5278,14181,10636,5318,126672,960,127632,192,14373,14373,5.999584505109718e-05,1.8920556767351764e-05,6.749059493749721e-05,1.8920556767351764e-05,0.000478256215700412,1.8920556767351764e-05,6.749059493749721e-05
frozenlake8x8,0,8,0.0,frozenlake8x8-D0-H8-R0,202608036009,93dcc787c7d551f2c620d4bed29dc9245cd61bcade3cecde96bc99e85ae04dc3,2,0.005197787350699335,96,0,0.005197787350699335,-0.7082335551289541,0.0,16,4,16,5278,5278,14181,10636,5318,126672,960,127632,192,14373,14373,1.5685053327500442e-06,9.858519647357e-05,1.3212260550785726e-06,1.3212260550785726e-06,0.0003424253208903664,9.858519647357e-05,1.3212260550785726e-06
frozenlake8x8,0,8,0.0,frozenlake8x8-D0-H8-R0,202608036010,93dcc787c7d551f2c620d4bed29dc9245cd61bcade3cecde96bc99e85ae04dc3,2,0.005197787350699335,96,0,0.005197787350699335,-0.7082335551289541,0.0,16,4,16,5278,5278,14181,10636,5318,126672,960,127632,192,14373,14373,9.024120845279582e-05,2.977671964920025e-05,9.305826010913195e-05,2.977671964920025e-05,3.2575395491841125e-05,2.977671964920025e-05,9.305826010913195e-05
frozenlake8x8,0,8,0.0,frozenlake8x8-D0-H8-R0,202608036011,93dcc787c7d551f2c620d4bed29dc9245cd61bcade3cecde96bc99e85ae04dc3,2,0.005197787350699335,96,1,0.005197787350699335,0.7111074775383424,0.005246147675997532,16,4,16,5278,5278,14181,10636,5318,126672,960,127632,192,14373,14373,8.272335209762145e-05,0.00014599652069764092,8.658782006815163e-05,8.658782006815163e-05,0.0002099356381554608,0.00014599652069764092,8.658782006815163e-05
frozenlake8x8,0,8,0.0,frozenlake8x8-D0-H8-R0,202608036012,93dcc787c7d551f2c620d4bed29dc9245cd61bcade3cecde96bc99e85ae04dc3,2,0.005197787350699335,96,0,0.005197787350699335,-0.7082335551289541,0.0,16,4,16,5278,5278,14181,10636,5318,126672,960,127632,192,14373,14373,1.720657701989652e-05,1.2163366464232764e-05,1.8717346066509332e-05,1.2163366464232764e-05,0.00022704979539690196,1.2163366464232764e-05,1.8717346066509332e-05
frozenlake8x8,0,8,0.0,frozenlake8x8-D0-H8-R0,202608036013,93dcc787c7d551f2c620d4bed29dc9245cd61bcade3cecde96bc99e85ae04dc3,2,0.005197787350699335,96,0,0.005197787350699335,-0.7082335551289541,0.0,16,4,16,5278,5278,14181,10636,5318,126672,960,127632,192,14373,14373,7.75718074862526e-06,3.8549760783822096e-05,7.5023294987001416e-06,7.5023294987001416e-06,7.907021703993149e-05,3.8549760783822096e-05,7.5023294987001416e-06
frozenlake8x8,0,8,0.0,frozenlake8x8-D0-H8-R0,202608036014,93dcc787c7d551f2c620d4bed29dc9245cd61bcade3cecde96bc99e85ae04dc3,2,0.005197787350699335,96,0,0.005197787350699335,-0.7082335551289541,0.0,16,4,16,5278,5278,14181,10636,5318,126672,960,127632,192,14373,14373,7.423601720824716e-06,2.7760273227754273e-05,8.494895359823067e-06,8.494895359823067e-06,7.755234777573065e-05,2.7760273227754273e-05,8.494895359823067e-06
frozenlake8x8,0,8,0.0,frozenlake8x8-D0-H8-R0,202608036015,93dcc787c7d551f2c620d4bed29dc9245cd61bcade3cecde96bc99e85ae04dc3,2,0.005197787350699335,96,0,0.005197787350699335,-0.7082335551289541,0.0,16,4,16,5278,5278,14181,10636,5318,126672,960,127632,192,14373,14373,6.057461779119612e-06,0.00023742784548770149,6.0281021345715315e-06,6.0281021345715315e-06,0.00018873517517629108,0.00023742784548770149,6.0281021345715315e-06
