cell_id,rho,state_signal,noise_scale,delay_curvature,resource_price,mean_normalized_regret,mean_observable_score,oracle_score,q_only_score,eta_only_score,fixed_score,median_observable_q,median_observable_eta
R0-S0.1-N0.1-D0-P0.0001,0.0,0.1,0.1,0.0,0.0001,2.318249258159499e-05,-0.018532291666666676,-0.01853333333333334,-0.0044750000000000015,-0.018500000000000006,-0.003968750000000001,6.0,0.2
R0-S0.1-N0.1-D0-P0.001,0.0,0.1,0.1,0.0,0.001,0.0,-0.014,-0.014,-0.0017500000000000007,-0.009500000000000003,0.005031249999999999,2.0,0.2
R0-S0.1-N0.1-D0-P0.01,0.0,0.1,0.1,0.0,0.01,0.0,0.013999999999999997,0.013999999999999997,0.02525,0.0805,0.09503125,1.0,0.2
R0-S0.1-N0.1-D0.5-P0.0001,0.0,0.1,0.1,0.5,0.0001,6.585514640637903e-05,-0.01653050595238096,-0.016533333333333337,-0.0043500000000000014,-0.016500000000000004,-0.0038437500000000004,6.0,0.2
R0-S0.1-N0.1-D0.5-P0.001,0.0,0.1,0.1,0.5,0.001,0.0,-0.012000000000000004,-0.012000000000000004,-0.0016250000000000006,-0.0075000000000000015,0.005156249999999999,2.0,0.2
R0-S0.1-N0.1-D0.5-P0.01,0.0,0.1,0.1,0.5,0.01,0.0,0.016,0.016,0.025375,0.0825,0.09515625000000001,1.0,0.2
R0-S0.1-N0.1-D2-P0.0001,0.0,0.1,0.1,2.0,0.0001,4.2305956678702304e-05,-0.010531770833333336,-0.010533333333333336,-0.003975000000000001,-0.0105,-0.0034687500000000005,6.0,0.2
R0-S0.1-N0.1-D2-P0.001,0.0,0.1,0.1,2.0,0.001,5.694081177429899e-05,-0.005994875326940315,-0.006000000000000002,-0.0012500000000000002,-0.0015000000000000013,0.00553125,2.0,0.1982583482638528
R0-S0.1-N0.1-D2-P0.01,0.0,0.1,0.1,2.0,0.01,3.8924981371730484e-05,0.0216932005289684,0.021666666666666667,0.025750000000000002,0.08850000000000001,0.09553125,1.0,0.16588071935024587
R0-S0.1-N1-D0-P0.0001,0.0,0.1,1.0,0.0,0.0001,0.028871136599422392,-0.014581638035504378,-0.0158,-0.0038,-0.014000000000000002,-0.0036875000000000007,20.0,0.2
