cell_id,task,budget_regime,delay,rho,noise_scale,initial_error_energy,fixed_q,fixed_eta,fixed_risk,oracle_q,oracle_eta,oracle_updates,oracle_risk,oracle_to_fixed_ratio,q_only_risk,eta_only_risk
balanced-environment_binding-D0-R0-N0.1-E0.1,balanced,environment_binding,0,0.0,0.1,0.1,1,0.0075,0.0011458979072967767,2,0.0125,558,0.0010140448457082022,0.8849347217156356,0.0011458979072967767,0.0010493541569897387
balanced-environment_binding-D0-R0-N0.1-E1,balanced,environment_binding,0,0.0,0.1,1.0,1,0.0075,0.001310137886137021,2,0.015,558,0.0013101133367727274,0.999981261999555,0.001310137886137021,0.001310137886137021
balanced-environment_binding-D0-R0-N0.1-E10,balanced,environment_binding,0,0.0,0.1,10.0,1,0.0075,0.0029525376745394676,1,0.01,1116,0.0016157202519183013,0.5472310364914544,0.0029525376745394676,0.0016157202519183013
balanced-environment_binding-D0-R0-N1-E0.1,balanced,environment_binding,0,0.0,1.0,0.1,1,0.0075,0.01129473909412753,2,0.0075,558,0.006794661999216447,0.60157759666615,0.006794661999216447,0.00779371462976856
balanced-environment_binding-D0-R0-N1-E1,balanced,environment_binding,0,0.0,1.0,1.0,1,0.0075,0.011458979072967775,2,0.0125,558,0.010140448457082025,0.8849347217156351,0.011458979072967775,0.01049354156989731
balanced-environment_binding-D0-R0-N1-E10,balanced,environment_binding,0,0.0,1.0,10.0,1,0.0075,0.01310137886137022,2,0.015,558,0.013101133367727289,0.9999812619995553,0.01310137886137022,0.01310137886137022
balanced-environment_binding-D0-R0-N10-E0.1,balanced,environment_binding,0,0.0,10.0,0.1,1,0.0075,0.11278315096243437,8,0.0125,139,0.035160544184766766,0.31175351889643504,0.035877114516939666,0.07523731935755727
balanced-environment_binding-D0-R0-N10-E1,balanced,environment_binding,0,0.0,10.0,1.0,1,0.0075,0.11294739094127462,2,0.0075,558,0.0679466199921642,0.6015775966661512,0.0679466199921642,0.07793714629768603
balanced-environment_binding-D0-R0-N10-E10,balanced,environment_binding,0,0.0,10.0,10.0,1,0.0075,0.11458979072967707,2,0.0125,558,0.10140448457082007,0.8849347217156389,0.11458979072967707,0.10493541569897384
balanced-environment_binding-D0-R0.3-N0.1-E0.1,balanced,environment_binding,0,0.3,0.1,0.1,1,0.0075,0.0011458979072967767,1,0.005,1116,0.0010493541569897387,0.9157483841341599,0.0011458979072967767,0.0010493541569897387
