cell_id,target_heterogeneity,initial_common_parameter,noise_scale,spatial_correlation,temporal_correlation,delay,local_risk,strong_fixed_alpha,strong_fixed_risk,phase_early_alpha,phase_late_alpha,phase_risk,safe_risk,safe_charged_shadow_risk,safe_to_local_ratio,safe_to_fixed_ratio,phase_to_fixed_ratio,safe_checkpoint_valid,safe_early_alpha_mean,safe_late_alpha_mean,safe_uses_nonzero,safe_uses_shadow,safe_environment_used,safe_message_used
H0-I0.5-N0.1-S0-T0-D0,0.0,0.5,0.1,0.0,0.0,0,0.0020408170931363327,1.0,0.0005102048529705092,0.0,1.0,0.0005102048529705092,0.0005102061362694121,0.0020408183685622365,0.2500009128624683,1.000002515262047,1.0,True,1.0,1.0,True,False,240,18
H0-I0.5-N0.1-S0-T0-D1,0.0,0.5,0.1,0.0,0.0,1,0.0020408170931363327,1.0,0.0005103075235786299,0.25,1.0,0.0005101789040727286,0.0005102477113456664,0.0020408183685622365,0.2500212846421805,0.9998827917869131,0.999747956869224,True,0.5833333333333334,1.0,True,False,240,17
H0-I0.5-N0.1-S0-T0-D3,0.0,0.5,0.1,0.0,0.0,3,0.0020408170931363327,0.75,0.000590506440283077,0.1,0.75,0.0004142077652557227,0.0004251593316564717,0.0020408183685622365,0.2083279942560094,0.7199910155978295,0.7014449580891273,True,0.3333333333333333,0.75,True,False,240,17
H0-I0.5-N0.1-S0-T0.6-D0,0.0,0.5,0.1,0.0,0.6,0,0.006598358041790273,1.0,0.0016495900901339947,0.0,1.0,0.0016495900901339947,0.0016061808777619133,0.006424717334532242,0.2434212977818528,0.9736848489623532,1.0,True,1.0,1.0,True,False,240,18
H0-I0.5-N0.1-S0-T0.6-D1,0.0,0.5,0.1,0.0,0.6,1,0.006598358041790273,1.0,0.00164969229185971,0.5,1.0,0.0016494342875008141,0.0016496291445253339,0.006424717334532242,0.2500060066576434,0.9999617217497544,0.9998436045557291,True,0.6166666666666667,1.0,True,False,240,18
H0-I0.5-N0.1-S0-T0.6-D3,0.0,0.5,0.1,0.0,0.6,3,0.006598358041790273,0.75,0.0015045043966886173,0.25,0.75,0.001334046000264021,0.001347298959124294,0.006424717334532242,0.2041870038866129,0.8955101507776718,0.8867012972512598,True,0.4166666666666667,0.75,True,False,240,17
H0-I0.5-N0.1-S0-T0.9-D0,0.0,0.5,0.1,0.0,0.9,0,0.014676404620922352,1.0,0.003669101734917014,0.0,1.0,0.003669101734917014,0.0033992307423428357,0.01359691679285593,0.23161195334564222,0.9264476670118055,1.0,True,1.0,1.0,True,False,240,18
H0-I0.5-N0.1-S0-T0.9-D1,0.0,0.5,0.1,0.0,0.9,1,0.014676404620922352,1.0,0.0036692031055687033,0.5,1.0,0.0036687139189432263,0.003669173868927141,0.01359691679285593,0.25000495446251525,0.9999920318824767,0.9998666776922939,True,0.8333333333333334,1.0,True,False,240,18
H0-I0.5-N0.1-S0-T0.9-D3,0.0,0.5,0.1,0.0,0.9,3,0.014676404620922352,0.75,0.0031245267175535867,0.25,0.75,0.0029595444450785297,0.0029410557168870373,0.01359691679285593,0.20039347461805015,0.9412803866787858,0.9471976758757776,True,0.5,0.75,True,False,240,17
H0-I0.5-N0.1-S0.5-T0-D0,0.0,0.5,0.1,0.5,0.0,0,0.0020408170931363327,1.0,0.001275510973053421,0.0,1.0,0.001275510973053421,0.0012755122524158243,0.0020408183685622365,0.6250007689104632,1.0000010030195194,1.0,True,1.0,1.0,True,False,240,18
H0-I0.5-N0.1-S0.5-T0-D1,0.0,0.5,0.1,0.5,0.0,1,0.0020408170931363327,0.75,0.0011488172107623803,0.5,0.75,0.0011487806550695451,0.001177313396251333,0.0020408183685622365,0.5768833474645368,1.0248048037773059,0.9999681797134542,True,0.4166666666666667,0.75,True,False,240,17
H0-I0.5-N0.1-S0.5-T0-D3,0.0,0.5,0.1,0.5,0.0,3,0.0020408170931363327,0.5,0.0009187339442801823,0.25,0.75,0.0008484868678511156,0.00085713624869851,0.0020408183685622365,0.41999660409608824,0.9329537174878921,0.9235392608856915,True,0.19999999999999998,0.75,True,False,240,17
