cell_id,target_heterogeneity,initial_common_parameter,noise_scale,spatial_correlation,temporal_correlation,delay,safe_dynamic_risk,common_scalar_risk,recipient_static_risk,recipient_static_alpha,static_to_scalar_ratio,dynamic_to_static_ratio
H0-I0.5-N0.1-S0-T0-D0,0.0,0.5,0.1,0.0,0.0,0,0.0005102061362694121,0.0005102048529705092,0.0005102048529705092,"[1.0,1.0,1.0,1.0]",1.0,1.000002515262047
H0-I0.5-N0.1-S0-T0-D1,0.0,0.5,0.1,0.0,0.0,1,0.0005102477113456664,0.0005103075235786299,0.0005103075235786299,"[1.0,1.0,1.0,1.0]",1.0,0.9998827917869131
H0-I0.5-N0.1-S0-T0-D3,0.0,0.5,0.1,0.0,0.0,3,0.0004251593316564717,0.000590506440283077,0.000561380530917341,"[0.5,0.75,0.75,0.75]",0.950676389995385,0.7573460571597078
H0-I0.5-N0.1-S0-T0.6-D0,0.0,0.5,0.1,0.0,0.6,0,0.0016061808777619133,0.0016495900901339947,0.0016495900901339945,"[1.0,1.0,1.0,1.0]",0.9999999999999999,0.9736848489623534
H0-I0.5-N0.1-S0-T0.6-D1,0.0,0.5,0.1,0.0,0.6,1,0.0016496291445253339,0.00164969229185971,0.00164969229185971,"[1.0,1.0,1.0,1.0]",1.0,0.9999617217497544
H0-I0.5-N0.1-S0-T0.6-D3,0.0,0.5,0.1,0.0,0.6,3,0.001347298959124294,0.0015045043966886173,0.0015045043966886175,"[0.75,0.75,0.75,0.75]",1.0000000000000002,0.8955101507776717
H0-I0.5-N0.1-S0-T0.9-D0,0.0,0.5,0.1,0.0,0.9,0,0.0033992307423428357,0.003669101734917014,0.0036691017349170145,"[1.0,1.0,1.0,1.0]",1.0000000000000002,0.9264476670118054
H0-I0.5-N0.1-S0-T0.9-D1,0.0,0.5,0.1,0.0,0.9,1,0.003669173868927141,0.0036692031055687033,0.0036692031055687033,"[1.0,1.0,1.0,1.0]",1.0,0.9999920318824767
H0-I0.5-N0.1-S0-T0.9-D3,0.0,0.5,0.1,0.0,0.9,3,0.0029410557168870373,0.0031245267175535867,0.0031245267175535867,"[0.75,0.75,0.75,0.75]",1.0,0.9412803866787858
H0-I0.5-N0.1-S0.5-T0-D0,0.0,0.5,0.1,0.5,0.0,0,0.0012755122524158243,0.001275510973053421,0.0012755109730534211,"[1.0,1.0,1.0,1.0]",1.0000000000000002,1.0000010030195194
H0-I0.5-N0.1-S0.5-T0-D1,0.0,0.5,0.1,0.5,0.0,1,0.001177313396251333,0.0011488172107623803,0.00114881721076238,"[0.75,0.75,0.75,0.75]",0.9999999999999998,1.024804803777306
H0-I0.5-N0.1-S0.5-T0-D3,0.0,0.5,0.1,0.5,0.0,3,0.00085713624869851,0.0009187339442801823,0.0009062539385944157,"[0.5,0.5,0.5,0.75]",0.9864160829547399,0.9458014053190363
H0-I0.5-N0.1-S0.5-T0.6-D0,0.0,0.5,0.1,0.5,0.6,0,0.004015449106147078,0.004123974065962133,0.004123974065962133,"[1.0,1.0,1.0,1.0]",1.0,0.9736843738395974
H0-I0.5-N0.1-S0.5-T0.6-D1,0.0,0.5,0.1,0.5,0.6,1,0.0037955425853962057,0.003714269152489594,0.003714269152489594,"[0.75,0.75,0.75,0.75]",1.0,1.0218814064274626
H0-I0.5-N0.1-S0.5-T0.6-D3,0.0,0.5,0.1,0.5,0.6,3,0.0027510435986705293,0.002893010367748436,0.0028319473484620227,"[0.5,0.75,0.75,0.75]",0.9788929137734348,0.9714317606097336
H0-I0.5-N0.1-S0.5-T0.9-D0,0.0,0.5,0.1,0.5,0.9,0,0.008498073767599383,0.009172753177919685,0.009172753177919683,"[1.0,1.0,1.0,1.0]",0.9999999999999998,0.9264474474311198
H0-I0.5-N0.1-S0.5-T0.9-D1,0.0,0.5,0.1,0.5,0.9,1,0.008398695619249021,0.008261423092580471,0.00826142309258047,"[0.75,0.75,0.75,0.75]",0.9999999999999998,1.0166160872201104
H0-I0.5-N0.1-S0.5-T0.9-D3,0.0,0.5,0.1,0.5,0.9,3,0.00607031226226833,0.006212912742476648,0.006188068983327501,"[0.75,0.75,0.75,0.5]",0.99600127022881,0.980970360644582
H0-I0.5-N0.1-S0.9-T0-D0,0.0,0.5,0.1,0.9,0.0,0,0.0018877571453329541,0.0018877558691197506,0.0018877558691197506,"[1.0,1.0,1.0,1.0]",1.0,1.0000006760478006
H0-I0.5-N0.1-S0.9-T0-D1,0.0,0.5,0.1,0.9,0.0,1,0.0016437822482995462,0.0015884350006250478,0.0015884350006250478,"[0.5,0.5,0.5,0.5]",1.0,1.0348438857445972
H0-I0.5-N0.1-S0.9-T0-D3,0.0,0.5,0.1,0.9,0.0,3,0.0011306050302891913,0.0011170977796483622,0.0011170977796483626,"[0.5,0.5,0.5,0.5]",1.0000000000000004,1.01209137721595
H0-I0.5-N0.1-S0.9-T0.6-D0,0.0,0.5,0.1,0.9,0.6,0,0.0059428636888552095,0.006103481246624646,0.006103481246624645,"[1.0,1.0,1.0,1.0]",0.9999999999999999,0.9736842711103175
H0-I0.5-N0.1-S0.9-T0.6-D1,0.0,0.5,0.1,0.9,0.6,1,0.005270525730200062,0.005135694594718679,0.0051356945947186785,"[0.5,0.5,0.5,0.5]",0.9999999999999998,1.0262537292657623
H0-I0.5-N0.1-S0.9-T0.6-D3,0.0,0.5,0.1,0.9,0.6,3,0.003601990885167619,0.003589423663046897,0.0035894236630468973,"[0.5,0.5,0.5,0.5]",1.0000000000000002,1.0035011810531316
