cell_id,schedule_family,target_scale,initial_common_parameter,noise_scale,spatial_correlation,temporal_correlation,delay,best_static_graph,best_static_auc,best_static_terminal,dynamic_auc,dynamic_terminal,dynamic_to_static_auc_ratio,dynamic_to_static_terminal_ratio,charged_shadow_auc,checkpoint_safe,selected_actions,action_change_count,environment_used,message_used
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,"[1,1,5,5]",0.010148740118044999,0.0019527025205902451,0.010602184188321942,0.001952703304590807,1.0446798385812142,1.000000401495135,0.012136014706009389,True,"[[1,1,2,2],[1,1,1,1],[1,1,5,5],[1,1,5,5],[1,1,5,5],[1,1,5,5]]",2,240,18
Fstationary-H0.1-I0.5-N0.1-S0-T0-D1,stationary,0.1,0.5,0.1,0.0,0.0,1,"[0,0,0,0]",0.010554786159276441,0.0020408171240529423,0.01167072190681819,0.001951741650939482,1.105727935242058,0.9563530352310247,0.012136014706009389,True,"[[0,0,0,0],[0,0,1,1],[1,1,5,5],[1,1,5,5],[1,1,5,5],[1,1,5,5]]",2,240,17
Fstationary-H0.1-I0.5-N0.1-S0-T0-D3,stationary,0.1,0.5,0.1,0.0,0.0,3,"[0,0,0,0]",0.010554786159276441,0.0020408171240529423,0.011887654340369598,0.0019429178560861164,1.126280927058074,0.9520293774425003,0.012136014706009389,True,"[[0,0,0,0],[0,0,0,0],[0,0,5,5],[1,1,5,5],[1,1,5,5],[1,1,5,5]]",2,240,16
Fstationary-H0.1-I0.5-N0.1-S0-T0.9-D0,stationary,0.1,0.5,0.1,0.0,0.9,0,"[1,1,5,5]",0.01985327994393393,0.014042733952270346,0.020126258361807942,0.013996126277366778,1.0137497893871898,0.9966810113285646,0.0238155737847526,True,"[[1,1,2,2],[1,1,1,1],[1,1,5,5],[1,1,5,5],[1,1,5,5],[1,1,5,5]]",2,240,18
Fstationary-H0.1-I0.5-N0.1-S0-T0.9-D1,stationary,0.1,0.5,0.1,0.0,0.9,1,"[0,0,0,0]",0.022773334837140374,0.014676404651838962,0.021455973528129408,0.01401275674744621,0.9421533421243814,0.9547813023600711,0.0238155737847526,True,"[[0,0,0,0],[1,1,1,1],[1,1,5,5],[1,1,5,5],[1,1,5,5],[1,1,5,5]]",2,240,17
Fstationary-H0.1-I0.5-N0.1-S0-T0.9-D3,stationary,0.1,0.5,0.1,0.0,0.9,3,"[0,0,0,0]",0.022773334837140374,0.014676404651838962,0.021623612524505675,0.013944288658909407,0.9495145387859643,0.9501161210598115,0.0238155737847526,True,"[[0,0,0,0],[0,0,1,1],[1,1,5,5],[1,1,5,5],[1,1,5,5],[1,1,5,5]]",2,240,17
Fstationary-H0.1-I0.5-N0.1-S0.9-T0-D0,stationary,0.1,0.5,0.1,0.9,0.0,0,"[1,1,5,5]",0.010514181555153298,0.002032005663706673,0.01094636390022094,0.0020320064807210275,1.0411047063245562,1.0000004020728728,0.012136014706009389,True,"[[1,1,2,2],[1,1,1,1],[1,1,5,5],[1,1,5,5],[1,1,5,5],[1,1,5,5]]",2,240,18
Fstationary-H0.1-I0.5-N0.1-S0.9-T0-D1,stationary,0.1,0.5,0.1,0.9,0.0,1,"[0,0,0,0]",0.010554786159276441,0.0020408171240529423,0.011882055940363566,0.0020083098352067725,1.1257505136587356,0.9840714346900362,0.012136014706009389,True,"[[0,0,0,0],[0,0,1,1],[1,1,5,5],[1,1,5,5],[1,1,5,5],[1,1,5,5]]",2,240,17
Fstationary-H0.1-I0.5-N0.1-S0.9-T0-D3,stationary,0.1,0.5,0.1,0.9,0.0,3,"[0,0,0,0]",0.010554786159276441,0.0020408171240529423,0.01195474672863304,0.0019647398627093797,1.132637511383989,0.9627221565093115,0.012136014706009389,True,"[[0,0,0,0],[0,0,0,0],[0,0,5,5],[1,1,5,5],[1,1,5,5],[1,1,5,5]]",2,240,16
Fstationary-H0.1-I0.5-N0.1-S0.9-T0.9-D0,stationary,0.1,0.5,0.1,0.9,0.9,0,"[1,1,5,5]",0.02248132934781973,0.014613037581882104,0.02241037448843843,0.014524482755269718,0.9968438316843491,0.9939400123953571,0.0238155737847526,True,"[[1,1,2,2],[1,1,1,1],[1,1,5,5],[1,1,5,5],[1,1,5,5],[1,1,5,5]]",2,240,18
