cell_id,schedule_family,target_scale,initial_common_parameter,noise_scale,spatial_correlation,temporal_correlation,delay,mean_local_auc,mean_charged_shadow_auc,mean_strong_static_auc,mean_observable_auc,mean_clairvoyant_auc,mean_full_sharing_auc,observable_to_static_ratio,observable_to_shadow_ratio,clairvoyant_to_static_ratio,observable_cvar90,static_cvar90,shadow_cvar90,checkpoint_violation_rate,shift_change_fraction
Falternating-H0.1-I0.5-N0.1-S0-T0-D0,alternating,0.1,0.5,0.1,0.0,0.0,0,0.012055533835961293,0.015831802524379678,0.011384291498132776,0.014131262577636316,0.011365477242418674,0.01400891997379336,1.2412948649421083,0.8925870920809763,0.9983473494404823,0.016317583195355048,0.01335572745328901,0.018005438577688243,0.1171875,0.984375
Falternating-H0.1-I0.5-N0.1-S0-T0-D1,alternating,0.1,0.5,0.1,0.0,0.0,1,0.011611187821825577,0.015720964402859472,0.011611187821825577,0.015797649149732113,0.013094075251838084,0.025255847061688326,1.3605540959416085,1.0048778653082309,1.1277119492654422,0.018021391872213702,0.013261276689345692,0.018150393565020226,0.14453125,0.984375
Falternating-H0.1-I0.5-N0.1-S0-T0-D3,alternating,0.1,0.5,0.1,0.0,0.0,3,0.012212717505870737,0.016112106546166155,0.012212717505870737,0.016359734033901743,0.013823497646477383,0.03830038691172115,1.3395654182648133,1.0153690324121218,1.1318936706619418,0.018306343894860157,0.013973964744183848,0.018251260836655278,0.11588541666666666,0.953125
Falternating-H0.1-I0.5-N0.1-S0-T0.9-D0,alternating,0.1,0.5,0.1,0.0,0.9,0,0.03559623344132865,0.037453678647629135,0.02826558715192544,0.037313188319661975,0.021417048244988492,0.02695246261257091,1.3200924544431485,0.996248957831648,0.75770753071123,0.05093540060569096,0.03886082596967176,0.05165216769845651,0.23958333333333334,1.0
Falternating-H0.1-I0.5-N0.1-S0-T0.9-D1,alternating,0.1,0.5,0.1,0.0,0.9,1,0.03615275212761236,0.038506666669263306,0.03461606627757914,0.03999305608323932,0.02637492690645348,0.039552712670215984,1.1553322021786991,1.0386008331165801,0.7619273286270701,0.05835702972072862,0.05268371039549434,0.0576868132129693,0.25911458333333337,1.0
Falternating-H0.1-I0.5-N0.1-S0-T0.9-D3,alternating,0.1,0.5,0.1,0.0,0.9,3,0.03696167253638319,0.03920611760997966,0.03567024953913617,0.04057467043704187,0.026510205062890785,0.05070040107197066,1.1374933161744423,1.0349066143369894,0.7432021195647848,0.05691851342104008,0.05439962786477956,0.05666205474529587,0.22526041666666666,0.96875
Falternating-H0.1-I0.5-N0.1-S0.9-T0-D0,alternating,0.1,0.5,0.1,0.9,0.0,0,0.012142287519490175,0.01638396442851349,0.01178052794886382,0.014957443066250464,0.01266792468517422,0.014777984873774283,1.2696751054941509,0.9129318567256891,1.075327416577793,0.020441287939300747,0.016119791385490495,0.02236655975758403,0.13411458333333331,0.9375
Falternating-H0.1-I0.5-N0.1-S0.9-T0-D1,alternating,0.1,0.5,0.1,0.9,0.0,1,0.01138032837627145,0.015377155826937518,0.01138032837627145,0.015396663650957265,0.013015021399563252,0.02493559964271242,1.3529191023222207,1.001268623680432,1.1436419907443285,0.020419781871225423,0.016761985475505208,0.021174732914463885,0.14713541666666669,0.953125
Falternating-H0.1-I0.5-N0.1-S0.9-T0-D3,alternating,0.1,0.5,0.1,0.9,0.0,3,0.011611134042994426,0.015561079574224361,0.011611134042994426,0.015789888897005416,0.01353698304600023,0.038553363322531335,1.3598920517614936,1.0147039491501644,1.1658622659832063,0.01971795815716156,0.014970131324867322,0.019839008367452955,0.11979166666666666,0.875
Falternating-H0.1-I0.5-N0.1-S0.9-T0.9-D0,alternating,0.1,0.5,0.1,0.9,0.9,0,0.040107305360376974,0.04175056447182819,0.039477296395660125,0.04406709891423859,0.0306966756904642,0.041506051452704126,1.1162643579382259,1.055485104733698,0.7775779623510082,0.08138854723512165,0.07446569708104431,0.0793119549778552,0.30598958333333337,0.96875
Falternating-H0.1-I0.5-N0.1-S0.9-T0.9-D1,alternating,0.1,0.5,0.1,0.9,0.9,1,0.03849188270863782,0.04024666888441024,0.03849188270863782,0.04193307329384037,0.030559128027219423,0.047479520683625334,1.0894004227138083,1.0419017140095133,0.7939109723090204,0.07776740132318756,0.07060735252668444,0.07347672403333198,0.22265625,0.953125
