cell_id,schedule_family,target_scale,initial_common_parameter,noise_scale,spatial_correlation,temporal_correlation,delay,mean_dual_use_auc,mean_strong_static_auc,dual_use_to_static_ratio
Falternating-H0.1-I0.5-N0.1-S0-T0-D0,alternating,0.1,0.5,0.1,0.0,0.0,0,0.011247347253144666,0.011384291498132776,0.9879707713905103
Falternating-H0.1-I0.5-N0.1-S0-T0-D1,alternating,0.1,0.5,0.1,0.0,0.0,1,0.011560586858243311,0.011611187821825577,0.9956420510667177
Falternating-H0.1-I0.5-N0.1-S0-T0-D3,alternating,0.1,0.5,0.1,0.0,0.0,3,0.01222211401716024,0.012212717505870737,1.0007694038026331
Falternating-H0.1-I0.5-N0.1-S0-T0.9-D0,alternating,0.1,0.5,0.1,0.0,0.9,0,0.03639571999363882,0.02826558715192544,1.287633608954044
Falternating-H0.1-I0.5-N0.1-S0-T0.9-D1,alternating,0.1,0.5,0.1,0.0,0.9,1,0.037305941123857184,0.03461606627757914,1.0777059653372654
Falternating-H0.1-I0.5-N0.1-S0-T0.9-D3,alternating,0.1,0.5,0.1,0.0,0.9,3,0.03904451079234027,0.03567024953913617,1.0945959531205964
Falternating-H0.1-I0.5-N0.1-S0.9-T0-D0,alternating,0.1,0.5,0.1,0.9,0.0,0,0.011693017881254849,0.01178052794886382,0.9925716344811685
Falternating-H0.1-I0.5-N0.1-S0.9-T0-D1,alternating,0.1,0.5,0.1,0.9,0.0,1,0.011298060668887305,0.01138032837627145,0.992771060318815
Falternating-H0.1-I0.5-N0.1-S0.9-T0-D3,alternating,0.1,0.5,0.1,0.9,0.0,3,0.011556067286568501,0.011611134042994426,0.9952574179040549
Falternating-H0.1-I0.5-N0.1-S0.9-T0.9-D0,alternating,0.1,0.5,0.1,0.9,0.9,0,0.04241077067781979,0.039477296395660125,1.074307881997769
Falternating-H0.1-I0.5-N0.1-S0.9-T0.9-D1,alternating,0.1,0.5,0.1,0.9,0.9,1,0.039594046860576104,0.03849188270863782,1.0286336773984546
Falternating-H0.1-I0.5-N0.1-S0.9-T0.9-D3,alternating,0.1,0.5,0.1,0.9,0.9,3,0.03462408429709099,0.033143343422401814,1.0446768708822638
Falternating-H0.1-I0.5-N0.5-S0-T0-D0,alternating,0.1,0.5,0.5,0.0,0.0,0,0.020369656134445278,0.017997532595545776,1.1318027083049473
Falternating-H0.1-I0.5-N0.5-S0-T0-D1,alternating,0.1,0.5,0.5,0.0,0.0,1,0.02069489647541865,0.019672989638442342,1.0519446640168728
