cell_id,schedule_family,target_scale,initial_common_parameter,noise_scale,spatial_correlation,temporal_correlation,delay,mean_continuous_auc,mean_strong_static_auc,continuous_to_static_ratio
Falternating-H0.1-I0.5-N0.1-S0-T0-D0,alternating,0.1,0.5,0.1,0.0,0.0,0,0.011321491799876154,0.011384291498132776,0.9944836533510301
Falternating-H0.1-I0.5-N0.1-S0-T0-D1,alternating,0.1,0.5,0.1,0.0,0.0,1,0.011381360535815416,0.011611187821825577,0.980206393218603
Falternating-H0.1-I0.5-N0.1-S0-T0-D3,alternating,0.1,0.5,0.1,0.0,0.0,3,0.012031556828889223,0.012212717505870737,0.9851662271812618
Falternating-H0.1-I0.5-N0.1-S0-T0.9-D0,alternating,0.1,0.5,0.1,0.0,0.9,0,0.03647358743847675,0.02826558715192544,1.2903884586735777
Falternating-H0.1-I0.5-N0.1-S0-T0.9-D1,alternating,0.1,0.5,0.1,0.0,0.9,1,0.03714361471250091,0.03461606627757914,1.0730166280204654
Falternating-H0.1-I0.5-N0.1-S0-T0.9-D3,alternating,0.1,0.5,0.1,0.0,0.9,3,0.038859137502829696,0.03567024953913617,1.0893990932189805
Falternating-H0.1-I0.5-N0.1-S0.9-T0-D0,alternating,0.1,0.5,0.1,0.9,0.0,0,0.011749798603186104,0.01178052794886382,0.9973915137071018
Falternating-H0.1-I0.5-N0.1-S0.9-T0-D1,alternating,0.1,0.5,0.1,0.9,0.0,1,0.011260847079208668,0.01138032837627145,0.9895010677097942
Falternating-H0.1-I0.5-N0.1-S0.9-T0-D3,alternating,0.1,0.5,0.1,0.9,0.0,3,0.01139078454706595,0.011611134042994426,0.9810225689314626
Falternating-H0.1-I0.5-N0.1-S0.9-T0.9-D0,alternating,0.1,0.5,0.1,0.9,0.9,0,0.0421223982018801,0.039477296395660125,1.0670031143903451
Falternating-H0.1-I0.5-N0.1-S0.9-T0.9-D1,alternating,0.1,0.5,0.1,0.9,0.9,1,0.03908134462085279,0.03849188270863782,1.015313927787759
Falternating-H0.1-I0.5-N0.1-S0.9-T0.9-D3,alternating,0.1,0.5,0.1,0.9,0.9,3,0.03441606778535998,0.033143343422401814,1.0384006027013535
Falternating-H0.1-I0.5-N0.5-S0-T0-D0,alternating,0.1,0.5,0.5,0.0,0.0,0,0.018927770114315734,0.017997532595545776,1.0516869472985526
Falternating-H0.1-I0.5-N0.5-S0-T0-D1,alternating,0.1,0.5,0.5,0.0,0.0,1,0.019446491968975285,0.019672989638442342,0.9884868709011839
Falternating-H0.1-I0.5-N0.5-S0-T0-D3,alternating,0.1,0.5,0.5,0.0,0.0,3,0.01981008382387437,0.019402722930522413,1.0209950373878265
Falternating-H0.1-I0.5-N0.5-S0-T0.9-D0,alternating,0.1,0.5,0.5,0.0,0.9,0,0.1514231857673521,0.1050759443340229,1.4410832729325493
Falternating-H0.1-I0.5-N0.5-S0-T0.9-D1,alternating,0.1,0.5,0.5,0.0,0.9,1,0.14797173380714201,0.10735215622349403,1.3783769140051831
Falternating-H0.1-I0.5-N0.5-S0-T0.9-D3,alternating,0.1,0.5,0.5,0.0,0.9,3,0.15365256156993695,0.10672723519831108,1.4396752739301584
Falternating-H0.1-I0.5-N0.5-S0.9-T0-D0,alternating,0.1,0.5,0.5,0.9,0.0,0,0.020563291799840525,0.019622091880367624,1.047966339430639
Falternating-H0.1-I0.5-N0.5-S0.9-T0-D1,alternating,0.1,0.5,0.5,0.9,0.0,1,0.019701650924898194,0.019303744683386637,1.0206129042855612
Falternating-H0.1-I0.5-N0.5-S0.9-T0-D3,alternating,0.1,0.5,0.5,0.9,0.0,3,0.019885705493028483,0.019744601265626487,1.0071464713570917
Falternating-H0.1-I0.5-N0.5-S0.9-T0.9-D0,alternating,0.1,0.5,0.5,0.9,0.9,0,0.15135214887594675,0.14248509891518255,1.0622314194836788
Falternating-H0.1-I0.5-N0.5-S0.9-T0.9-D1,alternating,0.1,0.5,0.5,0.9,0.9,1,0.16754171931406767,0.1542779214720182,1.0859734025160248
Falternating-H0.1-I0.5-N0.5-S0.9-T0.9-D3,alternating,0.1,0.5,0.5,0.9,0.9,3,0.158221851735153,0.12532214143276488,1.2625211309530546
Falternating-H0.1-I1.5-N0.1-S0-T0-D0,alternating,0.1,1.5,0.1,0.0,0.0,0,0.07614334431856139,0.07470096955221364,1.0193086485355396
Falternating-H0.1-I1.5-N0.1-S0-T0-D1,alternating,0.1,1.5,0.1,0.0,0.0,1,0.07726505337956342,0.078044485610262,0.9900129749769778
Falternating-H0.1-I1.5-N0.1-S0-T0-D3,alternating,0.1,1.5,0.1,0.0,0.0,3,0.07743737667563164,0.07757669080522185,0.9982041754018613
Falternating-H0.1-I1.5-N0.1-S0-T0.9-D0,alternating,0.1,1.5,0.1,0.0,0.9,0,0.09921011171070296,0.0927828752176442,1.0692717969558732
Falternating-H0.1-I1.5-N0.1-S0-T0.9-D1,alternating,0.1,1.5,0.1,0.0,0.9,1,0.10351573487710368,0.10429510761966174,0.992527235837368
Falternating-H0.1-I1.5-N0.1-S0-T0.9-D3,alternating,0.1,1.5,0.1,0.0,0.9,3,0.10857568028366857,0.10718768083537059,1.012949244143362
Falternating-H0.1-I1.5-N0.1-S0.9-T0-D0,alternating,0.1,1.5,0.1,0.9,0.0,0,0.07625793323883606,0.07300992722496422,1.0444871832821285
Falternating-H0.1-I1.5-N0.1-S0.9-T0-D1,alternating,0.1,1.5,0.1,0.9,0.0,1,0.07791855852339907,0.0786667767242224,0.9904887649910163
Falternating-H0.1-I1.5-N0.1-S0.9-T0-D3,alternating,0.1,1.5,0.1,0.9,0.0,3,0.0789751795062987,0.07923459039405804,0.9967260398966006
Falternating-H0.1-I1.5-N0.1-S0.9-T0.9-D0,alternating,0.1,1.5,0.1,0.9,0.9,0,0.1002298641948397,0.09711122303698608,1.0321141167861294
Falternating-H0.1-I1.5-N0.1-S0.9-T0.9-D1,alternating,0.1,1.5,0.1,0.9,0.9,1,0.10382607979026412,0.10295413822737165,1.0084692230725762
Falternating-H0.1-I1.5-N0.1-S0.9-T0.9-D3,alternating,0.1,1.5,0.1,0.9,0.9,3,0.09890755856278735,0.09808261219675496,1.0084107299709508
Falternating-H0.1-I1.5-N0.5-S0-T0-D0,alternating,0.1,1.5,0.5,0.0,0.0,0,0.08196982056684654,0.08365723056213259,0.9798294781700573
Falternating-H0.1-I1.5-N0.5-S0-T0-D1,alternating,0.1,1.5,0.5,0.0,0.0,1,0.08633336795302973,0.08636729654240517,0.9996071592983256
Falternating-H0.1-I1.5-N0.5-S0-T0-D3,alternating,0.1,1.5,0.5,0.0,0.0,3,0.08870998066472599,0.0884428410641874,1.0030204773763962
Falternating-H0.1-I1.5-N0.5-S0-T0.9-D0,alternating,0.1,1.5,0.5,0.0,0.9,0,0.19823713104716922,0.1689546273494557,1.1733157839894335
Falternating-H0.1-I1.5-N0.5-S0-T0.9-D1,alternating,0.1,1.5,0.5,0.0,0.9,1,0.21919842214626478,0.2115212024407216,1.0362952726107668
Falternating-H0.1-I1.5-N0.5-S0-T0.9-D3,alternating,0.1,1.5,0.5,0.0,0.9,3,0.2175048497369837,0.20848447395579406,1.0432664150477808
Falternating-H0.1-I1.5-N0.5-S0.9-T0-D0,alternating,0.1,1.5,0.5,0.9,0.0,0,0.08636314684057056,0.08213648607030448,1.051458991886362
Falternating-H0.1-I1.5-N0.5-S0.9-T0-D1,alternating,0.1,1.5,0.5,0.9,0.0,1,0.08583925948515955,0.08584262516888527,0.9999607923951639
Falternating-H0.1-I1.5-N0.5-S0.9-T0-D3,alternating,0.1,1.5,0.5,0.9,0.0,3,0.08584142851003934,0.08487007978800803,1.0114451255902857
Falternating-H0.1-I1.5-N0.5-S0.9-T0.9-D0,alternating,0.1,1.5,0.5,0.9,0.9,0,0.23996179517901853,0.2229148551982626,1.076472875554185
Falternating-H0.1-I1.5-N0.5-S0.9-T0.9-D1,alternating,0.1,1.5,0.5,0.9,0.9,1,0.2042160756265759,0.20283913158842484,1.006788355024833
Falternating-H0.1-I1.5-N0.5-S0.9-T0.9-D3,alternating,0.1,1.5,0.5,0.9,0.9,3,0.17368082559794534,0.17160577388834497,1.0120919690671393
Falternating-H0.3-I0.5-N0.1-S0-T0-D0,alternating,0.3,0.5,0.1,0.0,0.0,0,0.01475411310081166,0.02398786663259287,0.6150656632701511
Falternating-H0.3-I0.5-N0.1-S0-T0-D1,alternating,0.3,0.5,0.1,0.0,0.0,1,0.015554259268102414,0.022934491033324525,0.6782038130038114
