cell_id,schedule_family,target_scale,initial_common_parameter,noise_scale,spatial_correlation,temporal_correlation,delay,mean_persistent_auc,mean_strong_static_auc,persistent_to_static_ratio
Falternating-H0.1-I0.5-N0.1-S0-T0-D0,alternating,0.1,0.5,0.1,0.0,0.0,0,0.011462402867711054,0.011384291498132776,1.006861329015608
Falternating-H0.1-I0.5-N0.1-S0-T0-D3,alternating,0.1,0.5,0.1,0.0,0.0,3,0.012084135275093659,0.012212717505870737,0.9894714480446086
Falternating-H0.1-I0.5-N0.1-S0-T0.9-D0,alternating,0.1,0.5,0.1,0.0,0.9,0,0.036063321852671255,0.02826558715192544,1.2758737916475456
Falternating-H0.1-I0.5-N0.1-S0-T0.9-D3,alternating,0.1,0.5,0.1,0.0,0.9,3,0.038216560040705144,0.03567024953913617,1.071384712315378
Falternating-H0.1-I0.5-N0.1-S0.9-T0-D0,alternating,0.1,0.5,0.1,0.9,0.0,0,0.011773235758893209,0.01178052794886382,0.9993809963354559
Falternating-H0.1-I0.5-N0.1-S0.9-T0-D3,alternating,0.1,0.5,0.1,0.9,0.0,3,0.011410812547715454,0.011611134042994426,0.9827474651022708
Falternating-H0.1-I0.5-N0.1-S0.9-T0.9-D0,alternating,0.1,0.5,0.1,0.9,0.9,0,0.04203568868310935,0.039477296395660125,1.0648066742415137
Falternating-H0.1-I0.5-N0.1-S0.9-T0.9-D3,alternating,0.1,0.5,0.1,0.9,0.9,3,0.03439162706932586,0.033143343422401814,1.0376631781234333
Falternating-H0.1-I0.5-N0.5-S0-T0-D0,alternating,0.1,0.5,0.5,0.0,0.0,0,0.019004183210170993,0.017997532595545776,1.0559327012900843
Falternating-H0.1-I0.5-N0.5-S0-T0-D3,alternating,0.1,0.5,0.5,0.0,0.0,3,0.01970251806168115,0.019402722930522413,1.0154511885899853
Falternating-H0.1-I0.5-N0.5-S0-T0.9-D0,alternating,0.1,0.5,0.5,0.0,0.9,0,0.1487813953808702,0.1050759443340229,1.4159415489801672
