seed,rho,oracle_q,mean_log_mse
20270701,0.0,16,-4.034810848905312
20270701,0.25,32,-2.5932494067687726
20270701,0.5,32,-2.1241841188345276
20270701,0.9,1,-1.736243611234376
20270702,0.0,32,-5.330053378521168
20270702,0.25,16,-3.439827698287159
20270702,0.5,16,-3.9920325759393442
20270702,0.9,32,-4.1308961331192515
20270703,0.0,32,-6.048609735354691
20270703,0.25,4,-4.0126461746203965
20270703,0.5,4,-4.2098909275469785
20270703,0.9,1,-2.9033573820399052
20270704,0.0,32,-5.818143435989658
20270704,0.25,32,-4.5390784115499825
20270704,0.5,32,-4.111128363500598
20270704,0.9,32,-3.9896558188098608
20270705,0.0,16,-4.272715810815636
20270705,0.25,32,-4.514239286840056
20270705,0.5,32,-3.8341240802867693
20270705,0.9,32,-3.332111715917658
20270706,0.0,32,-5.108441067936472
20270706,0.25,32,-2.589265264620461
20270706,0.5,32,-2.7223322753291517
20270706,0.9,32,-3.5868039244451912
20270707,0.0,32,-5.696144436102033
20270707,0.25,4,-3.9520213441258907
20270707,0.5,1,-3.3864867339480353
20270707,0.9,1,-3.670566848486043
20270708,0.0,32,-3.4776468717318134
20270708,0.25,16,-2.6434578565938898
20270708,0.5,1,-3.3962589497374944
20270708,0.9,4,-2.6874765209643723
20270709,0.0,32,-5.792224557755424
20270709,0.25,4,-3.8817832608991836
20270709,0.5,1,-3.6995837994047687
20270709,0.9,1,-1.9937647659169226
20270710,0.0,1,-5.470115326040892
20270710,0.25,1,-3.8481183717521965
20270710,0.5,1,-2.870950039657443
20270710,0.9,1,-3.3063264516065454
20270711,0.0,16,-4.110253025815682
20270711,0.25,16,-4.400819450550738
20270711,0.5,4,-3.7723621588761245
20270711,0.9,4,-4.180253897584951
20270712,0.0,32,-4.413201461923615
20270712,0.25,16,-4.3477816462969345
20270712,0.5,4,-3.800686362502103
20270712,0.9,16,-3.964589853172955
20270713,0.0,32,-3.428792941995504
20270713,0.25,4,-2.998475395654861
20270713,0.5,4,-2.2854475892647783
20270713,0.9,1,-2.223525964137846
20270714,0.0,16,-4.7622790720881785
20270714,0.25,16,-4.882924419058247
20270714,0.5,32,-4.0904882119736765
20270714,0.9,16,-3.6982337087008395
20270715,0.0,32,-5.188484648372352
20270715,0.25,16,-5.37308157279436
20270715,0.5,16,-5.444726782576818
20270715,0.9,16,-4.896744734177367
20270716,0.0,32,-4.878397943704286
20270716,0.25,32,-3.4339658938503046
20270716,0.5,32,-3.2065506834013444
20270716,0.9,4,-2.869828860248319
20270717,0.0,32,-3.2716620447588642
20270717,0.25,4,-1.4590633076266522
20270717,0.5,4,-2.3498277964131065
20270717,0.9,32,-0.5721411816897481
20270718,0.0,32,-5.921167293742928
20270718,0.25,16,-3.0625725202788345
20270718,0.5,16,-2.7019693134053604
20270718,0.9,16,-2.299529573025808
20270719,0.0,32,-4.442829086905109
20270719,0.25,32,-4.726575188996596
20270719,0.5,32,-3.972258457472622
20270719,0.9,32,-2.8835756075875785
20270720,0.0,32,-3.8286922691585037
20270720,0.25,32,-3.626163042292865
20270720,0.5,16,-3.7885251428779037
20270720,0.9,1,-2.8579026378189853
20270721,0.0,32,-4.570303171192465
20270721,0.25,32,-3.7140670362074752
20270721,0.5,16,-4.569640640285245
20270721,0.9,4,-2.9965466885266734
20270722,0.0,32,-5.091945583066785
20270722,0.25,4,-3.672796527860612
20270722,0.5,16,-3.260168608448771
20270722,0.9,1,-2.6444958019760465
20270723,0.0,32,-5.58802244469656
20270723,0.25,32,-4.081216877820304
20270723,0.5,32,-3.804756419929615
20270723,0.9,32,-3.124816813243279
20270724,0.0,16,-5.291596512629584
20270724,0.25,32,-5.295734894175704
20270724,0.5,32,-5.075473808185276
20270724,0.9,32,-3.8676319848921983
20270725,0.0,32,-6.479307849656728
20270725,0.25,4,-2.9109037180845587
20270725,0.5,4,-2.1788891806703417
20270725,0.9,1,-3.1590942493183904
20270726,0.0,32,-5.646796180739898
20270726,0.25,4,-3.6933383116873992
20270726,0.5,4,-2.7299150615255074
20270726,0.9,4,-1.902775131478443
20270727,0.0,16,-5.576500865709562
20270727,0.25,1,-4.9767099364969125
20270727,0.5,16,-3.4291436012044656
20270727,0.9,16,-3.57545873471927
20270728,0.0,1,-4.41838547297745
20270728,0.25,4,-3.7169623990134433
20270728,0.5,16,-3.7317992529132415
20270728,0.9,4,-3.993288988212576
20270729,0.0,32,-5.4921551972281275
20270729,0.25,4,-3.753654625263127
20270729,0.5,4,-3.040342796367592
20270729,0.9,1,-2.922253115689433
20270730,0.0,16,-4.606573790540285
20270730,0.25,4,-3.2452749376200964
20270730,0.5,4,-3.3125656625421604
20270730,0.9,1,-2.9846711621399247
20270731,0.0,32,-6.254303284909875
20270731,0.25,32,-2.1962354858750763
20270731,0.5,1,-3.552264323221113
20270731,0.9,1,-2.747596940254666
20270732,0.0,32,-5.866036529085451
20270732,0.25,4,-4.238508934736017
20270732,0.5,4,-3.237561140946614
20270732,0.9,1,-3.723454596386778
