delay,game,oracle_q,oracle_validation_risk,overhead,ratio,rho,strong_q,strong_validation_risk
0,asterix,16,1.7823936800621318e-06,8,0.2927049653803095,0.0,4,6.0893865525864255e-06
8,asterix,16,1.7951204342691663e-06,8,0.29282408073543315,0.0,4,6.1303716202598085e-06
0,asterix,4,1.0753067634937947e-05,8,1.0,0.1,4,1.0753067634937947e-05
8,asterix,4,1.0751460784163481e-05,8,1.0,0.1,4,1.0751460784163481e-05
0,asterix,4,1.2129928781046762e-05,8,1.0,0.3,4,1.2129928781046762e-05
8,asterix,4,1.2021567403223421e-05,8,1.0,0.3,4,1.2021567403223421e-05
0,asterix,4,1.0596041948134356e-05,8,1.0,0.5,4,1.0596041948134356e-05
8,asterix,4,1.0687832031155753e-05,8,1.0,0.5,4,1.0687832031155753e-05
0,asterix,4,2.038238884219158e-05,8,1.0,0.7,4,2.038238884219158e-05
8,asterix,4,2.024876625797563e-05,8,1.0,0.7,4,2.024876625797563e-05
0,asterix,4,2.6554413081636778e-05,8,1.0,0.9,4,2.6554413081636778e-05
8,asterix,4,2.619606605792274e-05,8,1.0,0.9,4,2.619606605792274e-05
0,asterix,4,3.059317850226167e-05,8,1.0,1.0,4,3.059317850226167e-05
8,asterix,4,3.007221003390681e-05,8,1.0,1.0,4,3.007221003390681e-05
0,asterix,16,1.7823936800621318e-06,32,0.11616958966979181,0.0,4,1.53430315552334e-05
8,asterix,16,1.7951204342691663e-06,32,0.11699580799305181,0.0,4,1.534345943724561e-05
0,asterix,16,4.175801068723102e-06,32,0.245163714965236,0.1,4,1.7032704327046222e-05
8,asterix,16,4.205903357462831e-06,32,0.24731383257107908,0.1,4,1.700634094639262e-05
0,asterix,4,1.9080374591824184e-05,32,1.0,0.3,4,1.9080374591824184e-05
8,asterix,4,1.9080300708767857e-05,32,1.0,0.3,4,1.9080300708767857e-05
0,asterix,1,4.3576694727092177e-05,32,1.5215966507589938,0.5,4,2.863879511390585e-05
8,asterix,1,4.383458569416148e-05,32,1.5301873148299003,0.5,4,2.864654886975994e-05
0,asterix,1,2.9485748330905834e-05,32,0.7544033921479202,0.7,4,3.9084856507543906e-05
8,asterix,1,2.9472079476941103e-05,32,0.7514719505475268,0.7,4,3.9219134467317874e-05
0,asterix,4,4.223784933320652e-05,32,1.0,0.9,4,4.223784933320652e-05
8,asterix,4,4.2345388121221274e-05,32,1.0,0.9,4,4.2345388121221274e-05
0,asterix,1,3.7289672000041694e-05,32,0.8098174275296355,1.0,4,4.604701100814118e-05
8,asterix,1,3.717448948959007e-05,32,0.805855563010786,1.0,4,4.613046207772162e-05
0,breakout,16,7.831084488035515e-06,8,0.541836677402616,0.0,4,1.4452850489145765e-05
8,breakout,16,7.893708030355076e-06,8,0.535955153733078,0.0,4,1.4728299514191039e-05
0,breakout,16,1.3207219884054021e-05,8,0.364925353778319,0.1,4,3.619156561009188e-05
8,breakout,16,1.365418320552225e-05,8,0.37674037484155676,0.1,4,3.624295169124016e-05
0,breakout,4,4.030954995695284e-05,8,1.0,0.3,4,4.030954995695284e-05
8,breakout,4,3.922033192129287e-05,8,1.0,0.3,4,3.922033192129287e-05
0,breakout,4,4.0096788808452405e-05,8,1.0,0.5,4,4.0096788808452405e-05
8,breakout,4,4.061744076982911e-05,8,1.0,0.5,4,4.061744076982911e-05
0,breakout,1,4.844618496024323e-05,8,0.69391893087683,0.7,4,6.981533836960903e-05
8,breakout,4,6.815131721701492e-05,8,1.0,0.7,4,6.815131721701492e-05
0,breakout,4,7.817241319787642e-05,8,1.0,0.9,4,7.817241319787642e-05
8,breakout,4,7.733045900451195e-05,8,1.0,0.9,4,7.733045900451195e-05
0,breakout,1,4.6390035203366136e-05,8,0.5973812314717379,1.0,4,7.765566234660127e-05
8,breakout,1,4.484465474433711e-05,8,0.5833799647319937,1.0,4,7.68704060053534e-05
0,breakout,16,7.831084488035515e-06,32,0.34387992375251586,0.0,4,2.2772729511454132e-05
8,breakout,16,7.893708030355076e-06,32,0.3418442427648522,0.0,4,2.3091534221873674e-05
0,breakout,16,1.3207219884054021e-05,32,0.3389207784050851,0.1,4,3.896845730794493e-05
8,breakout,16,1.365418320552225e-05,32,0.34749121123430027,0.1,4,3.929360733188658e-05
0,breakout,16,3.872883477675171e-05,32,0.6861828825649327,0.3,4,5.644098062018743e-05
8,breakout,16,3.8660544230180655e-05,32,0.7106247704465576,0.3,4,5.4403597845155774e-05
0,breakout,4,6.978844386002452e-05,32,1.0,0.5,4,6.978844386002452e-05
8,breakout,4,7.133527715551087e-05,32,1.0,0.5,4,7.133527715551087e-05
0,breakout,1,8.605895049520316e-05,32,0.9461622558171829,0.7,4,9.09558059054846e-05
8,breakout,1,8.320048805625963e-05,32,0.9265697423918412,0.7,4,8.979409131306882e-05
0,breakout,1,9.443722714500883e-05,32,0.9488978362924374,0.9,4,9.952307143411439e-05
8,breakout,1,9.215049275485571e-05,32,0.9334816570120209,0.9,4,9.871698288086344e-05
0,breakout,1,9.443722714500883e-05,32,0.9515050022372592,1.0,4,9.925037380041095e-05
8,breakout,1,9.215049275485571e-05,32,0.9361309293081523,1.0,4,9.843761152401997e-05
0,seaquest,4,2.1824675837410654e-06,8,1.0,0.0,4,2.1824675837410654e-06
8,seaquest,4,2.202357115552179e-06,8,1.0,0.0,4,2.202357115552179e-06
0,seaquest,16,5.255926631399685e-06,8,1.7011350184407867,0.1,4,3.0896587128146487e-06
8,seaquest,16,5.262961823501542e-06,8,1.6805270731440665,0.1,4,3.1317328400161776e-06
0,seaquest,4,2.985319611559072e-06,8,1.0,0.3,4,2.985319611559072e-06
