controller_mean_risk,controller_strong_ratio,controller_true_rho_ratio,delay,game,mean_match_count,median_selected_q,overhead,rho,strong_mean_risk,true_rho_full_budget_mean_risk
2.6083430060212296e-06,0.1638334649472565,0.948690152329451,0,asterix,0.0625,16.0,32,0.0,1.5920697318224593e-05,2.7494150746865055e-06
2.6048488395468994e-06,0.1629692748123653,0.9493085874942246,8,asterix,0.0625,16.0,32,0.0,1.5983680620448194e-05,2.743943195987097e-06
2.64322712333206e-06,0.3811183960017324,0.961377984600396,0,asterix,0.0625,16.0,8,0.0,6.935448802949005e-06,2.7494150746865055e-06
2.6398241817878563e-06,0.3810242087498149,0.9620549673362371,8,asterix,0.0625,16.0,8,0.0,6.928232173093224e-06,2.743943195987097e-06
8.83760147265409e-06,0.46160681946464116,0.9804633667074942,0,asterix,9.6875,16.0,32,0.1,1.9145300935769746e-05,9.013698800733113e-06
8.83936097336344e-06,0.4612464006325406,0.9778815454208858,8,asterix,9.6875,16.0,32,0.1,1.9164075776507707e-05,9.039296236599832e-06
1.1666012894220136e-05,0.9851345699925469,1.2942536856535856,0,asterix,9.6875,16.0,8,0.1,1.1842050060539846e-05,9.013698800733113e-06
1.169103099064271e-05,0.9905018233347034,1.293356328262159,8,asterix,9.6875,16.0,8,0.1,1.1803139292851317e-05,9.039296236599832e-06
1.562880637999461e-05,0.593119587558838,1.0708213693800925,0,asterix,29.75,16.0,32,0.3,2.635017744788983e-05,1.4595157350139788e-05
1.5721870809291342e-05,0.5916523168613518,1.076156798444795,8,asterix,29.75,16.0,32,0.3,2.6572820491423202e-05,1.460927518370163e-05
2.2594524943131414e-05,1.00352220104637,1.00352220104637,0,asterix,29.75,4.0,8,0.3,2.251522180532943e-05,2.251522180532943e-05
2.2484064944994522e-05,1.0005419700101892,1.0005419700101892,8,asterix,29.75,4.0,8,0.3,2.2471885856787748e-05,2.2471885856787748e-05
3.04844122042155e-05,1.0503179837725578,1.0503179837725578,0,asterix,46.78125,4.0,32,0.5,2.902398385555662e-05,2.902398385555662e-05
3.059909629205634e-05,1.05163536828917,1.05163536828917,8,asterix,46.78125,4.0,32,0.5,2.909667857770495e-05,2.909667857770495e-05
1.919317393762e-05,0.8581402980188697,0.8581402980188697,0,asterix,46.78125,4.0,8,0.5,2.236600935992632e-05,2.236600935992632e-05
1.9297668086549497e-05,0.8561684581384599,0.8561684581384599,8,asterix,46.78125,4.0,8,0.5,2.2539569056897763e-05,2.2539569056897763e-05
3.453877808551944e-05,1.0425749813700382,1.0425749813700382,0,asterix,67.15625,4.0,32,0.7,3.312833964242298e-05,3.312833964242298e-05
3.4652793748716304e-05,1.043912652113542,1.043912652113542,8,asterix,67.15625,4.0,32,0.7,3.319510849739875e-05,3.319510849739875e-05
2.418244593528542e-05,0.9088932507045814,1.3073696565083155,0,asterix,67.15625,1.0,8,0.7,2.6606475421111325e-05,1.8497022487022673e-05
2.435286436619515e-05,0.9127343002687339,1.2958764493829542,8,asterix,67.15625,1.0,8,0.7,2.6681219670417775e-05,1.8792581945440115e-05
3.640189580774812e-05,1.0913507176425135,1.0851855287968921,0,asterix,87.40625,1.0,32,0.9,3.3354901608881385e-05,3.35443984846588e-05
3.6659701416916725e-05,1.0939387321261556,1.0927262716213115,8,asterix,87.40625,1.0,32,0.9,3.351165868829393e-05,3.354884234870971e-05
1.943265761465903e-05,0.5648797125224132,1.028574187072462,0,asterix,87.40625,1.0,8,0.9,3.4401408271301625e-05,1.889281090163117e-05
1.985488038796074e-05,0.5761321534719066,1.031130709590268,8,asterix,87.40625,1.0,8,0.9,3.4462371642184186e-05,1.925544473003846e-05
3.247200500578838e-05,0.7325270160825174,1.032727544745819,0,asterix,96.0,1.0,32,1.0,4.432874732654296e-05,3.1442954311614285e-05
3.24901549678603e-05,0.7299056666701099,1.035696408621088,8,asterix,96.0,1.0,32,1.0,4.4512813712055524e-05,3.137034626886198e-05
2.1625653604050938e-05,0.5581143802291207,1.014301472678011,0,asterix,96.0,1.0,8,1.0,3.8747709018307384e-05,2.1320735685174322e-05
2.188532176125379e-05,0.5642837490154343,1.0164340121874225,8,asterix,96.0,1.0,8,1.0,3.878424958974883e-05,2.153147326716799e-05
6.900186662087539e-06,0.2875725945223904,0.9955989218965293,0,breakout,0.0,16.0,32,0.0,2.3994590560855028e-05,6.9306891664198305e-06
7.015360558894815e-06,0.2796008460175301,0.9925904004887698,8,breakout,0.0,16.0,32,0.0,2.5090627080774187e-05,7.0677296047194515e-06
6.931697516222917e-06,0.6656429426191834,1.0001454905535183,0,breakout,0.0,16.0,8,0.0,1.0413537156944762e-05,6.9306891664198305e-06
7.053769544452231e-06,0.6397540902950227,0.9980248168721821,8,breakout,0.0,16.0,8,0.0,1.1025751380814749e-05,7.0677296047194515e-06
1.735330801374547e-05,0.7157742246818964,1.0126834881798448,0,breakout,8.84375,16.0,32,0.1,2.4244108568533057e-05,1.713596421418462e-05
1.7407163708971344e-05,0.6979161582976381,1.012061416062857,8,breakout,8.84375,16.0,32,0.1,2.49416258701203e-05,1.719971084036487e-05
1.9360660582257932e-05,1.069504345586165,1.1298261562796554,0,breakout,8.84375,16.0,8,0.1,1.810246088495031e-05,1.713596421418462e-05
1.944460347263038e-05,1.016882878643046,1.130519207741395,8,breakout,8.84375,16.0,8,0.1,1.9121772901297883e-05,1.719971084036487e-05
5.6921640253862554e-05,0.9185672144139115,1.0934468383204163,0,breakout,28.21875,16.0,32,0.3,6.196785533019617e-05,5.2057071509115855e-05
5.699196459163295e-05,0.9137560103698709,1.087622216991334,8,breakout,28.21875,16.0,32,0.3,6.237109681890213e-05,5.240051527201108e-05
2.511044252911516e-05,0.9980078558157,0.9980078558157,0,breakout,28.21875,4.0,8,0.3,2.516056600435443e-05,2.516056600435443e-05
2.6146803401581143e-05,0.9976924429906412,0.9976924429906412,8,breakout,28.21875,4.0,8,0.3,2.6207278190064844e-05,2.6207278190064844e-05
5.891365797810059e-05,1.0027128400215573,1.0027128400215573,0,breakout,47.9375,4.0,32,0.5,5.875426705100736e-05,5.875426705100736e-05
5.774877379521152e-05,1.000353165634415,1.000353165634415,8,breakout,47.9375,4.0,32,0.5,5.772838611310613e-05,5.772838611310613e-05
2.7804246342071565e-05,1.0164886953828196,1.0164886953828196,0,breakout,47.9375,4.0,8,0.5,2.7353227309232608e-05,2.7353227309232608e-05
2.842341498938801e-05,1.0154254474845072,1.0154254474845072,8,breakout,47.9375,4.0,8,0.5,2.7991631546954785e-05,2.7991631546954785e-05
8.893257822140322e-05,1.0114605514153163,1.0114605514153163,0,breakout,68.5,4.0,32,0.7,8.792491026660571e-05,8.792491026660571e-05
8.778303926342774e-05,1.0099837254974506,1.0099837254974506,8,breakout,68.5,4.0,32,0.7,8.691530075912032e-05,8.691530075912032e-05
4.318569893397714e-05,1.1114653752408399,0.9337378843552594,0,breakout,68.5,1.0,8,0.7,3.8854740683774674e-05,4.625034461764033e-05
4.427220555043865e-05,1.137498713997967,0.9504492513694441,8,breakout,68.5,1.0,8,0.7,3.892066426592705e-05,4.6580293989026284e-05
9.081090150991127e-05,0.8757952128539349,1.0208242223144626,0,breakout,86.0625,1.0,32,0.9,0.00010368965276024717,8.895841176654326e-05
9.051905509188858e-05,0.8767542920002108,1.0055473495474951,8,breakout,86.0625,1.0,32,0.9,0.00010324335554192738,9.001968443616595e-05
4.759075255439133e-05,1.0239893131945286,0.9777987799915961,0,breakout,86.0625,1.0,8,0.9,4.647582932865087e-05,4.86713151296838e-05
4.930294503945353e-05,1.0370697287391575,0.976798904253998,8,breakout,86.0625,1.0,8,0.9,4.754062689631755e-05,5.04739970783518e-05
9.033624033147466e-05,0.83345304965875,1.052496004983153,0,breakout,96.0,1.0,32,1.0,0.00010838791743393589,8.583048287477408e-05
9.022440261286774e-05,0.8362897341234256,1.0481875496326625,8,breakout,96.0,1.0,32,1.0,0.00010788653612666706,8.607658299746729e-05
4.8188445153735224e-05,1.009612774890957,0.9765220972802721,0,breakout,96.0,1.0,8,1.0,4.7729630955729345e-05,4.934700944089812e-05
4.9724467482793646e-05,1.0192807366720278,0.975301075688842,8,breakout,96.0,1.0,8,1.0,4.8783878370099525e-05,5.098371028420524e-05
1.2638517630619246e-06,0.9843131333611772,0.9843131333611772,0,seaquest,0.0625,16.0,32,0.0,1.2839935994211461e-06,1.2839935994211461e-06
1.262531943126793e-06,0.9813479903046364,0.9813479903046364,8,seaquest,0.0625,16.0,32,0.0,1.286528281099215e-06,1.286528281099215e-06
1.2719154420233884e-06,0.24708917791361742,0.9905932884687254,0,seaquest,0.0625,16.0,8,0.0,5.147596721002694e-06,1.2839935994211461e-06
1.2732066854272688e-06,0.2459982952519325,0.9896453145510613,8,seaquest,0.0625,16.0,8,0.0,5.175672799371835e-06,1.286528281099215e-06
3.171517183732483e-06,0.9492864239950126,0.9492864239950126,0,seaquest,9.625,16.0,32,0.1,3.3409486363297507e-06,3.3409486363297507e-06
3.1829489744649157e-06,0.9485865104307438,0.9485865104307438,8,seaquest,9.625,16.0,32,0.1,3.3554651467893736e-06,3.3554651467893736e-06
5.327501486865007e-06,0.909688158922629,1.594607420459362,0,seaquest,9.625,16.0,8,0.1,5.856404125535202e-06,3.3409486363297507e-06
5.350965150035428e-06,0.9080640899836934,1.5947014544780531,8,seaquest,9.625,16.0,8,0.1,5.892717495448497e-06,3.3554651467893736e-06
9.273433616073963e-06,0.7214737965739942,0.7214737965739942,0,seaquest,30.15625,16.0,32,0.3,1.2853458656585987e-05,1.2853458656585987e-05
9.271300981956574e-06,0.7194541595263498,0.7194541595263498,8,seaquest,30.15625,16.0,32,0.3,1.2886576384602881e-05,1.2886576384602881e-05
8.725549416615605e-06,1.0151143273299628,1.0151143273299628,0,seaquest,30.15625,4.0,8,0.3,8.59563221766977e-06,8.59563221766977e-06
8.773939990116417e-06,1.0119275732869963,1.0119275732869963,8,seaquest,30.15625,4.0,8,0.3,8.67052170701945e-06,8.67052170701945e-06
9.981300512147249e-06,0.5029736770867164,1.0231119340500245,0,seaquest,47.34375,4.0,32,0.5,1.9844578288788656e-05,9.755824538802826e-06
1.0022827473230612e-05,0.5033685285057391,1.0226049898921994,8,seaquest,47.34375,4.0,32,0.5,1.9911509968618027e-05,9.801269866957323e-06
6.154131385615649e-06,1.045420054253125,1.045420054253125,0,seaquest,47.34375,4.0,8,0.5,5.886754669167236e-06,5.886754669167236e-06
6.1824354586595566e-06,1.0445177614061052,1.0445177614061052,8,seaquest,47.34375,4.0,8,0.5,5.918937606515095e-06,5.918937606515095e-06
