controller_bellman_residual,controller_risk,controller_updates,delay,encoder_sha256,environment_budget,game,learning_environment,learning_message,master_seed,match_count,message_budget,overhead,probe_environment,probe_message,rho,selected_q,strong_bellman_residual,strong_q,strong_risk,true_rho_full_budget_risk,true_rho_q
1.2651348648359181e-07,6.106549668181054e-06,8144,0,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,130304,195456,202608056101,0,196608,8,768,960,0.0,16,3.153317485176617e-07,4,1.3269551753805264e-05,5.9091932939668375e-06,16
1.266084038375988e-07,6.090851448740079e-06,8136,8,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,130304,195456,202608056101,0,196608,8,768,960,0.0,16,3.312962058196411e-07,4,1.3826543948989966e-05,5.887909163965765e-06,16
1.291801109075645e-07,6.219291719933578e-06,8124,0,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,129984,389952,202608056101,0,393216,32,768,3264,0.0,16,2.4126562877249316e-07,4,4.5828659604842385e-06,5.9091932939668375e-06,16
1.2872098452493813e-07,6.182036667244096e-06,8116,8,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,129984,389952,202608056101,0,393216,32,768,3264,0.0,16,2.4283719507335254e-07,4,4.383016245713943e-06,5.887909163965765e-06,16
6.130759905851498e-07,2.3271496131651568e-05,8144,0,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,130304,195456,202608056101,10,196608,8,768,960,0.1,16,2.174391779939266e-07,4,6.978814343763432e-06,2.3773498078541625e-05,16
6.165572837361875e-07,2.3440932082110265e-05,8136,8,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,130304,195456,202608056101,10,196608,8,768,960,0.1,16,2.2178074669768695e-07,4,7.175143663775408e-06,2.4044967890240593e-05,16
6.0199687233507e-07,2.2891114684944214e-05,8124,0,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,129984,389952,202608056101,10,393216,32,768,3264,0.1,16,2.523376368720938e-07,4,2.835769486667865e-06,2.3773498078541625e-05,16
6.063507848793967e-07,2.308715405884793e-05,8116,8,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,129984,389952,202608056101,10,393216,32,768,3264,0.1,16,2.506854643675168e-07,4,2.7865455506620814e-06,2.4044967890240593e-05,16
3.9412722838400074e-07,1.6609843361824637e-05,16304,0,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,65216,195648,202608056101,39,196608,8,768,960,0.3,4,4.013256943315278e-07,4,1.6993723883290724e-05,1.6993723883290724e-05,4
4.0133008429085523e-07,1.690300902012517e-05,16296,8,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,65216,195648,202608056101,39,196608,8,768,960,0.3,4,4.1055655944598085e-07,4,1.7401339191188847e-05,1.7401339191188847e-05,4
2.4662438400311744e-07,3.3726647723201006e-06,10832,0,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,43328,389952,202608056101,39,393216,32,768,3264,0.3,4,2.692981078531765e-07,4,3.928383583385093e-06,4.3709420455084365e-06,16
2.440642335535606e-07,3.432671851296246e-06,10824,8,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,43328,389952,202608056101,39,393216,32,768,3264,0.3,4,2.6991623504157177e-07,4,4.089573295609299e-06,4.435773692521388e-06,16
3.508045454763214e-07,3.4925524134127823e-06,16304,0,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,65216,195648,202608056101,57,196608,8,768,960,0.5,4,3.811048599579164e-07,4,4.380098103365846e-06,4.380098103365846e-06,4
3.5581552423394593e-07,3.7030357083429906e-06,16296,8,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,65216,195648,202608056101,57,196608,8,768,960,0.5,4,3.8811911928241046e-07,4,4.654411539306795e-06,4.654411539306795e-06,4
8.649948079492697e-07,1.2452473667732563e-05,10832,0,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,43328,389952,202608056101,57,393216,32,768,3264,0.5,4,8.603547058313018e-07,4,1.199843764024897e-05,1.199843764024897e-05,4
8.603391069064942e-07,1.2877868330826935e-05,10824,8,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,43328,389952,202608056101,57,393216,32,768,3264,0.5,4,8.625715193807121e-07,4,1.2696408337683184e-05,1.2696408337683184e-05,4
7.827972334388292e-07,2.5238740563795808e-05,21738,0,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,21738,195642,202608056101,66,196608,8,768,960,0.7,1,2.5139281549505955e-07,4,7.819384590903949e-07,2.255171015040916e-05,1
8.082250508165349e-07,2.6334151822933053e-05,21730,8,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,21738,195642,202608056101,66,196608,8,768,960,0.7,1,2.6076552560767096e-07,4,8.143062203650545e-07,2.3478521657103444e-05,1
2.05825722768109e-07,6.577220621673796e-07,10832,0,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,43328,389952,202608056101,66,393216,32,768,3264,0.7,4,1.9358675224739855e-07,4,6.125833220266389e-07,6.125833220266389e-07,4
2.0711943687737405e-07,6.77337819671495e-07,10824,8,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,43328,389952,202608056101,66,393216,32,768,3264,0.7,4,1.9180894718195476e-07,4,6.228645264407934e-07,6.228645264407934e-07,4
7.827972334388292e-07,2.5238740563795808e-05,21738,0,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,21738,195642,202608056101,89,196608,8,768,960,0.9,1,5.512461896378992e-07,4,1.8827295370250744e-06,2.255171015040916e-05,1
8.082250508165349e-07,2.6334151822933053e-05,21730,8,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,21738,195642,202608056101,89,196608,8,768,960,0.9,1,5.709730190338983e-07,4,2.0031982167205904e-06,2.3478521657103444e-05,1
7.037713336551719e-07,4.818487628507715e-06,11816,0,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,11816,389928,202608056101,89,393216,32,768,3264,0.9,1,8.781694894079873e-07,4,1.6032155542491994e-05,3.99566654113016e-06,1
7.243873239667073e-07,5.855922008679771e-06,11808,8,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,11816,389928,202608056101,89,393216,32,768,3264,0.9,1,9.074193521677401e-07,4,1.7436336775084613e-05,4.72725111888276e-06,1
7.827972334388292e-07,2.5238740563795808e-05,21738,0,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,21738,195642,202608056101,96,196608,8,768,960,1.0,1,5.512461896378992e-07,4,1.8827295370250744e-06,2.255171015040916e-05,1
8.082250508165349e-07,2.6334151822933053e-05,21730,8,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,21738,195642,202608056101,96,196608,8,768,960,1.0,1,5.709730190338983e-07,4,2.0031982167205904e-06,2.3478521657103444e-05,1
7.037713336551719e-07,4.818487628507715e-06,11816,0,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,11816,389928,202608056101,96,393216,32,768,3264,1.0,1,8.781694894079873e-07,4,1.6032155542491994e-05,3.99566654113016e-06,1
